mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	0	0	15/16	4/4	1	1	1/16	1/16	1		4	76		0
2	1	0	0	4/4	2	1	1/8	1/8	1		4	52		16
2	1	0	0	4/4	1	2	3/16	1/8	3/2		1	67		7
2	1	0	0	4/4	1	2	3/16	1/8	3/2		5	71		7
2	1	0	0	4/4	1	1	3/16	1/8	3/2		4	76		1
2	1	1/8	1/8	4/4	2	1	1/8	1/8	1		4	40		17
2	1	3/16	3/16	4/4	1	1	1/16	1/16	1		2	74		2
2	1	1/4	1/4	4/4	1	1	1/16	1/16	1		0	72		3
2	1	5/16	5/16	4/4	2	2	1/16	1/16	1		4	52		18
2	1	5/16	5/16	4/4	1	1	1/16	1/16	1		5	71		4
2	1	3/8	3/8	4/4	2	2	1/16	1/16	1		6	54		19
2	1	3/8	3/8	4/4	1	1	1/16	1/16	1		3	69		5
2	1	7/16	7/16	4/4	2	2	1/16	1/16	1		1	55		20
2	1	7/16	7/16	4/4	1	1	1/16	1/16	1		1	67		6
2	1	1/2	1/2	4/4	2	2	1/8	1/8	1		3	57		21
2	1	1/2	1/2	4/4	1	2	1/16	1/16	1		6	66		8
2	1	9/16	9/16	4/4	1	2	1/16	1/16	1		4	76		9
2	1	5/8	5/8	4/4	2	2	1/8	1/8	1		6	54		22
2	1	5/8	5/8	4/4	1	2	1/16	1/16	1		9	75		10
2	1	11/16	11/16	4/4	1	2	1/16	1/16	1		3	81		11
2	1	3/4	3/4	4/4	2	2	1/8	1/8	1		5	59		23
2	1	3/4	3/4	4/4	1	2	1/16	1/16	1		3	81		12
2	1	13/16	13/16	4/4	1	2	1/16	1/16	1		1	79		13
2	1	7/8	7/8	4/4	2	2	1/8	1/8	1		5	47		24
2	1	7/8	7/8	4/4	1	2	1/16	1/16	1		3	81		14
2	1	15/16	15/16	4/4	1	2	1/16	1/16	1		6	78		15
3	2	0	0	4/4	2	2	3/16	1/8	3/2		4	52		40
3	2	0	0	4/4	2	2	3/16	1/8	3/2		1	55		40
3	2	0	0	4/4	2	2	3/16	1/8	3/2		5	59		40
3	2	0	0	4/4	2	1	3/16	1/8	3/2		4	64		38
3	2	0	0	4/4	1	2	1/16	1/16	1		1	79		25
3	2	1/16	1/16	4/4	1	2	1/16	1/16	1		6	78		26
3	2	1/8	1/8	4/4	1	2	1/8	1/8	1		4	76		27
3	2	3/16	3/16	4/4	2	1	1/16	1/16	1		2	62		39
3	2	1/4	1/4	4/4	2	2	1/16	1/16	1		0	60		41
3	2	5/16	5/16	4/4	2	2	1/16	1/16	1		5	59		42
3	2	5/16	5/16	4/4	1	2	1/16	1/16	1		4	76		28
3	2	3/8	3/8	4/4	2	2	1/16	1/16	1		3	57		43
3	2	3/8	3/8	4/4	1	2	1/16	1/16	1		6	78		29
3	2	7/16	7/16	4/4	2	2	1/16	1/16	1		1	55		44
3	2	7/16	7/16	4/4	1	2	1/16	1/16	1		1	79		30
3	2	1/2	1/2	4/4	2	2	1/16	1/16	1		6	54		45
3	2	1/2	1/2	4/4	1	2	1/16	1/16	1		3	81		31
3	2	9/16	9/16	4/4	2	2	1/16	1/16	1		4	64		46
3	2	9/16	9/16	4/4	1	2	1/32	1/32	1		5	83		32
3	2	19/32	19/32	4/4	1	2	1/32	1/32	1		0	84		33
3	2	5/8	5/8	4/4	2	2	1/16	1/16	1		9	63		47
3	2	5/8	5/8	4/4	1	2	1/16	1/16	1		5	83		34
3	2	11/16	11/16	4/4	2	2	1/16	1/16	1		3	69		48
3	2	11/16	11/16	4/4	1	2	1/16	1/16	1		4	76		35
3	2	3/4	3/4	4/4	2	2	1/16	1/16	1		3	69		49
3	2	3/4	3/4	4/4	1	2	3/16	1/8	3/2		9	75		36
3	2	13/16	13/16	4/4	2	2	1/16	1/16	1		1	67		50
3	2	7/8	7/8	4/4	2	2	1/16	1/16	1		3	69		51
3	2	15/16	15/16	4/4	2	2	1/16	1/16	1		6	66		52
3	2	15/16	15/16	4/4	1	2	1/16	1/16	1		4	76		37
4	3	0	0	4/4	2	1	1/16	1/16	1		1	67		67
4	3	0	0	4/4	1	2	3/16	1/8	3/2		4	76		53
4	3	1/16	1/16	4/4	2	1	1/16	1/16	1		6	66		68
4	3	1/8	1/8	4/4	2	1	1/8	1/8	1		4	64		69
4	3	3/16	3/16	4/4	1	2	1/16	1/16	1		0	84		54
4	3	1/4	1/4	4/4	2	1	1/8	1/8	1		6	66		70
4	3	1/4	1/4	4/4	1	2	1/16	1/16	1		2	74		55
4	3	5/16	5/16	4/4	1	2	1/16	1/16	1		0	84		56
4	3	3/8	3/8	4/4	2	1	1/8	1/8	1		8	68		71
4	3	3/8	3/8	4/4	1	2	1/16	1/16	1		2	74		57
4	3	7/16	7/16	4/4	1	2	1/16	1/16	1		5	83		58
4	3	1/2	1/2	4/4	2	1	1/16	1/16	1		3	69		72
4	3	1/2	1/2	4/4	1	2	1/16	1/16	1		0	72		59
4	3	9/16	9/16	4/4	2	1	1/16	1/16	1		1	67		73
4	3	9/16	9/16	4/4	1	2	1/16	1/16	1		5	71		60
4	3	5/8	5/8	4/4	2	1	1/16	1/16	1		6	66		74
4	3	5/8	5/8	4/4	1	2	1/16	1/16	1		0	72		61
4	3	11/16	11/16	4/4	2	1	1/16	1/16	1		4	64		75
4	3	11/16	11/16	4/4	1	2	1/16	1/16	1		3	81		62
4	3	3/4	3/4	4/4	2	1	1/8	1/8	1		9	63		76
4	3	3/4	3/4	4/4	1	2	1/16	1/16	1		5	71		63
4	3	13/16	13/16	4/4	1	2	1/16	1/16	1		3	81		64
4	3	7/8	7/8	4/4	2	1	1/8	1/8	1	1	4	64		77
4	3	7/8	7/8	4/4	1	2	1/16	1/16	1		5	71		65
4	3	15/16	15/16	4/4	1	2	1/16	1/16	1		1	79		66
5	4	0	0	4/4	2	1	1/8	1/8	1	-1	4	64		94
5	4	0	0	4/4	1	2	1/16	1/16	1		3	69		82
5	4	1/16	1/16	4/4	1	2	1/16	1/16	1		1	67		83
5	4	1/8	1/8	4/4	2	1	1/8	1/8	1		9	63		95
5	4	1/8	1/8	4/4	1	2	1/16	1/16	1		3	69		84
5	4	3/16	3/16	4/4	1	2	1/16	1/16	1		6	78		85
5	4	1/4	1/4	4/4	2	1	1/8	1/8	1		4	64		96
5	4	1/4	1/4	4/4	1	2	1/16	1/16	1		1	67		86
5	4	5/16	5/16	4/4	1	2	1/16	1/16	1		6	78		87
5	4	3/8	3/8	4/4	2	1	1/8	1/8	1		4	52		97
5	4	3/8	3/8	4/4	1	2	1/16	1/16	1		1	67		88
5	4	7/16	7/16	4/4	1	2	1/16	1/16	1		4	76		89
5	4	1/2	1/2	4/4	2	1	3/16	1/8	3/2		5	59		98
5	4	1/2	1/2	4/4	1	1	1/16	1/16	1		6	66		78
5	4	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66		90
5	4	9/16	9/16	4/4	1	1	1/16	1/16	1		4	76		79
5	4	5/8	5/8	4/4	1	1	1/8	1/8	1		9	75		80
5	4	11/16	11/16	4/4	2	1	1/16	1/16	1		3	57		99
5	4	3/4	3/4	4/4	2	1	1/16	1/16	1		1	55		100
5	4	3/4	3/4	4/4	1	1	1/4	1/4	1	1	4	76		81
5	4	13/16	13/16	4/4	2	1	1/16	1/16	1		6	54		101
5	4	13/16	13/16	4/4	1	2	1/16	1/16	1		2	74		91
5	4	7/8	7/8	4/4	2	1	1/16	1/16	1		4	52		102
5	4	7/8	7/8	4/4	1	2	1/16	1/16	1		7	73		92
5	4	15/16	15/16	4/4	2	1	1/16	1/16	1		2	50		103
5	4	15/16	15/16	4/4	1	2	1/16	1/16	1		5	71		93
6	5	0	0	4/4	2	1	1/16	1/16	1		7	49		121
6	5	0	0	4/4	1	2	3/16	1/8	3/2		10	70		117
6	5	0	0	4/4	1	1	1/16	1/16	1	-1	4	76		104
6	5	1/16	1/16	4/4	2	1	1/16	1/16	1		5	59		122
6	5	1/16	1/16	4/4	1	1	1/16	1/16	1		1	79		105
6	5	1/8	1/8	4/4	2	1	1/16	1/16	1		10	58		123
6	5	1/8	1/8	4/4	1	1	1/16	1/16	1		6	78		106
6	5	3/16	3/16	4/4	2	1	1/16	1/16	1		4	64		124
6	5	3/16	3/16	4/4	1	2	1/16	1/16	1		7	73		118
6	5	3/16	3/16	4/4	1	1	1/16	1/16	1		4	76		107
6	5	1/4	1/4	4/4	2	1	1/16	1/16	1		4	64		125
6	5	1/4	1/4	4/4	1	2	1/8	1/8	1		5	71		119
6	5	1/4	1/4	4/4	1	1	1/8	1/8	1		2	74		108
6	5	5/16	5/16	4/4	2	1	1/16	1/16	1		2	62		126
6	5	3/8	3/8	4/4	2	1	1/16	1/16	1		4	64		127
6	5	3/8	3/8	4/4	1	2	1/8	1/8	1		10	70		120
6	5	3/8	3/8	4/4	1	1	1/16	1/16	1		7	73		109
6	5	7/16	7/16	4/4	2	1	1/16	1/16	1		7	61		128
6	5	7/16	7/16	4/4	1	1	1/16	1/16	1		5	71		110
6	5	1/2	1/2	4/4	2	1	1/16	1/16	1		2	62		129
6	5	1/2	1/2	4/4	1	1	3/16	1/8	3/2		5	71		111
6	5	9/16	9/16	4/4	2	1	1/16	1/16	1		5	59		130
6	5	5/8	5/8	4/4	2	1	1/16	1/16	1		7	61		131
6	5	11/16	11/16	4/4	2	1	1/16	1/16	1		2	62		132
6	5	11/16	11/16	4/4	1	1	1/16	1/16	1		3	69		112
6	5	3/4	3/4	4/4	2	1	1/4	1/4	1	1	4	64		133
6	5	3/4	3/4	4/4	1	1	1/16	1/16	1		1	67		113
6	5	13/16	13/16	4/4	1	1	1/16	1/16	1		6	66		114
6	5	7/8	7/8	4/4	1	1	1/16	1/16	1		4	64		115
6	5	15/16	15/16	4/4	1	1	1/16	1/16	1		2	62		116
7	6	0	0	4/4	1	1	1/16	1/16	1		7	61		134
7	6	0	0	4/4	2	1	1/16	1/16	1	-1	4	64		152
7	6	1/16	1/16	4/4	2	1	1/16	1/16	1		2	62		153
7	6	1/16	1/16	4/4	1	1	1/16	1/16	1		5	71		135
7	6	1/8	1/8	4/4	2	1	1/16	1/16	1		7	61		154
7	6	1/8	1/8	4/4	1	1	1/16	1/16	1		10	70		136
7	6	3/16	3/16	4/4	2	1	1/16	1/16	1		5	59		155
7	6	3/16	3/16	4/4	1	1	1/16	1/16	1		4	76		137
7	6	1/4	1/4	4/4	2	1	3/16	1/8	3/2		10	58		156
7	6	1/4	1/4	4/4	1	2	1/16	1/16	1		4	76		138
7	6	5/16	5/16	4/4	1	2	1/16	1/16	1		2	74		139
7	6	3/8	3/8	4/4	1	2	1/16	1/16	1		4	76		140
7	6	7/16	7/16	4/4	2	1	1/16	1/16	1		10	58		157
7	6	7/16	7/16	4/4	1	2	1/16	1/16	1		7	73		141
7	6	1/2	1/2	4/4	2	1	3/16	1/8	3/2		5	59		158
7	6	1/2	1/2	4/4	1	2	1/16	1/16	1		2	74		142
7	6	9/16	9/16	4/4	1	2	1/16	1/16	1		7	73		143
7	6	5/8	5/8	4/4	1	2	1/8	1/8	1		5	71		144
7	6	11/16	11/16	4/4	2	1	1/16	1/16	1		1	67		159
7	6	3/4	3/4	4/4	2	1	1/16	1/16	1		3	57		160
7	6	3/4	3/4	4/4	1	2	1/32	1/32	1		7	73		145
7	6	25/32	25/32	4/4	1	2	1/32	1/32	1		2	74		146
7	6	13/16	13/16	4/4	2	1	1/16	1/16	1		1	67		161
7	6	13/16	13/16	4/4	1	2	1/32	1/32	1		7	73		147
7	6	27/32	27/32	4/4	1	2	1/32	1/32	1		2	74		148
7	6	7/8	7/8	4/4	2	1	1/16	1/16	1		3	57		162
7	6	7/8	7/8	4/4	1	2	1/16	1/16	1		9	75		149
7	6	15/16	15/16	4/4	2	1	1/16	1/16	1		6	66		163
7	6	15/16	15/16	4/4	1	2	1/32	1/32	1		7	73		150
7	6	31/32	31/32	4/4	1	2	1/32	1/32	1		9	75		151
8	7	0	0	4/4	2	1	1/16	1/16	1		1	55		176
8	7	0	0	4/4	1	2	1/16	1/16	1		4	76		166
