quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	1.0	1	1	0	0	3/4	2	2	1/4		1/4	1		2	50	D3	3	6
0	1.0	1	1	0	0	3/4	1	2	1/4		1/4	1		-1	65	F4	4	4
0	1.0	1	1	0	0	3/4	1	1	1/4		1/4	1		3	69	A4	4	0
1	1.0	1	1	1/4	1/4	3/4	2	2	1/4		1/4	1		2	62	D4	4	7
1	2.0	1	1	1/4	1/4	3/4	2	1	1/2		1/2	1		-1	65	F4	4	5
1	1.5	1	1	1/4	1/4	3/4	1	1	3/8		1/4	3/2		3	69	A4	4	1
2	1.0	1	1	1/2	1/2	3/4	2	2	1/4		1/4	1		0	60	C4	4	8
5/2	0.25	1	1	5/8	5/8	3/4	1	1	1/16		1/16	1		1	67	G4	4	2
11/4	0.25	1	1	11/16	11/16	3/4	1	1	1/16		1/16	1		3	69	A4	4	3
3	1.0	2	2	0	0	3/4	2	2	1/4		1/4	1		-2	58	Bb3	3	18
3	2.0	2	2	0	0	3/4	1	2	1/2		1/2	1	1	1	67	G4	4	15
3	0.5	2	2	0	0	3/4	1	1	1/8		1/8	1		-2	70	Bb4	4	9
7/2	0.5	2	2	1/8	1/8	3/4	1	1	1/8		1/8	1		0	72	C5	5	10
4	0.5	2	2	1/4	1/4	3/4	2	2	1/8		1/8	1		3	57	A3	3	19
4	0.5	2	2	1/4	1/4	3/4	1	1	1/8		1/8	1		2	74	D5	5	11
9/2	0.5	2	2	3/8	3/8	3/4	2	2	1/8		1/8	1		1	55	G3	3	20
9/2	0.5	2	2	3/8	3/8	3/4	1	1	1/8		1/8	1		-2	70	Bb4	4	12
5	0.5	2	2	1/2	1/2	3/4	2	2	1/8		1/8	1		3	57	A3	3	21
5	0.5	2	2	1/2	1/2	3/4	1	2	1/8		1/8	1	-1	1	67	G4	4	16
5	0.5	2	2	1/2	1/2	3/4	1	1	1/8		1/8	1		0	72	C5	5	13
11/2	0.5	2	2	5/8	5/8	3/4	2	2	1/8		1/8	1		-2	58	Bb3	3	22
11/2	0.5	2	2	5/8	5/8	3/4	1	2	1/8		1/8	1		-1	65	F4	4	17
11/2	0.5	2	2	5/8	5/8	3/4	1	1	1/8		1/8	1		3	69	A4	4	14
6	1.0	3	3	0	0	3/4	2	2	1/4		1/4	1		0	60	C4	4	28
6	1.0	3	3	0	0	3/4	1	2	1/4		1/4	1		4	64	E4	4	26
6	1.0	3	3	0	0	3/4	1	1	1/4		1/4	1		1	67	G4	4	23
7	0.5	3	3	1/4	1/4	3/4	2	2	1/8		1/8	1		0	48	C3	3	29
7	2.0	3	3	1/4	1/4	3/4	1	2	1/2		1/2	1		4	64	E4	4	27
7	1.5	3	3	1/4	1/4	3/4	1	1	3/8		1/4	3/2		0	72	C5	5	24
15/2	0.5	3	3	3/8	3/8	3/4	2	2	1/8		1/8	1		-2	46	Bb2	2	30
8	0.5	3	3	1/2	1/2	3/4	2	2	1/8		1/8	1		3	45	A2	2	31
17/2	0.5	3	3	5/8	5/8	3/4	2	2	1/8		1/8	1		1	43	G2	2	32
17/2	0.5	3	3	5/8	5/8	3/4	1	1	1/8		1/8	1		-2	70	Bb4	4	25
9	1.0	4	4	0	0	3/4	2	2	1/4		1/4	1		-1	41	F2	2	40
9	2.0	4	4	0	0	3/4	1	2	1/2		1/2	1		-1	65	F4	4	39
9	0.5	4	4	0	0	3/4	1	1	1/8		1/8	1		3	69	A4	4	33
19/2	0.5	4	4	1/8	1/8	3/4	1	1	1/8		1/8	1		1	67	G4	4	34
10	1.0	4	4	1/4	1/4	3/4	2	2	1/4		1/4	1		1	43	G2	2	41
