mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	0	0	1/2	2/2	2	1	1/8	1/8	1		2	50		4
1	0	0	1/2	2/2	1	2	1/4	1/4	1		-1	77		2
1	0	0	1/2	2/2	1	1	1/4	1/4	1		3	81		0
1	0	1/8	5/8	2/2	2	1	1/8	1/8	1		2	62		5
1	0	1/4	3/4	2/2	2	1	1/8	1/8	1		7	61		6
1	0	1/4	3/4	2/2	1	2	1/4	1/4	1		4	76		3
1	0	1/4	3/4	2/2	1	1	1/4	1/4	1		3	81		1
1	0	3/8	7/8	2/2	2	1	1/8	1/8	1		3	57		7
2	1	0	0	2/2	2	1	1/8	1/8	1		2	62		16
2	1	0	0	2/2	1	2	1/2	1/2	1		-1	77		13
2	1	0	0	2/2	1	1	3/8	1/4	3/2		3	81		8
2	1	1/8	1/8	2/2	2	1	1/8	1/8	1		3	57		17
2	1	1/4	1/4	2/2	2	1	1/8	1/8	1		2	50		18
2	1	3/8	3/8	2/2	2	1	1/8	1/8	1		0	60		19
2	1	3/8	3/8	2/2	1	1	1/16	1/16	1		1	79		9
2	1	7/16	7/16	2/2	1	1	1/16	1/16	1		3	81		10
2	1	1/2	1/2	2/2	2	1	1/8	1/8	1		-2	58		20
2	1	1/2	1/2	2/2	1	2	1/4	1/4	1		1	79		14
2	1	1/2	1/2	2/2	1	1	1/4	1/4	1		-2	82		11
2	1	5/8	5/8	2/2	2	1	1/8	1/8	1		3	57		21
2	1	3/4	3/4	2/2	2	1	1/8	1/8	1		-2	58		22
2	1	3/4	3/4	2/2	1	2	1/4	1/4	1		-1	77		15
2	1	3/4	3/4	2/2	1	1	1/4	1/4	1		3	81		12
2	1	7/8	7/8	2/2	2	1	1/8	1/8	1		1	55		23
3	2	0	0	2/2	2	1	1/8	1/8	1		0	60		30
3	2	0	0	2/2	1	2	1/2	1/2	1		4	76		27
3	2	0	0	2/2	1	1	1/2	1/2	1		1	79		24
