quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	0.5	1	1	0	0	3/4	2	2	1/8	1/8	1		-3	51	Eb3	3	5
0	0.5	1	1	0	0	3/4	1	1	1/8	1/8	1		1	67	G4	4	0
1/2	0.5	1	1	1/8	1/8	3/4	2	2	1/8	1/8	1		-3	63	Eb4	4	6
1/2	0.25	1	1	1/8	1/8	3/4	1	1	1/16	1/16	1		-4	68	Ab4	4	1
3/4	0.25	1	1	3/16	3/16	3/4	1	1	1/16	1/16	1		-2	70	Bb4	4	2
1	0.5	1	1	1/4	1/4	3/4	2	2	1/8	1/8	1		-5	61	Db4	4	7
1	2.0	1	1	1/4	1/4	3/4	1	2	1/2	1/2	1		1	67	G4	4	4
1	2.0	1	1	1/4	1/4	3/4	1	1	1/2	1/2	1	1	-2	70	Bb4	4	3
3/2	0.5	1	1	3/8	3/8	3/4	2	2	1/8	1/8	1		0	60	C4	4	8
2	0.5	1	1	1/2	1/2	3/4	2	2	1/8	1/8	1		-2	58	Bb3	3	9
5/2	0.5	1	1	5/8	5/8	3/4	2	2	1/8	1/8	1		-4	56	Ab3	3	10
3	0.5	2	2	0	0	3/4	2	2	1/8	1/8	1		1	55	G3	3	16
3	0.5	2	2	0	0	3/4	1	1	1/8	1/8	1	-1	-2	70	Bb4	4	11
7/2	0.5	2	2	1/8	1/8	3/4	2	2	1/8	1/8	1		-1	53	F3	3	17
7/2	0.25	2	2	1/8	1/8	3/4	1	1	1/16	1/16	1		0	72	C5	5	12
15/4	0.25	2	2	3/16	3/16	3/4	1	1	1/16	1/16	1		-5	73	Db5	5	13
4	0.5	2	2	1/4	1/4	3/4	2	2	1/8	1/8	1		-3	51	Eb3	3	18
4	2.0	2	2	1/4	1/4	3/4	1	2	1/2	1/2	1		1	67	G4	4	15
4	2.0	2	2	1/4	1/4	3/4	1	2	1/2	1/2	1		-2	70	Bb4	4	15
4	2.0	2	2	1/4	1/4	3/4	1	1	1/2	1/2	1		-5	73	Db5	5	14
9/2	0.5	2	2	3/8	3/8	3/4	2	2	1/8	1/8	1		-5	49	Db3	3	19
5	0.5	2	2	1/2	1/2	3/4	2	2	1/8	1/8	1		0	48	C3	3	20
11/2	0.5	2	2	5/8	5/8	3/4	2	2	1/8	1/8	1		-2	46	Bb2	2	21
6	0.5	3	3	0	0	3/4	2	2	1/8	1/8	1		-4	44	Ab2	2	29
6	0.5	3	3	0	0	3/4	1	1	1/8	1/8	1		0	72	C5	5	22
13/2	0.25	3	3	1/8	1/8	3/4	2	2	1/16	1/16	1		-2	46	Bb2	2	30
13/2	0.5	3	3	1/8	1/8	3/4	1	1	1/8	1/8	1		-2	70	Bb4	4	23
27/4	0.25	3	3	3/16	3/16	3/4	2	2	1/16	1/16	1		0	48	C3	3	31
7	2.0	3	3	1/4	1/4	3/4	2	2	1/2	1/2	1		0	48	C3	3	32
