quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	1.0	1	1	0	0	3/4	2	2	1/4	1/4	1		4	52	E3	3	6
0	1.0	1	1	0	0	3/4	2	2	1/4	1/4	1		8	56	G#3	3	6
0	1.0	1	1	0	0	3/4	2	2	1/4	1/4	1		5	59	B3	3	6
0	1.0	1	1	0	0	3/4	1	2	1/4	1/4	1		4	64	E4	4	5
0	0.75	1	1	0	0	3/4	1	1	3/16	1/8	3/2		8	68	G#4	4	0
3/4	0.25	1	1	3/16	3/16	3/4	1	1	1/16	1/16	1		3	69	A4	4	1
1	2.0	1	1	1/4	1/4	3/4	2	2	1/2	1/2	1		9	51	D#3	3	7
1	2.0	1	1	1/4	1/4	3/4	2	2	1/2	1/2	1		8	56	G#3	3	7
1	2.0	1	1	1/4	1/4	3/4	2	2	1/2	1/2	1		12	60	B#3	3	7
1	1.5	1	1	1/4	1/4	3/4	1	1	3/8	1/4	3/2		6	66	F#4	4	2
5/2	0.25	1	1	5/8	5/8	3/4	1	1	1/16	1/16	1		4	64	E4	4	3
11/4	0.25	1	1	11/16	11/16	3/4	1	1	1/16	1/16	1		6	66	F#4	4	4
3	1.0	2	2	0	0	3/4	2	2	1/4	1/4	1		7	49	C#3	3	21
3	1.0	2	2	0	0	3/4	2	1	1/4	1/4	1	1	8	56	G#3	3	12
3	1.0	2	2	0	0	3/4	1	2	1/4	1/4	1		7	61	C#4	4	10
3	1.0	2	2	0	0	3/4	1	1	1/4	1/4	1		4	64	E4	4	8
4	2.0	2	2	1/4	1/4	3/4	2	2	1/2	1/2	1		7	49	C#3	3	22
4	0.25	2	2	1/4	1/4	3/4	2	1	1/16	1/16	1	-1	8	56	G#3	3	13
4	2.0	2	2	1/4	1/4	3/4	1	2	1/2	1/2	1		4	64	E4	4	11
4	2.0	2	2	1/4	1/4	3/4	1	1	1/2	1/2	1		3	69	A4	4	9
17/4	0.25	2	2	5/16	5/16	3/4	2	1	1/16	1/16	1		5	59	B3	3	14
9/2	0.25	2	2	3/8	3/8	3/4	2	1	1/16	1/16	1		3	57	A3	3	15
19/4	0.25	2	2	7/16	7/16	3/4	2	1	1/16	1/16	1		8	56	G#3	3	16
5	0.25	2	2	1/2	1/2	3/4	2	1	1/16	1/16	1		6	54	F#3	3	17
21/4	0.25	2	2	9/16	9/16	3/4	2	1	1/16	1/16	1		4	52	E3	3	18
11/2	0.25	2	2	5/8	5/8	3/4	2	1	1/16	1/16	1		9	51	D#3	3	19
23/4	0.25	2	2	11/16	11/16	3/4	2	1	1/16	1/16	1		4	52	E3	3	20
6	1.0	3	3	0	0	3/4	2	2	1/4	1/4	1		9	51	D#3	3	32
6	1.0	3	3	0	0	3/4	2	2	1/4	1/4	1		6	54	F#3	3	32
6	1.0	3	3	0	0	3/4	2	2	1/4	1/4	1		5	59	B3	3	32
6	1.0	3	3	0	0	3/4	1	2	1/4	1/4	1		6	66	F#4	4	28
6	0.75	3	3	0	0	3/4	1	1	3/16	1/8	3/2		3	69	A4	4	23
27/4	0.25	3	3	3/16	3/16	3/4	1	1	1/16	1/16	1		5	71	B4	4	24
7	2.0	3	3	1/4	1/4	3/4	2	2	1/2	1/2	1		4	52	E3	3	33
7	1.0	3	3	1/4	1/4	3/4	2	1	1/4	1/4	1		8	56	G#3	3	30
7	1.0	3	3	1/4	1/4	3/4	2	1	1/4	1/4	1		5	59	B3	3	30
7	2.0	3	3	1/4	1/4	3/4	1	2	1/2	1/2	1		4	64	E4	4	29
7	1.5	3	3	1/4	1/4	3/4	1	1	3/8	1/4	3/2		8	68	G#4	4	25
8	1.0	3	3	1/2	1/2	3/4	2	1	1/4	1/4	1		10	58	A#3	3	31
8	1.0	3	3	1/2	1/2	3/4	2	1	1/4	1/4	1		7	61	C#4	4	31
17/2	0.25	3	3	5/8	5/8	3/4	1	1	1/16	1/16	1		6	66	F#4	4	26
35/4	0.25	3	3	11/16	11/16	3/4	1	1	1/16	1/16	1		8	68	G#4	4	27
9	1.0	4	4	0	0	3/4	2	2	1/4	1/4	1	1	5	47	B2	2	36
9	1.0	4	4	0	0	3/4	1	1	1/4	1/4	1		5	59	B3	3	34
9	1.0	4	4	0	0	3/4	1	1	1/4	1/4	1		9	63	D#4	4	34
9	1.0	4	4	0	0	3/4	1	1	1/4	1/4	1		6	66	F#4	4	34
10	0.25	4	4	1/4	1/4	3/4	2	2	1/16	1/16	1	-1	5	47	B2	2	37
10	2.0	4	4	1/4	1/4	3/4	1	1	1/2	1/2	1		5	59	B3	3	35
10	2.0	4	4	1/4	1/4	3/4	1	1	1/2	1/2	1		9	63	D#4	4	35
10	2.0	4	4	1/4	1/4	3/4	1	1	1/2	1/2	1		6	66	F#4	4	35
41/4	0.25	4	4	5/16	5/16	3/4	2	2	1/16	1/16	1		7	49	C#3	3	38
21/2	0.25	4	4	3/8	3/8	3/4	2	2	1/16	1/16	1		9	51	D#3	3	39
43/4	0.25	4	4	7/16	7/16	3/4	2	2	1/16	1/16	1		4	52	E3	3	40
