quarterbeats	duration_qb	mc	mn	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	1.0	1	0		0	1/2	2/2	2	1	1/4		1/4	1		1	43	G2	2	3
0	1.0	1	0		0	1/2	2/2	1	1	1/4		1/4	1		1	79	G5	5	0
1	1.0	1	0		1/4	3/4	2/2	2	1	1/4		1/4	1		2	50	D3	3	4
1	0.5	1	0		1/4	3/4	2/2	1	1	1/8		1/8	1		-2	82	Bb5	5	1
3/2	0.5	1	0		3/8	7/8	2/2	1	1	1/8		1/8	1		3	81	A5	5	2
2	1.0	2	1		0	0	2/2	2	1	1/4		1/4	1		1	55	G3	3	11
2	1.0	2	1		0	0	2/2	1	1	1/4		1/4	1		-2	82	Bb5	5	5
3	1.0	2	1		1/4	1/4	2/2	2	1	1/4		1/4	1		-2	58	Bb3	3	12
3	0.5	2	1		1/4	1/4	2/2	1	1	1/8		1/8	1		1	79	G5	5	6
7/2	0.5	2	1		3/8	3/8	2/2	1	1	1/8		1/8	1		2	74	D5	5	7
4	1.0	2	1		1/2	1/2	2/2	2	1	1/4		1/4	1		0	60	C4	4	13
4	1.0	2	1		1/2	1/2	2/2	1	1	1/4		1/4	1		3	81	A5	5	8
5	1.0	2	1		3/4	3/4	2/2	2	1	1/4		1/4	1		2	62	D4	4	14
5	0.5	2	1		3/4	3/4	2/2	1	1	1/8		1/8	1		6	78	F#5	5	9
11/2	0.5	2	1		7/8	7/8	2/2	1	1	1/8		1/8	1		2	74	D5	5	10
6	0.5	3	2		0	0	2/2	2	1	1/8		1/8	1		-3	63	Eb4	4	19
6	2.0	3	2		0	0	2/2	1	1	1/2		1/2	1		1	79	G5	5	15
13/2	0.5	3	2		1/8	1/8	2/2	2	1	1/8		1/8	1		-1	65	F4	4	20
7	0.5	3	2		1/4	1/4	2/2	2	1	1/8		1/8	1		-3	63	Eb4	4	21
15/2	0.5	3	2		3/8	3/8	2/2	2	1	1/8		1/8	1		2	62	D4	4	22
8	0.5	3	2		1/2	1/2	2/2	2	1	1/8		1/8	1		0	60	C4	4	23
8	1.0	3	2		1/2	1/2	2/2	1	1	1/4		1/4	1		-3	75	Eb5	5	16
17/2	0.5	3	2		5/8	5/8	2/2	2	1	1/8		1/8	1		-2	58	Bb3	3	24
9	0.5	3	2		3/4	3/4	2/2	2	1	1/8		1/8	1		3	57	A3	3	25
9	0.5	3	2		3/4	3/4	2/2	1	1	1/8		1/8	1		0	72	C5	5	17
19/2	0.5	3	2		7/8	7/8	2/2	2	1	1/8		1/8	1		0	60	C4	4	26
19/2	0.5	3	2		7/8	7/8	2/2	1	1	1/8		1/8	1		3	69	A4	4	18
10	0.5	4	3		0	0	2/2	2	1	1/8		1/8	1		-2	58	Bb3	3	33
10	1.0	4	3		0	0	2/2	1	1	1/4		1/4	1		2	74	D5	5	27
21/2	0.5	4	3		1/8	1/8	2/2	2	1	1/8		1/8	1		3	57	A3	3	34
11	0.5	4	3		1/4	1/4	2/2	2	1	1/8		1/8	1		1	55	G3	3	35
11	0.5	4	3		1/4	1/4	2/2	1	1	1/8		1/8	1		-2	70	Bb4	4	28
23/2	0.5	4	3		3/8	3/8	2/2	2	1	1/8		1/8	1		-2	58	Bb3	3	36
23/2	0.5	4	3		3/8	3/8	2/2	1	1	1/8		1/8	1		1	67	G4	4	29
12	0.5	4	3		1/2	1/2	2/2	2	1	1/8		1/8	1		3	57	A3	3	37
12	0.5	4	3		1/2	1/2	2/2	1	1	1/8		1/8	1		0	72	C5	5	30
25/2	0.5	4	3		5/8	5/8	2/2	2	1	1/8		1/8	1		1	55	G3	3	38
25/2	0.5	4	3		5/8	5/8	2/2	1	1	1/8		1/8	1		3	69	A4	4	31
13	0.5	4	3		3/4	3/4	2/2	2	1	1/8		1/8	1		6	54	F#3	3	39
13	1.0	4	3		3/4	3/4	2/2	1	1	1/4		1/4	1		2	74	D5	5	32
27/2	0.5	4	3		7/8	7/8	2/2	2	1	1/8		1/8	1		2	50	D3	3	40
14	1.0	5	4		0	0	2/2	2	1	1/4		1/4	1		1	55	G3	3	47
14	1.0	5	4		0	0	2/2	1	1	1/4		1/4	1		-2	70	Bb4	4	41
