mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	0.5		0	3/4	2/2	2	1	1/8	1/8	1		3	57	A3	3	1
1	0	0	0	1.0		0	3/4	2/2	1	1	1/4	1/4	1		3	81	A5	5	0
1	0	1/2	1/2	0.5		1/8	7/8	2/2	2	1	1/8	1/8	1		5	59	B3	3	2
2	1	1	1	0.5		0	0	2/2	2	1	1/8	1/8	1		0	60	C4	4	9
2	1	1	1	1.0		0	0	2/2	1	1	1/4	1/4	1		4	76	E5	5	3
2	1	3/2	3/2	0.5		1/8	1/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	10
2	1	2	2	0.5		1/4	1/4	2/2	2	1	1/8	1/8	1		0	60	C4	4	11
2	1	2	2	0.5		1/4	1/4	2/2	1	1	1/8	1/8	1		2	74	D5	5	4
2	1	5/2	5/2	0.5		3/8	3/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	12
2	1	5/2	5/2	0.5		3/8	3/8	2/2	1	1	1/8	1/8	1		4	76	E5	5	5
2	1	3	3	0.5		1/2	1/2	2/2	2	1	1/8	1/8	1		2	62	D4	4	13
2	1	3	3	1.0		1/2	1/2	2/2	1	1	1/4	1/4	1		-1	77	F5	5	6
2	1	7/2	7/2	0.5		5/8	5/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	14
2	1	4	4	0.5		3/4	3/4	2/2	2	1	1/8	1/8	1		2	62	D4	4	15
2	1	4	4	0.5		3/4	3/4	2/2	1	1	1/8	1/8	1		4	76	E5	5	7
2	1	9/2	9/2	0.5		7/8	7/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	16
2	1	9/2	9/2	0.5		7/8	7/8	2/2	1	1	1/8	1/8	1		2	74	D5	5	8
3	2	5	5	0.5		0	0	2/2	2	1	1/8	1/8	1		0	60	C4	4	21
3	2	5	5	1.0		0	0	2/2	1	1	1/4	1/4	1		4	76	E5	5	17
3	2	11/2	11/2	0.5		1/8	1/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	22
3	2	6	6	0.5		1/4	1/4	2/2	2	1	1/8	1/8	1		2	62	D4	4	23
3	2	6	6	1.0		1/4	1/4	2/2	1	1	1/4	1/4	1		3	69	A4	4	18
3	2	13/2	13/2	0.5		3/8	3/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	24
3	2	7	7	0.5		1/2	1/2	2/2	2	1	1/8	1/8	1		0	60	C4	4	25
3	2	7	7	1.0		1/2	1/2	2/2	1	1	1/4	1/4	1		3	69	A4	4	19
3	2	15/2	15/2	0.5		5/8	5/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	26
3	2	8	8	0.5		3/4	3/4	2/2	2	1	1/8	1/8	1		5	59	B3	3	27
3	2	8	8	1.0		3/4	3/4	2/2	1	1	1/4	1/4	1		3	81	A5	5	20
3	2	17/2	17/2	0.5		7/8	7/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	28
4	3	9	9	0.5		0	0	2/2	2	1	1/8	1/8	1		0	60	C4	4	35
4	3	9	9	1.0		0	0	2/2	1	1	1/4	1/4	1		4	76	E5	5	29
4	3	19/2	19/2	0.5		1/8	1/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	36
4	3	10	10	0.5		1/4	1/4	2/2	2	1	1/8	1/8	1		0	60	C4	4	37
4	3	10	10	0.5		1/4	1/4	2/2	1	1	1/8	1/8	1		2	74	D5	5	30
4	3	21/2	21/2	0.5		3/8	3/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	38
4	3	21/2	21/2	0.5		3/8	3/8	2/2	1	1	1/8	1/8	1		4	76	E5	5	31
4	3	11	11	0.5		1/2	1/2	2/2	2	1	1/8	1/8	1		2	62	D4	4	39
4	3	11	11	1.0		1/2	1/2	2/2	1	1	1/4	1/4	1		-1	77	F5	5	32
4	3	23/2	23/2	0.5		5/8	5/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	40
4	3	12	12	0.5		3/4	3/4	2/2	2	1	1/8	1/8	1		2	62	D4	4	41
4	3	12	12	0.5		3/4	3/4	2/2	1	1	1/8	1/8	1		4	76	E5	5	33
4	3	25/2	25/2	0.5		7/8	7/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	42
4	3	25/2	25/2	0.5		7/8	7/8	2/2	1	1	1/8	1/8	1		2	74	D5	5	34
5	4	13	13	0.5		0	0	2/2	2	1	1/8	1/8	1		0	60	C4	4	49
5	4	13	13	1.0		0	0	2/2	1	1	1/4	1/4	1		4	76	E5	5	43
5	4	27/2	27/2	0.5		1/8	1/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	50
5	4	14	14	0.5		1/4	1/4	2/2	2	1	1/8	1/8	1		0	60	C4	4	51
5	4	14	14	0.5		1/4	1/4	2/2	1	1	1/8	1/8	1		2	74	D5	5	44
5	4	29/2	29/2	0.5		3/8	3/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	52
5	4	29/2	29/2	0.5		3/8	3/8	2/2	1	1	1/8	1/8	1		0	72	C5	5	45
5	4	15	15	0.5		1/2	1/2	2/2	2	1	1/8	1/8	1		5	59	B3	3	53
5	4	15	15	1.0		1/2	1/2	2/2	1	1	1/4	1/4	1		2	74	D5	5	46
5	4	31/2	31/2	0.5		5/8	5/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	54
5	4	16	16	0.5		3/4	3/4	2/2	2	1	1/8	1/8	1		5	59	B3	3	55
5	4	16	16	0.5		3/4	3/4	2/2	1	1	1/8	1/8	1		0	72	C5	5	47
5	4	33/2	33/2	0.5		7/8	7/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	56
5	4	33/2	33/2	0.5		7/8	7/8	2/2	1	1	1/8	1/8	1		2	74	D5	5	48
6	5	17	17	0.5		0	0	2/2	2	1	1/8	1/8	1		8	56	G#3	3	63
6	5	17	17	1.0		0	0	2/2	1	1	1/4	1/4	1		4	76	E5	5	57
6	5	35/2	35/2	0.5		1/8	1/8	2/2	2	1	1/8	1/8	1		5	59	B3	3	64
6	5	18	18	0.5		1/4	1/4	2/2	2	1	1/8	1/8	1		6	54	F#3	3	65
6	5	18	18	0.5		1/4	1/4	2/2	1	1	1/8	1/8	1		2	74	D5	5	58
6	5	37/2	37/2	0.5		3/8	3/8	2/2	2	1	1/8	1/8	1		5	59	B3	3	66
6	5	37/2	37/2	0.5		3/8	3/8	2/2	1	1	1/8	1/8	1		0	72	C5	5	59
6	5	19	19	0.5		1/2	1/2	2/2	2	1	1/8	1/8	1		8	56	G#3	3	67
6	5	19	19	1.0		1/2	1/2	2/2	1	1	1/4	1/4	1		2	74	D5	5	60
6	5	39/2	39/2	0.5		5/8	5/8	2/2	2	1	1/8	1/8	1		5	59	B3	3	68
6	5	20	20	0.5		3/4	3/4	2/2	2	1	1/8	1/8	1		4	52	E3	3	69
6	5	20	20	0.5		3/4	3/4	2/2	1	1	1/8	1/8	1		0	72	C5	5	61
6	5	41/2	41/2	0.5		7/8	7/8	2/2	2	1	1/8	1/8	1		8	56	G#3	3	70
6	5	41/2	41/2	0.5		7/8	7/8	2/2	1	1	1/8	1/8	1		5	71	B4	4	62
7	6	21	21	0.5		0	0	2/2	2	1	1/8	1/8	1		3	57	A3	3	77
7	6	21	21	1.0		0	0	2/2	1	1	1/4	1/4	1		0	72	C5	5	71
7	6	43/2	43/2	0.5		1/8	1/8	2/2	2	1	1/8	1/8	1		4	52	E3	3	78
7	6	22	22	0.5		1/4	1/4	2/2	2	1	1/8	1/8	1		3	57	A3	3	79
7	6	22	22	0.5		1/4	1/4	2/2	1	1	1/8	1/8	1		5	71	B4	4	72
7	6	45/2	45/2	0.5		3/8	3/8	2/2	2	1	1/8	1/8	1		4	52	E3	3	80
7	6	45/2	45/2	0.5		3/8	3/8	2/2	1	1	1/8	1/8	1		0	72	C5	5	73
7	6	23	23	0.5		1/2	1/2	2/2	2	1	1/8	1/8	1		5	59	B3	3	81
