quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1/2	0.5	1	1	1/8	1/8	3/4	1	1	1/8		1/8	1		4	76	E5	5	0
1	0.5	1	1	1/4	1/4	3/4	1	1	1/8		1/8	1		3	69	A4	4	1
3/2	0.5	1	1	3/8	3/8	3/4	1	1	1/8		1/8	1		3	81	A5	5	2
2	0.25	1	1	1/2	1/2	3/4	1	1	1/16		1/16	1		1	79	G5	5	3
9/4	0.25	1	1	9/16	9/16	3/4	1	1	1/16		1/16	1		4	76	E5	5	4
5/2	0.25	1	1	5/8	5/8	3/4	1	1	1/16		1/16	1		-1	77	F5	5	5
11/4	0.25	1	1	11/16	11/16	3/4	1	1	1/16		1/16	1		2	74	D5	5	6
3	0.25	2	2	0	0	3/4	1	1	1/16		1/16	1		4	76	E5	5	7
13/4	0.25	2	2	1/16	1/16	3/4	1	1	1/16		1/16	1		2	74	D5	5	8
7/2	0.5	2	2	1/8	1/8	3/4	1	2	1/8		1/8	1		4	64	E4	4	19
7/2	0.25	2	2	1/8	1/8	3/4	1	1	1/16		1/16	1		0	72	C5	5	9
15/4	0.25	2	2	3/16	3/16	3/4	1	1	1/16		1/16	1		5	71	B4	4	10
4	0.5	2	2	1/4	1/4	3/4	1	2	1/8		1/8	1		3	57	A3	3	20
4	0.25	2	2	1/4	1/4	3/4	1	1	1/16		1/16	1		0	72	C5	5	11
17/4	0.25	2	2	5/16	5/16	3/4	1	1	1/16		1/16	1		5	71	B4	4	12
9/2	0.5	2	2	3/8	3/8	3/4	1	2	1/8		1/8	1		3	69	A4	4	21
9/2	0.25	2	2	3/8	3/8	3/4	1	1	1/16		1/16	1		0	72	C5	5	13
19/4	0.25	2	2	7/16	7/16	3/4	1	1	1/16		1/16	1		-1	77	F5	5	14
5	0.25	2	2	1/2	1/2	3/4	1	2	1/16		1/16	1		1	67	G4	4	22
5	0.25	2	2	1/2	1/2	3/4	1	1	1/16		1/16	1		5	71	B4	4	15
21/4	0.25	2	2	9/16	9/16	3/4	1	2	1/16		1/16	1		4	64	E4	4	23
21/4	0.25	2	2	9/16	9/16	3/4	1	1	1/16		1/16	1		4	76	E5	5	16
11/2	0.25	2	2	5/8	5/8	3/4	1	2	1/16		1/16	1		-1	65	F4	4	24
11/2	0.25	2	2	5/8	5/8	3/4	1	1	1/16		1/16	1		3	69	A4	4	17
23/4	0.25	2	2	11/16	11/16	3/4	1	2	1/16		1/16	1		2	62	D4	4	25
23/4	0.25	2	2	11/16	11/16	3/4	1	1	1/16		1/16	1		2	74	D5	5	18
6	0.5	3	3	0	0	3/4	2	2	1/8		1/8	1		4	64	E4	4	38
6	0.25	3	3	0	0	3/4	1	1	1/16		1/16	1		8	68	G#4	4	26
25/4	0.25	3	3	1/16	1/16	3/4	1	1	1/16		1/16	1		2	74	D5	5	27
13/2	0.5	3	3	1/8	1/8	3/4	2	2	1/8		1/8	1		4	52	E3	3	39
13/2	0.25	3	3	1/8	1/8	3/4	1	1	1/16		1/16	1		5	71	B4	4	28
27/4	0.25	3	3	3/16	3/16	3/4	1	1	1/16		1/16	1		8	68	G#4	4	29
7	0.5	3	3	1/4	1/4	3/4	2	2	1/8		1/8	1		8	56	G#3	3	40
7	0.25	3	3	1/4	1/4	3/4	1	1	1/16		1/16	1		2	74	D5	5	30
29/4	0.25	3	3	5/16	5/16	3/4	1	1	1/16		1/16	1		5	71	B4	4	31
15/2	0.5	3	3	3/8	3/8	3/4	2	2	1/8		1/8	1		5	59	B3	3	41
15/2	0.25	3	3	3/8	3/8	3/4	1	1	1/16		1/16	1		8	68	G#4	4	32
31/4	0.25	3	3	7/16	7/16	3/4	1	1	1/16		1/16	1		5	71	B4	4	33
8	0.5	3	3	1/2	1/2	3/4	2	2	1/8		1/8	1		8	56	G#3	3	42
8	0.25	3	3	1/2	1/2	3/4	1	1	1/16		1/16	1		4	64	E4	4	34
33/4	0.25	3	3	9/16	9/16	3/4	1	1	1/16		1/16	1		2	74	D5	5	35
17/2	0.5	3	3	5/8	5/8	3/4	2	2	1/8		1/8	1		4	52	E3	3	43
17/2	0.25	3	3	5/8	5/8	3/4	1	1	1/16		1/16	1		0	72	C5	5	36
35/4	0.25	3	3	11/16	11/16	3/4	1	1	1/16		1/16	1		5	71	B4	4	37
9	0.5	4	4	0	0	3/4	2	1	1/8		1/8	1		3	57	A3	3	56
9	0.25	4	4	0	0	3/4	1	1	1/16		1/16	1		0	72	C5	5	44
37/4	0.25	4	4	1/16	1/16	3/4	1	1	1/16		1/16	1		5	71	B4	4	45
19/2	0.5	4	4	1/8	1/8	3/4	2	1	1/8		1/8	1		4	52	E3	3	57
19/2	0.25	4	4	1/8	1/8	3/4	1	1	1/16		1/16	1		3	69	A4	4	46
