mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0.5		0	1/2	2/2	2	1	1/8	1/8	1		2	50	D3	3	4
1	0	0	1.0		0	1/2	2/2	1	2	1/4	1/4	1		-1	77	F5	5	2
1	0	0	1.0		0	1/2	2/2	1	1	1/4	1/4	1		3	81	A5	5	0
1	0	1/2	0.5		1/8	5/8	2/2	2	1	1/8	1/8	1		2	62	D4	4	5
1	0	1	0.5		1/4	3/4	2/2	2	1	1/8	1/8	1		7	61	C#4	4	6
1	0	1	1.0		1/4	3/4	2/2	1	2	1/4	1/4	1		4	76	E5	5	3
1	0	1	1.0		1/4	3/4	2/2	1	1	1/4	1/4	1		3	81	A5	5	1
1	0	3/2	0.5		3/8	7/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	7
2	1	2	0.5		0	0	2/2	2	1	1/8	1/8	1		2	62	D4	4	16
2	1	2	2.0		0	0	2/2	1	2	1/2	1/2	1		-1	77	F5	5	13
2	1	2	1.5		0	0	2/2	1	1	3/8	1/4	3/2		3	81	A5	5	8
2	1	5/2	0.5		1/8	1/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	17
2	1	3	0.5		1/4	1/4	2/2	2	1	1/8	1/8	1		2	50	D3	3	18
2	1	7/2	0.5		3/8	3/8	2/2	2	1	1/8	1/8	1		0	60	C4	4	19
2	1	7/2	0.25		3/8	3/8	2/2	1	1	1/16	1/16	1		1	79	G5	5	9
2	1	15/4	0.25		7/16	7/16	2/2	1	1	1/16	1/16	1		3	81	A5	5	10
2	1	4	0.5		1/2	1/2	2/2	2	1	1/8	1/8	1		-2	58	Bb3	3	20
2	1	4	1.0		1/2	1/2	2/2	1	2	1/4	1/4	1		1	79	G5	5	14
2	1	4	1.0		1/2	1/2	2/2	1	1	1/4	1/4	1		-2	82	Bb5	5	11
2	1	9/2	0.5		5/8	5/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	21
2	1	5	0.5		3/4	3/4	2/2	2	1	1/8	1/8	1		-2	58	Bb3	3	22
2	1	5	1.0		3/4	3/4	2/2	1	2	1/4	1/4	1		-1	77	F5	5	15
2	1	5	1.0		3/4	3/4	2/2	1	1	1/4	1/4	1		3	81	A5	5	12
2	1	11/2	0.5		7/8	7/8	2/2	2	1	1/8	1/8	1		1	55	G3	3	23
3	2	6	0.5		0	0	2/2	2	1	1/8	1/8	1		0	60	C4	4	30
3	2	6	2.0		0	0	2/2	1	2	1/2	1/2	1		4	76	E5	5	27
3	2	6	2.0		0	0	2/2	1	1	1/2	1/2	1		1	79	G5	5	24
3	2	13/2	0.5		1/8	1/8	2/2	2	1	1/8	1/8	1		1	55	G3	3	31
3	2	7	0.5		1/4	1/4	2/2	2	1	1/8	1/8	1		0	48	C3	3	32
3	2	15/2	0.5		3/8	3/8	2/2	2	1	1/8	1/8	1		1	55	G3	3	33
3	2	8	0.5		1/2	1/2	2/2	2	1	1/8	1/8	1		0	60	C4	4	34
3	2	8	1.0		1/2	1/2	2/2	1	2	1/4	1/4	1		4	76	E5	5	28
3	2	8	1.0		1/2	1/2	2/2	1	1	1/4	1/4	1		1	79	G5	5	25
3	2	17/2	0.5		5/8	5/8	2/2	2	1	1/8	1/8	1		2	62	D4	4	35
3	2	9	0.5		3/4	3/4	2/2	2	1	1/8	1/8	1		4	64	E4	4	36
3	2	9	1.0		3/4	3/4	2/2	1	2	1/4	1/4	1		4	76	E5	5	29
3	2	9	1.0		3/4	3/4	2/2	1	1	1/4	1/4	1		1	79	G5	5	26
3	2	19/2	0.5		7/8	7/8	2/2	2	1	1/8	1/8	1		2	62	D4	4	37
4	3	10	0.5		0	0	2/2	2	1	1/8	1/8	1		7	61	C#4	4	48
4	3	10	2.0		0	0	2/2	1	2	1/2	1/2	1		4	76	E5	5	46
4	3	10	0.5		0	0	2/2	1	1	1/8	1/8	1		1	79	G5	5	38
4	3	21/2	0.5		1/8	1/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	49
4	3	21/2	0.5		1/8	1/8	2/2	1	1	1/8	1/8	1		-1	77	F5	5	39
4	3	11	0.5		1/4	1/4	2/2	2	1	1/8	1/8	1		5	59	B3	3	50
4	3	11	0.5		1/4	1/4	2/2	1	1	1/8	1/8	1		1	79	G5	5	40
4	3	23/2	0.5		3/8	3/8	2/2	2	1	1/8	1/8	1		7	61	C#4	4	51
4	3	23/2	0.5		3/8	3/8	2/2	1	1	1/8	1/8	1		3	81	A5	5	41
4	3	12	0.5		1/2	1/2	2/2	2	1	1/8	1/8	1		2	62	D4	4	52
4	3	12	2.0		1/2	1/2	2/2	1	2	1/2	1/2	1		2	74	D5	5	47
4	3	12	0.5		1/2	1/2	2/2	1	1	1/8	1/8	1		-1	77	F5	5	42
