quarterbeats	duration_qb	mc	mn	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	1.0	1	1		0	0	3/4	2	1	1/4	1/4	1		-1	53	F3	3	5
0	0.5	1	1		0	0	3/4	1	1	1/8	1/8	1		-1	65	F4	4	0
1/2	0.5	1	1		1/8	1/8	3/4	1	1	1/8	1/8	1		1	67	G4	4	1
1	0.5	1	1		1/4	1/4	3/4	2	1	1/8	1/8	1		4	52	E3	3	6
1	1.5	1	1		1/4	1/4	3/4	1	1	3/8	1/4	3/2		1	67	G4	4	2
3/2	0.5	1	1		3/8	3/8	3/4	2	1	1/8	1/8	1		2	50	D3	3	7
2	0.5	1	1		1/2	1/2	3/4	2	1	1/8	1/8	1		4	52	E3	3	8
5/2	0.5	1	1		5/8	5/8	3/4	2	1	1/8	1/8	1		0	48	C3	3	9
5/2	0.25	1	1		5/8	5/8	3/4	1	1	1/16	1/16	1		-1	65	F4	4	3
11/4	0.25	1	1		11/16	11/16	3/4	1	1	1/16	1/16	1		1	67	G4	4	4
3	1.0	2	2		0	0	3/4	2	1	1/4	1/4	1		-1	53	F3	3	14
3	0.5	2	2		0	0	3/4	1	1	1/8	1/8	1		3	69	A4	4	10
7/2	0.5	2	2		1/8	1/8	3/4	1	1	1/8	1/8	1		-2	70	Bb4	4	11
4	0.5	2	2		1/4	1/4	3/4	2	1	1/8	1/8	1		-1	41	F2	2	15
4	1.0	2	2		1/4	1/4	3/4	1	1	1/4	1/4	1		0	72	C5	5	12
9/2	0.5	2	2		3/8	3/8	3/4	2	1	1/8	1/8	1		1	43	G2	2	16
5	0.5	2	2		1/2	1/2	3/4	2	1	1/8	1/8	1		3	45	A2	2	17
5	1.0	2	2		1/2	1/2	3/4	1	1	1/4	1/4	1		-1	77	F5	5	13
11/2	0.5	2	2		5/8	5/8	3/4	2	1	1/8	1/8	1		-2	46	Bb2	2	18
6	0.5	3	3		0	0	3/4	2	1	1/8	1/8	1		0	48	C3	3	23
6	0.5	3	3		0	0	3/4	1	1	1/8	1/8	1		3	69	A4	4	19
13/2	0.5	3	3		1/8	1/8	3/4	2	1	1/8	1/8	1		2	50	D3	3	24
13/2	0.5	3	3		1/8	1/8	3/4	1	1	1/8	1/8	1		-2	70	Bb4	4	20
7	0.5	3	3		1/4	1/4	3/4	2	1	1/8	1/8	1		4	52	E3	3	25
7	1.0	3	3		1/4	1/4	3/4	1	1	1/4	1/4	1		0	72	C5	5	21
15/2	0.5	3	3		3/8	3/8	3/4	2	1	1/8	1/8	1		1	55	G3	3	26
8	0.5	3	3		1/2	1/2	3/4	2	1	1/8	1/8	1		6	54	F#3	3	27
8	1.0	3	3		1/2	1/2	3/4	1	1	1/4	1/4	1		2	74	D5	5	22
17/2	0.5	3	3		5/8	5/8	3/4	2	1	1/8	1/8	1		3	57	A3	3	28
9	0.5	4	4		0	0	3/4	2	1	1/8	1/8	1		1	55	G3	3	30
9	3.0	4	4		0	0	3/4	1	1	3/4	1/2	3/2		-2	70	Bb4	4	29
19/2	0.5	4	4		1/8	1/8	3/4	2	1	1/8	1/8	1		3	57	A3	3	31
10	0.5	4	4		1/4	1/4	3/4	2	1	1/8	1/8	1		-2	58	Bb3	3	32
21/2	0.5	4	4		3/8	3/8	3/4	2	1	1/8	1/8	1		3	57	A3	3	33
11	0.5	4	4		1/2	1/2	3/4	2	1	1/8	1/8	1		1	55	G3	3	34
23/2	0.5	4	4		5/8	5/8	3/4	2	1	1/8	1/8	1		-1	53	F3	3	35
12	0.5	5	5		0	0	3/4	2	1	1/8	1/8	1		4	52	E3	3	41
12	0.5	5	5		0	0	3/4	1	1	1/8	1/8	1		1	67	G4	4	36
25/2	0.5	5	5		1/8	1/8	3/4	2	1	1/8	1/8	1		2	50	D3	3	42
25/2	0.5	5	5		1/8	1/8	3/4	1	1	1/8	1/8	1		3	69	A4	4	37
13	0.5	5	5		1/4	1/4	3/4	2	1	1/8	1/8	1		0	48	C3	3	43
13	1.5	5	5		1/4	1/4	3/4	1	1	3/8	1/4	3/2		3	69	A4	4	38
27/2	0.5	5	5		3/8	3/8	3/4	2	1	1/8	1/8	1		2	50	D3	3	44
14	0.5	5	5		1/2	1/2	3/4	2	1	1/8	1/8	1		4	52	E3	3	45
29/2	0.5	5	5		5/8	5/8	3/4	2	1	1/8	1/8	1		-1	53	F3	3	46
29/2	0.25	5	5		5/8	5/8	3/4	1	1	1/16	1/16	1		1	67	G4	4	39
59/4	0.25	5	5		11/16	11/16	3/4	1	1	1/16	1/16	1		3	69	A4	4	40
15	1.0	6	6		0	0	3/4	2	1	1/4	1/4	1		1	55	G3	3	51
15	0.5	6	6		0	0	3/4	1	1	1/8	1/8	1		-2	70	Bb4	4	47
31/2	0.5	6	6		1/8	1/8	3/4	1	1	1/8	1/8	1		0	72	C5	5	48
16	0.5	6	6		1/4	1/4	3/4	2	1	1/8	1/8	1		1	43	G2	2	52
16	1.0	6	6		1/4	1/4	3/4	1	1	1/4	1/4	1		2	74	D5	5	49
33/2	0.5	6	6		3/8	3/8	3/4	2	1	1/8	1/8	1		3	45	A2	2	53
17	0.5	6	6		1/2	1/2	3/4	2	1	1/8	1/8	1		-2	46	Bb2	2	54
17	1.0	6	6		1/2	1/2	3/4	1	1	1/4	1/4	1		1	79	G5	5	50
35/2	0.5	6	6		5/8	5/8	3/4	2	1	1/8	1/8	1		1	43	G2	2	55
18	1.0	7	7		0	0	3/4	2	1	1/4	1/4	1		0	48	C3	3	62
18	0.5	7	7		0	0	3/4	1	1	1/8	1/8	1		-1	77	F5	5	56
37/2	0.5	7	7		1/8	1/8	3/4	1	1	1/8	1/8	1		4	76	E5	5	57
19	1.0	7	7		1/4	1/4	3/4	2	1	1/4	1/4	1		2	50	D3	3	63
19	0.5	7	7		1/4	1/4	3/4	1	1	1/8	1/8	1		2	74	D5	5	58
39/2	0.5	7	7		3/8	3/8	3/4	1	1	1/8	1/8	1		0	72	C5	5	59
20	1.0	7	7		1/2	1/2	3/4	2	1	1/4	1/4	1		4	52	E3	3	64
20	0.5	7	7		1/2	1/2	3/4	1	1	1/8	1/8	1		-2	70	Bb4	4	60
41/2	0.5	7	7		5/8	5/8	3/4	1	1	1/8	1/8	1		3	69	A4	4	61
21	1.0	8	8		0	0	3/4	2	1	1/4	1/4	1		-1	53	F3	3	71
21	0.5	8	8		0	0	3/4	1	1	1/8	1/8	1		1	67	G4	4	65
43/2	0.5	8	8		1/8	1/8	3/4	1	1	1/8	1/8	1		3	69	A4	4	66
22	1.0	8	8		1/4	1/4	3/4	2	1	1/4	1/4	1		0	48	C3	3	72
22	0.5	8	8		1/4	1/4	3/4	1	1	1/8	1/8	1		-2	70	Bb4	4	67
45/2	0.5	8	8		3/8	3/8	3/4	1	1	1/8	1/8	1		3	69	A4	4	68
23	1.0	8	8		1/2	1/2	3/4	2	1	1/4	1/4	1		3	45	A2	2	73
23	0.5	8	8		1/2	1/2	3/4	1	1	1/8	1/8	1		1	67	G4	4	69
47/2	0.5	8	8		5/8	5/8	3/4	1	1	1/8	1/8	1		-1	65	F4	4	70
24	1.0	9	9		0	0	3/4	2	1	1/4	1/4	1		-1	41	F2	2	79
24	0.5	9	9		0	0	3/4	1	1	1/8	1/8	1		3	69	A4	4	74
49/2	0.5	9	9		1/8	1/8	3/4	1	1	1/8	1/8	1		5	71	B4	4	75
25	0.5	9	9		1/4	1/4	3/4	2	1	1/8	1/8	1		-1	53	F3	3	80
25	1.5	9	9		1/4	1/4	3/4	1	1	3/8	1/4	3/2		5	71	B4	4	76
51/2	0.5	9	9		3/8	3/8	3/4	2	1	1/8	1/8	1		4	52	E3	3	81
26	0.5	9	9		1/2	1/2	3/4	2	1	1/8	1/8	1		-1	53	F3	3	82
53/2	0.5	9	9		5/8	5/8	3/4	2	1	1/8	1/8	1		2	50	D3	3	83
53/2	0.25	9	9		5/8	5/8	3/4	1	1	1/16	1/16	1		3	69	A4	4	77
107/4	0.25	9	9		11/16	11/16	3/4	1	1	1/16	1/16	1		5	71	B4	4	78
27	1.0	10	10		0	0	3/4	2	1	1/4	1/4	1		4	52	E3	3	90
27	0.5	10	10		0	0	3/4	1	1	1/8	1/8	1		0	72	C5	5	84
55/2	0.5	10	10		1/8	1/8	3/4	1	1	1/8	1/8	1		2	74	D5	5	85
28	1.0	10	10		1/4	1/4	3/4	2	1	1/4	1/4	1		-1	53	F3	3	91
28	0.5	10	10		1/4	1/4	3/4	1	1	1/8	1/8	1		4	76	E5	5	86
57/2	0.5	10	10		3/8	3/8	3/4	1	1	1/8	1/8	1		2	74	D5	5	87
29	1.0	10	10		1/2	1/2	3/4	2	1	1/4	1/4	1		1	55	G3	3	92
29	0.5	10	10		1/2	1/2	3/4	1	1	1/8	1/8	1		-1	77	F5	5	88
59/2	0.5	10	10		5/8	5/8	3/4	1	1	1/8	1/8	1		4	76	E5	5	89
30	0.5	11	11		0	0	3/4	2	1	1/8	1/8	1		0	48	C3	3	98
30	0.5	11	11		0	0	3/4	1	1	1/8	1/8	1		4	76	E5	5	93
61/2	0.5	11	11		1/8	1/8	3/4	2	1	1/8	1/8	1		2	50	D3	3	99
61/2	0.5	11	11		1/8	1/8	3/4	1	1	1/8	1/8	1		-1	77	F5	5	94
31	0.5	11	11		1/4	1/4	3/4	2	1	1/8	1/8	1		4	52	E3	3	100
31	1.5	11	11		1/4	1/4	3/4	1	1	3/8	1/4	3/2		-1	77	F5	5	95
63/2	0.5	11	11		3/8	3/8	3/4	2	1	1/8	1/8	1		2	50	D3	3	101
32	0.5	11	11		1/2	1/2	3/4	2	1	1/8	1/8	1		0	48	C3	3	102
65/2	0.5	11	11		5/8	5/8	3/4	2	1	1/8	1/8	1		2	50	D3	3	103
65/2	0.25	11	11		5/8	5/8	3/4	1	1	1/16	1/16	1		4	76	E5	5	96
131/4	0.25	11	11		11/16	11/16	3/4	1	1	1/16	1/16	1		-1	77	F5	5	97
33	0.5	12	12		0	0	3/4	2	1	1/8	1/8	1		4	52	E3	3	105
33	3.0	12	12		0	0	3/4	1	1	3/4	1/2	3/2		1	79	G5	5	104
