quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	3.0	1	1	0	0	3/4	2	3	3/4		1/2	3/2	1	1	43	G2	2	17
0	1.0	1	1	0	0	3/4	2	2	1/4		1/4	1		2	50	D3	3	15
0	1.0	1	1	0	0	3/4	2	1	1/4		1/4	1		1	55	G3	3	14
0	1.0	1	1	0	0	3/4	1	2	1/4		1/4	1		2	62	D4	4	11
0	1.0	1	1	0	0	3/4	1	3	1/4		1/4	1		1	67	G4	4	13
0	0.5	1	1	0	0	3/4	1	1	1/8		1/8	1		-2	70	Bb4	4	0
1/2	0.5	1	1	1/8	1/8	3/4	1	1	1/8		1/8	1		3	69	A4	4	1
1	2.0	1	1	1/4	1/4	3/4	2	2	1/2		1/2	1	1	-3	51	Eb3	3	16
1	2.0	1	1	1/4	1/4	3/4	1	2	1/2		1/2	1	1	0	60	C4	4	12
1	1.0	1	1	1/4	1/4	3/4	1	1	1/4		1/4	1	1	3	69	A4	4	2
2	0.125	1	1	1/2	1/2	3/4	1	1	1/32		1/32	1	-1	3	69	A4	4	3
17/8	0.125	1	1	17/32	17/32	3/4	1	1	1/32		1/32	1		0	72	C5	5	4
9/4	0.125	1	1	9/16	9/16	3/4	1	1	1/32		1/32	1		-2	70	Bb4	4	5
19/8	0.125	1	1	19/32	19/32	3/4	1	1	1/32		1/32	1		3	69	A4	4	6
5/2	0.125	1	1	5/8	5/8	3/4	1	1	1/32		1/32	1		0	72	C5	5	7
21/8	0.125	1	1	21/32	21/32	3/4	1	1	1/32		1/32	1		-2	70	Bb4	4	8
11/4	0.125	1	1	11/16	11/16	3/4	1	1	1/32		1/32	1		2	74	D5	5	9
23/8	0.125	1	1	23/32	23/32	3/4	1	1	1/32		1/32	1		0	72	C5	5	10
3	3.0	2	2	0	0	3/4	2	3	3/4		1/2	3/2	0	1	43	G2	2	29
3	3.0	2	2	0	0	3/4	2	2	3/4		1/2	3/2	0	-3	51	Eb3	3	28
3	1.0	2	2	0	0	3/4	1	2	1/4		1/4	1	-1	0	60	C4	4	25
3	0.5	2	2	0	0	3/4	1	1	1/8		1/8	1		0	72	C5	5	18
7/2	0.25	2	2	1/8	1/8	3/4	1	1	1/16		1/16	1		-2	70	Bb4	4	19
15/4	0.25	2	2	3/16	3/16	3/4	1	1	1/16		1/16	1		3	69	A4	4	20
4	2.0	2	2	1/4	1/4	3/4	2	1	1/2		1/2	1	1	3	57	A3	3	27
4	2.0	2	2	1/4	1/4	3/4	1	2	1/2		1/2	1	1	0	60	C4	4	26
4	1.0	2	2	1/4	1/4	3/4	1	1	1/4		1/4	1		1	67	G4	4	21
5	0.75	2	2	1/2	1/2	3/4	1	1	3/16		1/8	3/2		6	66	F#4	4	22
23/4	0.125	2	2	11/16	11/16	3/4	1	1	1/32		1/32	1		3	69	A4	4	23
47/8	0.125	2	2	23/32	23/32	3/4	1	1	1/32		1/32	1		1	67	G4	4	24
6	3.0	3	3	0	0	3/4	2	3	3/4		1/2	3/2	0	1	43	G2	2	47
6	1.0	3	3	0	0	3/4	2	2	1/4		1/4	1	-1	-3	51	Eb3	3	45
6	1.0	3	3	0	0	3/4	2	1	1/4		1/4	1	-1	3	57	A3	3	43
6	1.0	3	3	0	0	3/4	1	2	1/4		1/4	1	-1	0	60	C4	4	41
6	0.25	3	3	0	0	3/4	1	1	1/16		1/16	1		1	67	G4	4	30
25/4	0.25	3	3	1/16	1/16	3/4	1	1	1/16		1/16	1		3	69	A4	4	31
13/2	0.5	3	3	1/8	1/8	3/4	1	1	1/8		1/8	1		-3	63	Eb4	4	32
7	2.0	3	3	1/4	1/4	3/4	1	2	1/2		1/2	1		0	48	C3	3	42
7	2.0	3	3	1/4	1/4	3/4	2	2	1/2		1/2	1		6	54	F#3	3	46
7	2.0	3	3	1/4	1/4	3/4	2	1	1/2		1/2	1		3	57	A3	3	44
7	0.5	3	3	1/4	1/4	3/4	1	1	1/8		1/8	1	1	-3	63	Eb4	4	33
15/2	0.125	3	3	3/8	3/8	3/4	1	1	1/32		1/32	1	-1	-3	63	Eb4	4	34
61/8	0.125	3	3	13/32	13/32	3/4	1	1	1/32		1/32	1		2	62	D4	4	35
