quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	0.25	1	0	0	11/16	3/4	1	2	1/16	1/16	1		1	79	G5	5	0
1/4	1.0	2	1	0	0	3/4	2	1	1/4	1/4	1		1	55	G3	3	13
1/4	1.0	2	1	0	0	3/4	1	2	1/4	1/4	1		5	71	B4	4	12
1/4	0.5	2	1	0	0	3/4	1	1	1/8	1/8	1		2	74	D5	5	1
1/4	0.5	2	1	0	0	3/4	1	1	1/8	1/8	1		1	79	G5	5	1
3/4	0.25	2	1	1/8	1/8	3/4	1	1	1/16	1/16	1		6	78	F#5	5	2
1	0.25	2	1	3/16	3/16	3/4	1	1	1/16	1/16	1		4	76	E5	5	3
5/4	0.25	2	1	1/4	1/4	3/4	1	1	1/16	1/16	1		2	74	D5	5	4
3/2	0.25	2	1	5/16	5/16	3/4	1	1	1/16	1/16	1		0	72	C5	5	5
7/4	0.5	2	1	3/8	3/8	3/4	2	1	1/8	1/8	1		2	62	D4	4	14
7/4	0.25	2	1	3/8	3/8	3/4	1	1	1/16	1/16	1		5	71	B4	4	6
2	0.25	2	1	7/16	7/16	3/4	1	1	1/16	1/16	1		3	69	A4	4	7
9/4	0.5	2	1	1/2	1/2	3/4	2	1	1/8	1/8	1		1	67	G4	4	15
9/4	0.25	2	1	1/2	1/2	3/4	1	1	1/16	1/16	1		5	71	B4	4	8
5/2	0.25	2	1	9/16	9/16	3/4	1	1	1/16	1/16	1		2	74	D5	5	9
11/4	0.5	2	1	5/8	5/8	3/4	2	1	1/8	1/8	1		6	66	F#4	4	16
11/4	0.25	2	1	5/8	5/8	3/4	1	1	1/16	1/16	1		3	69	A4	4	10
3	0.25	2	1	11/16	11/16	3/4	1	1	1/16	1/16	1		0	72	C5	5	11
13/4	0.5	3	2	0	0	3/4	2	1	1/8	1/8	1		1	67	G4	4	23
13/4	0.5	3	2	0	0	3/4	1	1	1/8	1/8	1		5	71	B4	4	17
15/4	0.25	3	2	1/8	1/8	3/4	2	1	1/16	1/16	1		6	66	F#4	4	24
15/4	0.5	3	2	1/8	1/8	3/4	1	1	1/8	1/8	1		1	67	G4	4	18
4	0.25	3	2	3/16	3/16	3/4	2	1	1/16	1/16	1		4	64	E4	4	25
17/4	0.25	3	2	1/4	1/4	3/4	2	1	1/16	1/16	1		2	62	D4	4	26
17/4	0.5	3	2	1/4	1/4	3/4	1	1	1/8	1/8	1		5	71	B4	4	19
9/2	0.25	3	2	5/16	5/16	3/4	2	1	1/16	1/16	1		0	60	C4	4	27
19/4	0.25	3	2	3/8	3/8	3/4	2	1	1/16	1/16	1		5	59	B3	3	28
19/4	0.5	3	2	3/8	3/8	3/4	1	1	1/8	1/8	1		2	74	D5	5	20
5	0.25	3	2	7/16	7/16	3/4	2	1	1/16	1/16	1		3	57	A3	3	29
21/4	0.25	3	2	1/2	1/2	3/4	2	1	1/16	1/16	1		5	59	B3	3	30
21/4	0.5	3	2	1/2	1/2	3/4	1	1	1/8	1/8	1		1	79	G5	5	21
11/2	0.25	3	2	9/16	9/16	3/4	2	1	1/16	1/16	1		2	62	D4	4	31
23/4	0.25	3	2	5/8	5/8	3/4	2	1	1/16	1/16	1		3	57	A3	3	32
23/4	0.5	3	2	5/8	5/8	3/4	1	1	1/8	1/8	1		6	78	F#5	5	22
6	0.25	3	2	11/16	11/16	3/4	2	1	1/16	1/16	1		0	60	C4	4	33
25/4	0.5	4	3	0	0	3/4	2	1	1/8	1/8	1		5	59	B3	3	46
25/4	0.25	4	3	0	0	3/4	1	1	1/16	1/16	1		1	79	G5	5	34
13/2	0.25	4	3	1/16	1/16	3/4	1	1	1/16	1/16	1		3	81	A5	5	35
27/4	0.5	4	3	1/8	1/8	3/4	2	1	1/8	1/8	1		1	55	G3	3	47
27/4	0.25	4	3	1/8	1/8	3/4	1	1	1/16	1/16	1		5	83	B5	5	36
7	0.25	4	3	3/16	3/16	3/4	1	1	1/16	1/16	1		1	79	G5	5	37
29/4	0.5	4	3	1/4	1/4	3/4	2	1	1/8	1/8	1		5	59	B3	3	48
29/4	0.25	4	3	1/4	1/4	3/4	1	1	1/16	1/16	1		2	74	D5	5	38
15/2	0.25	4	3	5/16	5/16	3/4	1	1	1/16	1/16	1		-1	77	F5	5	39
31/4	0.5	4	3	3/8	3/8	3/4	2	1	1/8	1/8	1		1	55	G3	3	49
31/4	0.25	4	3	3/8	3/8	3/4	1	1	1/16	1/16	1		4	76	E5	5	40
8	0.25	4	3	7/16	7/16	3/4	1	1	1/16	1/16	1		2	74	D5	5	41
33/4	0.5	4	3	1/2	1/2	3/4	2	1	1/8	1/8	1		0	60	C4	4	50
33/4	0.25	4	3	1/2	1/2	3/4	1	1	1/16	1/16	1		4	76	E5	5	42
17/2	0.25	4	3	9/16	9/16	3/4	1	1	1/16	1/16	1		3	81	A5	5	43
35/4	0.5	4	3	5/8	5/8	3/4	2	1	1/8	1/8	1		3	57	A3	3	51
35/4	0.25	4	3	5/8	5/8	3/4	1	1	1/16	1/16	1		5	83	B5	5	44
9	0.25	4	3	11/16	11/16	3/4	1	1	1/16	1/16	1		0	84	C6	6	45
37/4	0.5	5	4	0	0	3/4	2	1	1/8	1/8	1		2	62	D4	4	61
37/4	0.5	5	4	0	0	3/4	1	1	1/8	1/8	1		6	78	F#5	5	52
39/4	0.25	5	4	1/8	1/8	3/4	2	1	1/16	1/16	1		0	60	C4	4	62
39/4	0.5	5	4	1/8	1/8	3/4	1	1	1/8	1/8	1		2	74	D5	5	53
10	0.25	5	4	3/16	3/16	3/4	2	1	1/16	1/16	1		5	59	B3	3	63
41/4	0.25	5	4	1/4	1/4	3/4	2	1	1/16	1/16	1		3	57	A3	3	64
21/2	0.25	5	4	5/16	5/16	3/4	2	1	1/16	1/16	1		1	55	G3	3	65
21/2	0.25	5	4	5/16	5/16	3/4	1	1	1/16	1/16	1		4	76	E5	5	54
43/4	0.25	5	4	3/8	3/8	3/4	2	1	1/16	1/16	1		6	54	F#3	3	66
43/4	0.25	5	4	3/8	3/8	3/4	1	1	1/16	1/16	1		2	74	D5	5	55
11	0.25	5	4	7/16	7/16	3/4	2	1	1/16	1/16	1		4	52	E3	3	67
11	0.25	5	4	7/16	7/16	3/4	1	1	1/16	1/16	1		0	72	C5	5	56
45/4	0.25	5	4	1/2	1/2	3/4	2	1	1/16	1/16	1		2	50	D3	3	68
45/4	0.25	5	4	1/2	1/2	3/4	1	1	1/16	1/16	1		5	71	B4	4	57
23/2	0.25	5	4	9/16	9/16	3/4	2	1	1/16	1/16	1		6	54	F#3	3	69
23/2	0.25	5	4	9/16	9/16	3/4	1	1	1/16	1/16	1		2	74	D5	5	58
47/4	0.25	5	4	5/8	5/8	3/4	2	1	1/16	1/16	1		0	48	C3	3	70
47/4	0.25	5	4	5/8	5/8	3/4	1	1	1/16	1/16	1		3	69	A4	4	59
12	0.25	5	4	11/16	11/16	3/4	2	1	1/16	1/16	1		6	54	F#3	3	71
12	0.25	5	4	11/16	11/16	3/4	1	1	1/16	1/16	1		2	74	D5	5	60
49/4	0.5	6	5	0	0	3/4	2	1	1/8	1/8	1		5	47	B2	2	84
49/4	0.25	6	5	0	0	3/4	1	1	1/16	1/16	1		1	67	G4	4	72
25/2	0.25	6	5	1/16	1/16	3/4	1	1	1/16	1/16	1		2	74	D5	5	73
51/4	0.5	6	5	1/8	1/8	3/4	2	1	1/8	1/8	1		3	45	A2	2	85
51/4	0.25	6	5	1/8	1/8	3/4	1	1	1/16	1/16	1		6	66	F#4	4	74
13	0.25	6	5	3/16	3/16	3/4	1	1	1/16	1/16	1		2	74	D5	5	75
53/4	0.5	6	5	1/4	1/4	3/4	2	1	1/8	1/8	1		5	47	B2	2	86
53/4	0.25	6	5	1/4	1/4	3/4	1	1	1/16	1/16	1		1	67	G4	4	76
27/2	0.25	6	5	5/16	5/16	3/4	1	1	1/16	1/16	1		2	74	D5	5	77
55/4	0.5	6	5	3/8	3/8	3/4	2	1	1/8	1/8	1		1	43	G2	2	87
55/4	0.25	6	5	3/8	3/8	3/4	1	1	1/16	1/16	1		0	72	C5	5	78
14	0.25	6	5	7/16	7/16	3/4	1	1	1/16	1/16	1		5	71	B4	4	79
57/4	0.5	6	5	1/2	1/2	3/4	2	1	1/8	1/8	1		3	45	A2	2	88
57/4	0.25	6	5	1/2	1/2	3/4	1	1	1/16	1/16	1		3	69	A4	4	80
29/2	0.25	6	5	9/16	9/16	3/4	1	1	1/16	1/16	1		1	67	G4	4	81
59/4	0.5	6	5	5/8	5/8	3/4	2	1	1/8	1/8	1		5	47	B2	2	89
59/4	0.25	6	5	5/8	5/8	3/4	1	1	1/16	1/16	1		-1	65	F4	4	82
15	0.25	6	5	11/16	11/16	3/4	1	1	1/16	1/16	1		2	74	D5	5	83
61/4	0.5	7	6	0	0	3/4	2	1	1/8	1/8	1		0	48	C3	3	102
61/4	0.25	7	6	0	0	3/4	1	1	1/16	1/16	1		4	64	E4	4	90
31/2	0.25	7	6	1/16	1/16	3/4	1	1	1/16	1/16	1		2	74	D5	5	91
63/4	0.5	7	6	1/8	1/8	3/4	2	1	1/8	1/8	1		5	47	B2	2	103
63/4	0.25	7	6	1/8	1/8	3/4	1	1	1/16	1/16	1		2	62	D4	4	92
16	0.25	7	6	3/16	3/16	3/4	1	1	1/16	1/16	1		2	74	D5	5	93
65/4	0.5	7	6	1/4	1/4	3/4	2	1	1/8	1/8	1		0	48	C3	3	104
65/4	0.25	7	6	1/4	1/4	3/4	1	1	1/16	1/16	1		4	64	E4	4	94
33/2	0.25	7	6	5/16	5/16	3/4	1	1	1/16	1/16	1		2	74	D5	5	95
67/4	0.5	7	6	3/8	3/8	3/4	2	1	1/8	1/8	1		3	45	A2	2	105
67/4	0.25	7	6	3/8	3/8	3/4	1	1	1/16	1/16	1		0	72	C5	5	96
17	0.25	7	6	7/16	7/16	3/4	1	1	1/16	1/16	1		5	71	B4	4	97
69/4	0.5	7	6	1/2	1/2	3/4	2	1	1/8	1/8	1		5	47	B2	2	106
69/4	0.25	7	6	1/2	1/2	3/4	1	1	1/16	1/16	1		3	69	A4	4	98
35/2	0.25	7	6	9/16	9/16	3/4	1	1	1/16	1/16	1		1	67	G4	4	99
71/4	0.5	7	6	5/8	5/8	3/4	2	1	1/8	1/8	1		0	48	C3	3	107
71/4	0.25	7	6	5/8	5/8	3/4	1	1	1/16	1/16	1		3	69	A4	4	100
18	0.25	7	6	11/16	11/16	3/4	1	1	1/16	1/16	1		0	72	C5	5	101
73/4	0.5	8	7	0	0	3/4	2	1	1/8	1/8	1		2	50	D3	3	120
73/4	0.25	8	7	0	0	3/4	1	1	1/16	1/16	1		6	66	F#4	4	108
37/2	0.25	8	7	1/16	1/16	3/4	1	1	1/16	1/16	1		4	64	E4	4	109
75/4	0.25	8	7	1/8	1/8	3/4	2	1	1/16	1/16	1		0	48	C3	3	121
75/4	0.25	8	7	1/8	1/8	3/4	1	1	1/16	1/16	1		2	62	D4	4	110
19	0.25	8	7	3/16	3/16	3/4	2	1	1/16	1/16	1		5	47	B2	2	122
19	0.25	8	7	3/16	3/16	3/4	1	1	1/16	1/16	1		4	64	E4	4	111
77/4	0.25	8	7	1/4	1/4	3/4	2	1	1/16	1/16	1		3	45	A2	2	123
77/4	0.25	8	7	1/4	1/4	3/4	1	1	1/16	1/16	1		6	66	F#4	4	112
39/2	0.25	8	7	5/16	5/16	3/4	2	1	1/16	1/16	1		1	43	G2	2	124
39/2	0.25	8	7	5/16	5/16	3/4	1	1	1/16	1/16	1		1	67	G4	4	113
79/4	0.25	8	7	3/8	3/8	3/4	2	1	1/16	1/16	1		6	42	F#2	2	125
79/4	0.25	8	7	3/8	3/8	3/4	1	1	1/16	1/16	1		3	69	A4	4	114
20	0.25	8	7	7/16	7/16	3/4	2	1	1/16	1/16	1		4	40	E2	2	126
20	0.25	8	7	7/16	7/16	3/4	1	1	1/16	1/16	1		5	71	B4	4	115
81/4	0.25	8	7	1/2	1/2	3/4	2	1	1/16	1/16	1		2	38	D2	2	127
81/4	0.25	8	7	1/2	1/2	3/4	1	1	1/16	1/16	1		0	72	C5	5	116
41/2	0.25	8	7	9/16	9/16	3/4	2	1	1/16	1/16	1		6	42	F#2	2	128
41/2	0.25	8	7	9/16	9/16	3/4	1	1	1/16	1/16	1		3	69	A4	4	117
83/4	0.25	8	7	5/8	5/8	3/4	2	1	1/16	1/16	1		3	45	A2	2	129
83/4	0.25	8	7	5/8	5/8	3/4	1	1	1/16	1/16	1		2	74	D5	5	118
21	0.25	8	7	11/16	11/16	3/4	2	1	1/16	1/16	1		2	50	D3	3	130
21	0.25	8	7	11/16	11/16	3/4	1	1	1/16	1/16	1		3	69	A4	4	119
85/4	1.0	9	8	0	0	3/4	2	1	1/4	1/4	1		1	43	G2	2	137
85/4	2.0	9	8	0	0	3/4	1	1	1/2	1/2	1		5	71	B4	4	131
43/2	0.25	9	8	1/16	1/16	3/4	1	2	1/16	1/16	1		1	67	G4	4	133
87/4	0.25	9	8	1/8	1/8	3/4	1	2	1/16	1/16	1		6	66	F#4	4	134
22	0.25	9	8	3/16	3/16	3/4	1	2	1/16	1/16	1		4	64	E4	4	135
89/4	0.25	9	8	1/4	1/4	3/4	1	2	1/16	1/16	1		2	62	D4	4	136
45/2	0.25	9	8	5/16	5/16	3/4	2	1	1/16	1/16	1		0	60	C4	4	138
91/4	0.25	9	8	3/8	3/8	3/4	2	1	1/16	1/16	1		5	59	B3	3	139
23	0.25	9	8	7/16	7/16	3/4	2	1	1/16	1/16	1		3	57	A3	3	140
93/4	0.25	9	8	1/2	1/2	3/4	2	1	1/16	1/16	1		1	55	G3	3	141
47/2	0.25	9	8	9/16	9/16	3/4	2	1	1/16	1/16	1		5	59	B3	3	142
95/4	0.25	9	8	5/8	5/8	3/4	2	1	1/16	1/16	1		6	54	F#3	3	143
95/4	0.5	9	8	5/8	5/8	3/4	1	1	1/8	1/8	1		5	71	B4	4	132
24	0.25	9	8	11/16	11/16	3/4	2	1	1/16	1/16	1		3	57	A3	3	144
97/4	0.5	10	9	0	0	3/4	2	1	1/8	1/8	1		1	55	G3	3	157
97/4	0.25	10	9	0	0	3/4	1	1	1/16	1/16	1		4	76	E5	5	145
49/2	0.25	10	9	1/16	1/16	3/4	1	1	1/16	1/16	1		6	78	F#5	5	146
99/4	0.5	10	9	1/8	1/8	3/4	2	1	1/8	1/8	1		4	52	E3	3	158
99/4	0.25	10	9	1/8	1/8	3/4	1	1	1/16	1/16	1		1	79	G5	5	147
25	0.25	10	9	3/16	3/16	3/4	1	1	1/16	1/16	1		4	76	E5	5	148
101/4	0.5	10	9	1/4	1/4	3/4	2	1	1/8	1/8	1		1	55	G3	3	159
101/4	0.25	10	9	1/4	1/4	3/4	1	1	1/16	1/16	1		5	71	B4	4	149
51/2	0.25	10	9	5/16	5/16	3/4	1	1	1/16	1/16	1		4	76	E5	5	150
103/4	0.5	10	9	3/8	3/8	3/4	2	1	1/8	1/8	1		4	52	E3	3	160
