quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	0.5	1	0	0	11/8	3/2	1	1	1/8		1/8	1		3	69	A4	4	0
1/2	1.5	2	1	0	0	3/2	2	1	3/8		1/4	3/2		3	57	A3	3	8
1/2	3.0	2	1	0	0	3/2	1	1	3/4		1/2	3/2		3	69	A4	4	1
1	0.5	2	1	1/8	1/8	3/2	1	2	1/8		1/8	1	1	4	64	E4	4	5
3/2	2.0	2	1	1/4	1/4	3/2	1	3	1/2		1/2	1		7	61	C#4	4	7
3/2	2.0	2	1	1/4	1/4	3/2	1	2	1/2		1/2	1	-1	4	64	E4	4	6
2	0.5	2	1	3/8	3/8	3/2	2	1	1/8		1/8	1		3	45	A2	2	9
5/2	0.5	2	1	1/2	1/2	3/2	2	1	1/8		1/8	1		5	47	B2	2	10
3	0.5	2	1	5/8	5/8	3/2	2	1	1/8		1/8	1		2	50	D3	3	11
7/2	0.5	2	1	3/4	3/4	3/2	2	1	1/8		1/8	1		7	49	C#3	3	12
7/2	1.0	2	1	3/4	3/4	3/2	1	1	1/4		1/4	1		4	64	E4	4	2
4	0.5	2	1	7/8	7/8	3/2	2	1	1/8		1/8	1		4	52	E3	3	13
9/2	0.5	2	1	1	1	3/2	2	1	1/8		1/8	1		2	50	D3	3	14
9/2	1.5	2	1	1	1	3/2	1	1	3/8		1/4	3/2		6	66	F#4	4	3
5	0.5	2	1	9/8	9/8	3/2	2	1	1/8		1/8	1		7	49	C#3	3	15
11/2	0.5	2	1	5/4	5/4	3/2	2	1	1/8		1/8	1		5	47	B2	2	16
6	0.5	2	1	11/8	11/8	3/2	2	1	1/8		1/8	1		3	45	A2	2	17
6	0.5	2	1	11/8	11/8	3/2	1	1	1/8		1/8	1		1	67	G4	4	4
13/2	0.5	3	2	0	0	3/2	2	1	1/8		1/8	1		2	50	D3	3	28
13/2	1.5	3	2	0	0	3/2	1	1	3/8		1/4	3/2		6	66	F#4	4	18
7	0.5	3	2	1/8	1/8	3/2	2	1	1/8		1/8	1		4	52	E3	3	29
15/2	0.5	3	2	1/4	1/4	3/2	2	1	1/8		1/8	1		2	50	D3	3	30
8	0.5	3	2	3/8	3/8	3/2	2	1	1/8		1/8	1		7	49	C#3	3	31
8	0.5	3	2	3/8	3/8	3/2	1	1	1/8		1/8	1		3	69	A4	4	19
17/2	0.5	3	2	1/2	1/2	3/2	2	1	1/8		1/8	1		5	47	B2	2	32
17/2	1.5	3	2	1/2	1/2	3/2	1	1	3/8		1/4	3/2		2	74	D5	5	20
9	0.5	3	2	5/8	5/8	3/2	2	1	1/8		1/8	1		3	45	A2	2	33
9	0.5	3	2	5/8	5/8	3/2	1	2	1/8		1/8	1		7	73	C#5	5	24
19/2	0.5	3	2	3/4	3/4	3/2	2	1	1/8		1/8	1		8	44	G#2	2	34
19/2	1.0	3	2	3/4	3/4	3/2	1	2	1/4		1/4	1	1	5	71	B4	4	25
10	0.5	3	2	7/8	7/8	3/2	2	1	1/8		1/8	1		4	40	E2	2	35
10	0.5	3	2	7/8	7/8	3/2	1	1	1/8		1/8	1		4	76	E5	5	21
21/2	0.5	3	2	1	1	3/2	2	1	1/8		1/8	1		3	45	A2	2	36
21/2	1.0	3	2	1	1	3/2	1	2	1/4		1/4	1	-1	5	71	B4	4	26
21/2	1.5	3	2	1	1	3/2	1	1	3/8		1/4	3/2		7	73	C#5	5	22
11	0.5	3	2	9/8	9/8	3/2	2	1	1/8		1/8	1		4	40	E2	2	37
23/2	0.5	3	2	5/4	5/4	3/2	2	1	1/8		1/8	1		7	37	C#2	2	38
23/2	1.0	3	2	5/4	5/4	3/2	1	2	1/4		1/4	1		3	69	A4	4	27
12	0.5	3	2	11/8	11/8	3/2	2	1	1/8		1/8	1		3	33	A1	1	39
12	0.5	3	2	11/8	11/8	3/2	1	1	1/8		1/8	1		5	71	B4	4	23
25/2	1.5	4	3	0	0	3/2	2	1	3/8		1/4	3/2		4	40	E2	2	49
25/2	3.0	4	3	0	0	3/2	1	1	3/4		1/2	3/2		5	71	B4	4	40
13	0.5	4	3	1/8	1/8	3/2	1	3	1/8		1/8	1	1	8	68	G#4	4	47
27/2	2.0	4	3	1/4	1/4	3/2	1	2	1/2		1/2	1		4	64	E4	4	44
27/2	2.0	4	3	1/4	1/4	3/2	1	3	1/2		1/2	1	-1	8	68	G#4	4	48
14	0.5	4	3	3/8	3/8	3/2	2	1	1/8		1/8	1		4	52	E3	3	50
29/2	0.5	4	3	1/2	1/2	3/2	2	1	1/8		1/8	1		6	54	F#3	3	51
15	0.5	4	3	5/8	5/8	3/2	2	1	1/8		1/8	1		3	57	A3	3	52
31/2	0.5	4	3	3/4	3/4	3/2	2	1	1/8		1/8	1		8	56	G#3	3	53
31/2	1.0	4	3	3/4	3/4	3/2	1	2	1/4		1/4	1		4	64	E4	4	45
31/2	1.0	4	3	3/4	3/4	3/2	1	2	1/4		1/4	1		5	71	B4	4	45
31/2	1.0	4	3	3/4	3/4	3/2	1	1	1/4		1/4	1		4	76	E5	5	41
16	0.5	4	3	7/8	7/8	3/2	2	1	1/8		1/8	1		5	59	B3	3	54
33/2	0.5	4	3	1	1	3/2	2	1	1/8		1/8	1		3	57	A3	3	55
33/2	2.0	4	3	1	1	3/2	1	2	1/2		1/2	1		5	71	B4	4	46
33/2	1.5	4	3	1	1	3/2	1	1	3/8		1/4	3/2		2	74	D5	5	42
17	0.5	4	3	9/8	9/8	3/2	2	1	1/8		1/8	1		8	56	G#3	3	56
35/2	0.5	4	3	5/4	5/4	3/2	2	1	1/8		1/8	1		6	54	F#3	3	57
18	0.5	4	3	11/8	11/8	3/2	2	1	1/8		1/8	1		4	52	E3	3	58
18	0.5	4	3	11/8	11/8	3/2	1	1	1/8		1/8	1		4	76	E5	5	43
37/2	0.5	5	4	0	0	3/2	2	1	1/8		1/8	1		3	57	A3	3	67
37/2	2.0	5	4	0	0	3/2	1	2	1/2		1/2	1		3	69	A4	4	66
37/2	1.5	5	4	0	0	3/2	1	1	3/8		1/4	3/2		7	73	C#5	5	59
19	0.5	5	4	1/8	1/8	3/2	2	1	1/8		1/8	1		5	59	B3	3	68
39/2	0.5	5	4	1/4	1/4	3/2	2	1	1/8		1/8	1		3	57	A3	3	69
20	0.5	5	4	3/8	3/8	3/2	2	1	1/8		1/8	1		8	56	G#3	3	70
20	0.5	5	4	3/8	3/8	3/2	1	1	1/8		1/8	1		5	71	B4	4	60
41/2	0.5	5	4	1/2	1/2	3/2	2	1	1/8		1/8	1		6	54	F#3	3	71
41/2	0.5	5	4	1/2	1/2	3/2	1	1	1/8		1/8	1		3	69	A4	4	61
21	0.5	5	4	5/8	5/8	3/2	2	1	1/8		1/8	1		8	56	G#3	3	72
21	0.5	5	4	5/8	5/8	3/2	1	1	1/8		1/8	1		7	73	C#5	5	62
43/2	0.5	5	4	3/4	3/4	3/2	2	1	1/8		1/8	1		3	57	A3	3	73
43/2	1.0	5	4	3/4	3/4	3/2	1	1	1/4		1/4	1		6	78	F#5	5	63
22	0.5	5	4	7/8	7/8	3/2	2	1	1/8		1/8	1		6	54	F#3	3	74
45/2	0.5	5	4	1	1	3/2	2	1	1/8		1/8	1		8	56	G#3	3	75
45/2	1.5	5	4	1	1	3/2	1	1	3/8		1/4	3/2		4	76	E5	5	64
23	0.5	5	4	9/8	9/8	3/2	2	1	1/8		1/8	1		5	59	B3	3	76
47/2	0.5	5	4	5/4	5/4	3/2	2	1	1/8		1/8	1		10	58	A#3	3	77
24	0.5	5	4	11/8	11/8	3/2	2	1	1/8		1/8	1		7	61	C#4	4	78
24	0.5	5	4	11/8	11/8	3/2	1	1	1/8		1/8	1		6	78	F#5	5	65
49/2	0.5	6	5	0	0	3/2	2	1	1/8		1/8	1		5	59	B3	3	86
49/2	1.5	6	5	0	0	3/2	1	1	3/8		1/4	3/2		9	75	D#5	5	79
25	0.5	6	5	1/8	1/8	3/2	2	1	1/8		1/8	1		7	61	C#4	4	87
51/2	0.5	6	5	1/4	1/4	3/2	2	1	1/8		1/8	1		5	59	B3	3	88
26	0.5	6	5	3/8	3/8	3/2	2	1	1/8		1/8	1		3	57	A3	3	89
26	0.5	6	5	3/8	3/8	3/2	1	1	1/8		1/8	1		7	73	C#5	5	80
53/2	0.5	6	5	1/2	1/2	3/2	2	1	1/8		1/8	1		8	56	G#3	3	90
53/2	0.5	6	5	1/2	1/2	3/2	1	1	1/8		1/8	1		5	71	B4	4	81
27	0.5	6	5	5/8	5/8	3/2	2	1	1/8		1/8	1		3	57	A3	3	91
27	0.5	6	5	5/8	5/8	3/2	1	1	1/8		1/8	1		6	78	F#5	5	82
55/2	0.5	6	5	3/4	3/4	3/2	2	1	1/8		1/8	1		5	59	B3	3	92
55/2	1.0	6	5	3/4	3/4	3/2	1	1	1/4		1/4	1		5	83	B5	5	83
28	0.5	6	5	7/8	7/8	3/2	2	1	1/8		1/8	1		8	56	G#3	3	93
57/2	0.5	6	5	1	1	3/2	2	1	1/8		1/8	1		7	61	C#4	4	94
57/2	1.5	6	5	1	1	3/2	1	1	3/8		1/4	3/2		3	81	A5	5	84
29	0.5	6	5	9/8	9/8	3/2	2	1	1/8		1/8	1		4	64	E4	4	95
59/2	0.5	6	5	5/4	5/4	3/2	2	1	1/8		1/8	1		9	63	D#4	4	96
30	0.5	6	5	11/8	11/8	3/2	2	1	1/8		1/8	1		6	66	F#4	4	97
30	0.5	6	5	11/8	11/8	3/2	1	1	1/8		1/8	1		5	83	B5	5	85
61/2	0.5	7	6	0	0	3/2	1	2	1/8		1/8	1		4	64	E4	4	106
61/2	1.5	7	6	0	0	3/2	1	1	3/8		1/4	3/2		8	80	G#5	5	98
31	0.5	7	6	1/8	1/8	3/2	1	2	1/8		1/8	1		9	63	D#4	4	107
63/2	0.5	7	6	1/4	1/4	3/2	1	2	1/8		1/8	1		4	64	E4	4	108
32	0.5	7	6	3/8	3/8	3/2	1	2	1/8		1/8	1		6	66	F#4	4	109
32	0.5	7	6	3/8	3/8	3/2	1	1	1/8		1/8	1		3	81	A5	5	99
65/2	0.5	7	6	1/2	1/2	3/2	1	2	1/8		1/8	1		8	68	G#4	4	110
65/2	0.5	7	6	1/2	1/2	3/2	1	1	1/8		1/8	1		5	83	B5	5	100
33	0.5	7	6	5/8	5/8	3/2	1	2	1/8		1/8	1		4	64	E4	4	111
33	0.5	7	6	5/8	5/8	3/2	1	1	1/8		1/8	1		8	80	G#5	5	101
67/2	0.5	7	6	3/4	3/4	3/2	1	2	1/8		1/8	1		6	66	F#4	4	112
67/2	0.5	7	6	3/4	3/4	3/2	1	1	1/8		1/8	1		3	81	A5	5	102
34	0.5	7	6	7/8	7/8	3/2	1	2	1/8		1/8	1		8	68	G#4	4	113
34	0.5	7	6	7/8	7/8	3/2	1	1	1/8		1/8	1		5	83	B5	5	103
69/2	0.5	7	6	1	1	3/2	1	2	1/8		1/8	1		3	69	A4	4	114
69/2	1.5	7	6	1	1	3/2	1	1	3/8		1/4	3/2		7	73	C#5	5	104
35	0.5	7	6	9/8	9/8	3/2	1	2	1/8		1/8	1		8	68	G#4	4	115
71/2	0.5	7	6	5/4	5/4	3/2	1	2	1/8		1/8	1		3	69	A4	4	116
36	0.5	7	6	11/8	11/8	3/2	1	2	1/8		1/8	1		6	66	F#4	4	117
36	0.5	7	6	11/8	11/8	3/2	1	1	1/8		1/8	1		3	81	A5	5	105
73/2	2.0	8	7	0	0	3/2	1	2	1/2		1/2	1		5	71	B4	4	126
73/2	1.5	8	7	0	0	3/2	1	1	3/8		1/4	3/2		9	75	D#5	5	118
37	0.5	8	7	1/8	1/8	3/2	2	1	1/8		1/8	1		5	47	B2	2	128
75/2	0.5	8	7	1/4	1/4	3/2	2	1	1/8		1/8	1		7	49	C#3	3	129
38	0.5	8	7	3/8	3/8	3/2	2	1	1/8		1/8	1		9	51	D#3	3	130
38	0.5	8	7	3/8	3/8	3/2	1	1	1/8		1/8	1		7	73	C#5	5	119
77/2	0.5	8	7	1/2	1/2	3/2	2	1	1/8		1/8	1		4	52	E3	3	131
77/2	0.5	8	7	1/2	1/2	3/2	1	1	1/8		1/8	1		5	71	B4	4	120
39	0.5	8	7	5/8	5/8	3/2	2	1	1/8		1/8	1		6	54	F#3	3	132
39	0.5	8	7	5/8	5/8	3/2	1	1	1/8		1/8	1		3	69	A4	4	121
79/2	0.5	8	7	3/4	3/4	3/2	2	1	1/8		1/8	1		8	56	G#3	3	133
