quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	0.5	1	0	0	11/8	3/2	1	1	1/8	1/8	1		2	62	D4	4	0
1/2	2.0	2	1	0	0	3/2	2	1	1/2	1/2	1	1	1	55	G3	3	12
1/2	2.0	2	1	0	0	3/2	1	1	1/2	1/2	1	1	2	62	D4	4	1
1	0.5	2	1	1/8	1/8	3/2	1	2	1/8	1/8	1		0	60	C4	4	8
3/2	0.5	2	1	1/4	1/4	3/2	1	2	1/8	1/8	1		-2	58	Bb3	3	9
2	0.5	2	1	3/8	3/8	3/2	1	2	1/8	1/8	1		3	57	A3	3	10
5/2	0.5	2	1	1/2	1/2	3/2	2	1	1/8	1/8	1	-1	1	55	G3	3	13
5/2	2.0	2	1	1/2	1/2	3/2	1	2	1/2	1/2	1		-2	58	Bb3	3	11
5/2	1.5	2	1	1/2	1/2	3/2	1	1	3/8	1/4	3/2	-1	2	62	D4	4	2
3	0.5	2	1	5/8	5/8	3/2	2	1	1/8	1/8	1		6	54	F#3	3	14
7/2	0.5	2	1	3/4	3/4	3/2	2	1	1/8	1/8	1		1	55	G3	3	15
4	0.5	2	1	7/8	7/8	3/2	2	1	1/8	1/8	1		2	50	D3	3	16
4	0.5	2	1	7/8	7/8	3/2	1	1	1/8	1/8	1		2	62	D4	4	3
9/2	0.5	2	1	1	1	3/2	2	1	1/8	1/8	1		-3	51	Eb3	3	17
9/2	0.5	2	1	1	1	3/2	1	1	1/8	1/8	1		1	67	G4	4	4
5	0.5	2	1	9/8	9/8	3/2	2	1	1/8	1/8	1		0	48	C3	3	18
5	0.5	2	1	9/8	9/8	3/2	1	1	1/8	1/8	1		3	69	A4	4	5
11/2	0.5	2	1	5/4	5/4	3/2	2	1	1/8	1/8	1		2	50	D3	3	19
11/2	0.5	2	1	5/4	5/4	3/2	1	1	1/8	1/8	1		6	66	F#4	4	6
6	0.5	2	1	11/8	11/8	3/2	2	1	1/8	1/8	1		-3	51	Eb3	3	20
6	0.5	2	1	11/8	11/8	3/2	1	1	1/8	1/8	1		1	67	G4	4	7
13/2	2.0	3	2	0	0	3/2	2	1	1/2	1/2	1		6	42	F#2	2	32
13/2	2.0	3	2	0	0	3/2	1	1	1/2	1/2	1		3	69	A4	4	21
7	0.5	3	2	1/8	1/8	3/2	1	2	1/8	1/8	1		-3	63	Eb4	4	28
15/2	0.5	3	2	1/4	1/4	3/2	1	2	1/8	1/8	1		2	62	D4	4	29
8	0.5	3	2	3/8	3/8	3/2	1	2	1/8	1/8	1		0	60	C4	4	30
17/2	1.5	3	2	1/2	1/2	3/2	1	1	3/8	1/4	3/2		2	62	D4	4	22
17/2	1.5	3	2	1/2	1/2	3/2	1	2	3/8	1/4	3/2		2	62	D4	4	31
9	0.5	3	2	5/8	5/8	3/2	2	1	1/8	1/8	1		3	57	A3	3	33
19/2	0.5	3	2	3/4	3/4	3/2	2	1	1/8	1/8	1		-2	58	Bb3	3	34
10	0.5	3	2	7/8	7/8	3/2	2	1	1/8	1/8	1		0	60	C4	4	35
10	0.5	3	2	7/8	7/8	3/2	1	1	1/8	1/8	1		2	62	D4	4	23
21/2	0.5	3	2	1	1	3/2	2	1	1/8	1/8	1		6	54	F#3	3	36
21/2	0.5	3	2	1	1	3/2	1	1	1/8	1/8	1		3	69	A4	4	24
11	0.5	3	2	9/8	9/8	3/2	2	1	1/8	1/8	1		1	55	G3	3	37
11	0.5	3	2	9/8	9/8	3/2	1	1	1/8	1/8	1		-2	70	Bb4	4	25
23/2	0.5	3	2	5/4	5/4	3/2	2	1	1/8	1/8	1		3	57	A3	3	38
23/2	0.5	3	2	5/4	5/4	3/2	1	1	1/8	1/8	1		1	67	G4	4	26
12	0.5	3	2	11/8	11/8	3/2	2	1	1/8	1/8	1		2	50	D3	3	39
12	0.5	3	2	11/8	11/8	3/2	1	1	1/8	1/8	1		3	69	A4	4	27
25/2	1.0	4	3	0	0	3/2	2	1	1/4	1/4	1		1	55	G3	3	52
25/2	2.0	4	3	0	0	3/2	1	2	1/2	1/2	1		-2	70	Bb4	4	51
13	0.5	4	3	1/8	1/8	3/2	1	1	1/8	1/8	1		3	69	A4	4	40
27/2	1.0	4	3	1/4	1/4	3/2	2	1	1/4	1/4	1		2	50	D3	3	53
27/2	0.5	4	3	1/4	1/4	3/2	1	1	1/8	1/8	1		1	67	G4	4	41
14	0.5	4	3	3/8	3/8	3/2	1	1	1/8	1/8	1		6	66	F#4	4	42
29/2	1.0	4	3	1/2	1/2	3/2	2	1	1/4	1/4	1		-3	51	Eb3	3	54
29/2	0.5	4	3	1/2	1/2	3/2	1	1	1/8	1/8	1		1	67	G4	4	43
15	0.5	4	3	5/8	5/8	3/2	1	1	1/8	1/8	1		2	62	D4	4	44
31/2	1.0	4	3	3/4	3/4	3/2	2	1	1/4	1/4	1		1	55	G3	3	55
31/2	0.5	4	3	3/4	3/4	3/2	1	1	1/8	1/8	1		-3	63	Eb4	4	45
16	0.5	4	3	7/8	7/8	3/2	1	1	1/8	1/8	1		-2	70	Bb4	4	46
33/2	1.0	4	3	1	1	3/2	2	1	1/4	1/4	1		0	48	C3	3	56
33/2	0.5	4	3	1	1	3/2	1	1	1/8	1/8	1		3	69	A4	4	47
17	0.5	4	3	9/8	9/8	3/2	1	1	1/8	1/8	1		0	72	C5	5	48
35/2	1.0	4	3	5/4	5/4	3/2	2	1	1/4	1/4	1		-3	51	Eb3	3	57
35/2	0.5	4	3	5/4	5/4	3/2	1	1	1/8	1/8	1		6	66	F#4	4	49
18	0.5	4	3	11/8	11/8	3/2	1	1	1/8	1/8	1		1	67	G4	4	50
37/2	1.5	5	4	0	0	3/2	2	1	3/8	1/4	3/2		2	50	D3	3	67
37/2	1.0	5	4	0	0	3/2	1	1	1/4	1/4	1		6	66	F#4	4	58
39/2	0.5	5	4	1/4	1/4	3/2	1	1	1/8	1/8	1		4	64	E4	4	59
20	0.5	5	4	3/8	3/8	3/2	2	1	1/8	1/8	1		0	48	C3	3	68
20	0.5	5	4	3/8	3/8	3/2	1	1	1/8	1/8	1		2	62	D4	4	60
