mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.5		0	0	3/4	2	1	1/8	1/8	1		-3	51	Eb3	3	6
1	1	0	0.5		0	0	3/4	1	1	1/8	1/8	1		1	67	G4	4	0
1	1	1/2	0.5		1/8	1/8	3/4	2	1	1/8	1/8	1		-1	53	F3	3	7
1	1	1/2	0.5		1/8	1/8	3/4	1	1	1/8	1/8	1		-2	70	Bb4	4	1
1	1	1	1.0		1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	G3	3	8
1	1	1	0.5		1/4	1/4	3/4	1	1	1/8	1/8	1		-3	75	Eb5	5	2
1	1	3/2	0.5		3/8	3/8	3/4	1	1	1/8	1/8	1		-5	73	Db5	5	3
1	1	2	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		-3	51	Eb3	3	9
1	1	2	0.5		1/2	1/2	3/4	1	1	1/8	1/8	1		-5	73	Db5	5	4
1	1	5/2	0.5		5/8	5/8	3/4	1	1	1/8	1/8	1		0	72	C5	5	5
2	2	3	1.0		0	0	3/4	2	1	1/4	1/4	1		-4	56	Ab3	3	16
2	2	3	0.5		0	0	3/4	1	1	1/8	1/8	1		0	72	C5	5	10
2	2	7/2	0.5		1/8	1/8	3/4	1	1	1/8	1/8	1		-3	75	Eb5	5	11
2	2	4	1.0		1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	G3	3	17
2	2	4	0.5		1/4	1/4	3/4	1	1	1/8	1/8	1		-2	70	Bb4	4	12
2	2	9/2	0.5		3/8	3/8	3/4	1	1	1/8	1/8	1		-3	75	Eb5	5	13
2	2	5	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		-1	53	F3	3	18
2	2	5	0.5		1/2	1/2	3/4	1	1	1/8	1/8	1		-4	68	Ab4	4	14
2	2	11/2	0.5		5/8	5/8	3/4	1	1	1/8	1/8	1		-1	77	F5	5	15
3	3	6	0.5		0	0	3/4	2	1	1/8	1/8	1		-3	51	Eb3	3	23
3	3	6	2.0		0	0	3/4	1	1	1/2	1/2	1		1	67	G4	4	19
3	3	13/2	0.5		1/8	1/8	3/4	2	1	1/8	1/8	1		-2	58	Bb3	3	24
3	3	7	0.5		1/4	1/4	3/4	2	1	1/8	1/8	1		-3	63	Eb4	4	25
3	3	15/2	0.5		3/8	3/8	3/4	2	1	1/8	1/8	1		-5	61	Db4	4	26
3	3	8	0.5		1/2	1/2	3/4	2	1	1/8	1/8	1		-5	61	Db4	4	27
3	3	8	0.5		1/2	1/2	3/4	1	1	1/8	1/8	1		1	67	G4	4	20
3	3	17/2	0.5		5/8	5/8	3/4	2	1	1/8	1/8	1		0	60	C4	4	28
3	3	17/2	0.25		5/8	5/8	3/4	1	1	1/16	1/16	1		-4	68	Ab4	4	21
3	3	35/4	0.25		11/16	11/16	3/4	1	1	1/16	1/16	1		-2	70	Bb4	4	22
4	4	9	0.5		0	0	3/4	2	1	1/8	1/8	1		0	60	C4	4	32
4	4	9	1.0		0	0	3/4	1	1	1/4	1/4	1		-4	68	Ab4	4	29
4	4	19/2	0.5		1/8	1/8	3/4	2	1	1/8	1/8	1		-3	63	Eb4	4	33
4	4	10	0.5		1/4	1/4	3/4	2	1	1/8	1/8	1		-2	58	Bb3	3	34
4	4	10	1.0		1/4	1/4	3/4	1	1	1/4	1/4	1		1	67	G4	4	30
4	4	21/2	0.5		3/8	3/8	3/4	2	1	1/8	1/8	1		-3	63	Eb4	4	35
4	4	11	0.5		1/2	1/2	3/4	2	1	1/8	1/8	1		-4	56	Ab3	3	36
4	4	11	1.0		1/2	1/2	3/4	1	1	1/4	1/4	1		0	72	C5	5	31
4	4	23/2	0.5		5/8	5/8	3/4	2	1	1/8	1/8	1		-1	65	F4	4	37
5	5	12	0.5		0	0	3/4	2	1	1/8	1/8	1		1	55	G3	3	44
5	5	12	0.5		0	0	3/4	1	1	1/8	1/8	1		-2	70	Bb4	4	38
5	5	25/2	0.5		1/8	1/8	3/4	2	1	1/8	1/8	1		-2	58	Bb3	3	45
5	5	25/2	0.5		1/8	1/8	3/4	1	1	1/8	1/8	1		-3	75	Eb5	5	39
5	5	13	1.0		1/4	1/4	3/4	2	1	1/4	1/4	1		-3	63	Eb4	4	46
5	5	13	0.5		1/4	1/4	3/4	1	1	1/8	1/8	1		1	79	G5	5	40
5	5	27/2	0.5		3/8	3/8	3/4	1	1	1/8	1/8	1		-1	77	F5	5	41
5	5	14	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	D4	4	47
5	5	14	0.5		1/2	1/2	3/4	1	1	1/8	1/8	1		-1	77	F5	5	42
5	5	29/2	0.5		5/8	5/8	3/4	1	1	1/8	1/8	1		-3	75	Eb5	5	43
6	6	15	0.5		0	0	3/4	2	1	1/8	1/8	1		0	60	C4	4	54
6	6	15	0.5		0	0	3/4	1	1	1/8	1/8	1		3	69	A4	4	48
6	6	31/2	0.5		1/8	1/8	3/4	2	1	1/8	1/8	1		3	57	A3	3	55
6	6	31/2	0.5		1/8	1/8	3/4	1	1	1/8	1/8	1		0	72	C5	5	49
6	6	16	1.0		1/4	1/4	3/4	2	1	1/4	1/4	1		-1	53	F3	3	56
6	6	16	0.5		1/4	1/4	3/4	1	1	1/8	1/8	1		-3	75	Eb5	5	50
6	6	33/2	0.5		3/8	3/8	3/4	1	1	1/8	1/8	1		2	74	D5	5	51
6	6	17	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		-2	58	Bb3	3	57
6	6	17	0.5		1/2	1/2	3/4	1	1	1/8	1/8	1		2	74	D5	5	52
6	6	35/2	0.5		5/8	5/8	3/4	1	1	1/8	1/8	1		0	72	C5	5	53
7	7	18	1.0		0	0	3/4	2	1	1/4	1/4	1		-3	51	Eb3	3	64
7	7	18	0.5		0	0	3/4	1	1	1/8	1/8	1		0	72	C5	5	58
7	7	37/2	0.5		1/8	1/8	3/4	1	1	1/8	1/8	1		-2	82	Bb5	5	59
