quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	0.25	1	0	0	15/16	4/4	1	1	1/16	1/16	1		-2	70	Bb4	4	0
1/4	1.0	2	1	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	11
1/4	1.0	2	1	0	0	4/4	1	1	1/4	1/4	1	1	-2	70	Bb4	4	1
1/2	0.25	2	1	1/16	1/16	4/4	2	1	1/16	1/16	1		1	43	G2	2	13
3/4	0.25	2	1	1/8	1/8	4/4	2	1	1/16	1/16	1		-2	46	Bb2	2	14
1	0.25	2	1	3/16	3/16	4/4	2	1	1/16	1/16	1		2	50	D3	3	15
5/4	0.25	2	1	1/4	1/4	4/4	2	1	1/16	1/16	1		1	55	G3	3	16
5/4	0.25	2	1	1/4	1/4	4/4	1	1	1/16	1/16	1	-1	-2	70	Bb4	4	2
3/2	0.25	2	1	5/16	5/16	4/4	2	1	1/16	1/16	1		-2	58	Bb3	3	17
3/2	0.25	2	1	5/16	5/16	4/4	1	1	1/16	1/16	1		1	79	G5	5	3
7/4	0.25	2	1	3/8	3/8	4/4	2	1	1/16	1/16	1		3	57	A3	3	18
7/4	0.25	2	1	3/8	3/8	4/4	1	1	1/16	1/16	1		6	78	F#5	5	4
2	0.25	2	1	7/16	7/16	4/4	2	1	1/16	1/16	1		1	55	G3	3	19
2	0.25	2	1	7/16	7/16	4/4	1	1	1/16	1/16	1		1	79	G5	5	5
9/4	0.25	2	1	1/2	1/2	4/4	2	1	1/16	1/16	1		6	54	F#3	3	20
9/4	1.0	2	1	1/2	1/2	4/4	1	2	1/4	1/4	1		3	69	A4	4	12
9/4	1.0	2	1	1/2	1/2	4/4	1	1	1/4	1/4	1	1	0	72	C5	5	6
5/2	0.25	2	1	9/16	9/16	4/4	2	1	1/16	1/16	1		1	55	G3	3	21
11/4	0.25	2	1	5/8	5/8	4/4	2	1	1/16	1/16	1		3	57	A3	3	22
3	0.25	2	1	11/16	11/16	4/4	2	1	1/16	1/16	1		-3	51	Eb3	3	23
13/4	0.25	2	1	3/4	3/4	4/4	2	1	1/16	1/16	1		2	50	D3	3	24
13/4	0.25	2	1	3/4	3/4	4/4	1	1	1/16	1/16	1	-1	0	72	C5	5	7
7/2	0.25	2	1	13/16	13/16	4/4	2	1	1/16	1/16	1		0	48	C3	3	25
7/2	0.25	2	1	13/16	13/16	4/4	1	1	1/16	1/16	1		3	81	A5	5	8
15/4	0.25	2	1	7/8	7/8	4/4	2	1	1/16	1/16	1		-2	46	Bb2	2	26
15/4	0.25	2	1	7/8	7/8	4/4	1	1	1/16	1/16	1		1	79	G5	5	9
4	0.25	2	1	15/16	15/16	4/4	2	1	1/16	1/16	1		3	45	A2	2	27
4	0.25	2	1	15/16	15/16	4/4	1	1	1/16	1/16	1		3	81	A5	5	10
17/4	1.0	3	2	0	0	4/4	2	1	1/4	1/4	1	1	-2	46	Bb2	2	44
17/4	0.25	3	2	0	0	4/4	1	1	1/16	1/16	1		2	74	D5	5	28
9/2	0.25	3	2	1/16	1/16	4/4	1	1	1/16	1/16	1		1	67	G4	4	29
19/4	0.25	3	2	1/8	1/8	4/4	1	1	1/16	1/16	1		-2	70	Bb4	4	30
