quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	0.25	1	0	0	15/16	4/4	1	1	1/16		1/16	1		4	76	E5	5	0
1/4	4.0	2	1	0	0	4/4	2	1	1		1	1	1	3	57	A3	3	27
1/4	2.0	2	1	0	0	4/4	1	3	1/2		1/2	1		0	72	C5	5	24
1/4	0.75	2	1	0	0	4/4	1	1	3/16		1/8	3/2		4	76	E5	5	1
1/2	0.25	2	1	1/16	1/16	4/4	1	2	1/16		1/16	1		4	64	E4	4	15
3/4	0.25	2	1	1/8	1/8	4/4	1	2	1/16		1/16	1		3	69	A4	4	16
1	0.25	2	1	3/16	3/16	4/4	1	2	1/16		1/16	1		1	67	G4	4	17
1	0.25	2	1	3/16	3/16	4/4	1	1	1/16		1/16	1		4	76	E5	5	2
5/4	0.5	2	1	1/4	1/4	4/4	1	2	1/8		1/8	1		-1	65	F4	4	18
5/4	0.25	2	1	1/4	1/4	4/4	1	1	1/16		1/16	1		3	81	A5	5	3
3/2	0.25	2	1	5/16	5/16	4/4	1	1	1/16		1/16	1		8	80	G#5	5	4
7/4	0.5	2	1	3/8	3/8	4/4	1	2	1/8		1/8	1		4	64	E4	4	19
7/4	0.25	2	1	3/8	3/8	4/4	1	1	1/16		1/16	1		3	81	A5	5	5
2	0.25	2	1	7/16	7/16	4/4	1	1	1/16		1/16	1		5	83	B5	5	6
9/4	0.5	2	1	1/2	1/2	4/4	1	2	1/8		1/8	1		-1	65	F4	4	20
9/4	1.0	2	1	1/2	1/2	4/4	1	3	1/4		1/4	1		5	71	B4	4	25
9/4	0.25	2	1	1/2	1/2	4/4	1	1	1/16		1/16	1		2	74	D5	5	7
5/2	0.25	2	1	9/16	9/16	4/4	1	1	1/16		1/16	1		-1	77	F5	5	8
11/4	0.5	2	1	5/8	5/8	4/4	1	2	1/8		1/8	1		2	62	D4	4	21
11/4	0.25	2	1	5/8	5/8	4/4	1	1	1/16		1/16	1		4	76	E5	5	9
3	0.25	2	1	11/16	11/16	4/4	1	1	1/16		1/16	1		-1	77	F5	5	10
13/4	0.5	2	1	3/4	3/4	4/4	1	2	1/8		1/8	1		5	59	B3	3	22
13/4	0.5	2	1	3/4	3/4	4/4	1	3	1/8		1/8	1		8	68	G#4	4	26
13/4	0.25	2	1	3/4	3/4	4/4	1	1	1/16		1/16	1		-1	77	F5	5	11
7/2	0.25	2	1	13/16	13/16	4/4	1	1	1/16		1/16	1		-1	77	F5	5	12
15/4	0.5	2	1	7/8	7/8	4/4	1	2	1/8		1/8	1		8	68	G#4	4	23
15/4	0.25	2	1	7/8	7/8	4/4	1	1	1/16		1/16	1		4	76	E5	5	13
4	0.25	2	1	15/16	15/16	4/4	1	1	1/16		1/16	1		2	74	D5	5	14
17/4	0.75	3	2	0	0	4/4	2	1	3/16		1/8	3/2	-1	3	57	A3	3	53
17/4	0.5	3	2	0	0	4/4	1	2	1/8		1/8	1		3	69	A4	4	38
17/4	0.25	3	2	0	0	4/4	1	1	1/16		1/16	1		0	72	C5	5	28
9/2	0.25	3	2	1/16	1/16	4/4	1	1	1/16		1/16	1		5	71	B4	4	29
19/4	0.25	3	2	1/8	1/8	4/4	1	1	1/16		1/16	1		3	69	A4	4	30
5	0.25	3	2	3/16	3/16	4/4	2	1	1/16		1/16	1		4	64	E4	4	54
5	0.25	3	2	3/16	3/16	4/4	1	1	1/16		1/16	1		5	71	B4	4	31
21/4	0.25	3	2	1/4	1/4	4/4	1	2	1/16		1/16	1		3	69	A4	4	39
21/4	1.0	3	2	1/4	1/4	4/4	1	3	1/4		1/4	1		0	72	C5	5	51
11/2	0.25	3	2	5/16	5/16	4/4	1	2	1/16		1/16	1		8	68	G#4	4	40
23/4	0.25	3	2	3/8	3/8	4/4	1	2	1/16		1/16	1		3	69	A4	4	41
