quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	0.25	1	0	0	3/16	3/8	1	1	1/16	1/16	1		0	72	C5	5	0
1/4	0.5	1	0	1/16	1/4	3/8	1	1	1/8	1/8	1		1	67	G4	4	1
3/4	0.75	2	1	0	0	3/8	1	1	3/16	1/8	3/2		0	72	C5	5	2
3/2	0.25	2	1	3/16	3/16	3/8	2	1	1/16	1/16	1		1	55	G3	3	5
3/2	0.25	2	1	3/16	3/16	3/8	1	1	1/16	1/16	1		2	74	D5	5	3
7/4	0.5	2	1	1/4	1/4	3/8	2	1	1/8	1/8	1		0	48	C3	3	6
7/4	0.5	2	1	1/4	1/4	3/8	1	1	1/8	1/8	1		-3	75	Eb5	5	4
9/4	0.75	3	2	0	0	3/8	2	1	3/16	1/8	3/2		-1	53	F3	3	10
9/4	0.75	3	2	0	0	3/8	1	1	3/16	1/8	3/2		2	74	D5	5	7
3	0.25	3	2	3/16	3/16	3/8	2	1	1/16	1/16	1		1	55	G3	3	11
3	0.25	3	2	3/16	3/16	3/8	1	1	1/16	1/16	1		-3	75	Eb5	5	8
13/4	0.5	3	2	1/4	1/4	3/8	2	1	1/8	1/8	1		-4	56	Ab3	3	12
13/4	0.5	3	2	1/4	1/4	3/8	1	1	1/8	1/8	1		0	72	C5	5	9
15/4	0.75	4	3	0	0	3/8	2	1	3/16	1/8	3/2		1	55	G3	3	16
15/4	0.75	4	3	0	0	3/8	1	1	3/16	1/8	3/2		5	71	B4	4	13
9/2	0.25	4	3	3/16	3/16	3/8	2	1	1/16	1/16	1		-4	56	Ab3	3	17
9/2	0.25	4	3	3/16	3/16	3/8	1	1	1/16	1/16	1		0	72	C5	5	14
19/4	0.5	4	3	1/4	1/4	3/8	2	1	1/8	1/8	1		-1	53	F3	3	18
19/4	0.5	4	3	1/4	1/4	3/8	1	1	1/8	1/8	1		2	74	D5	5	15
21/4	0.75	5	4	0	0	3/8	2	1	3/16	1/8	3/2		-3	51	Eb3	3	22
21/4	0.75	5	4	0	0	3/8	1	1	3/16	1/8	3/2		1	67	G4	4	19
6	0.25	5	4	3/16	3/16	3/8	2	1	1/16	1/16	1		-1	53	F3	3	23
6	0.25	5	4	3/16	3/16	3/8	1	1	1/16	1/16	1		1	79	G5	5	20
25/4	0.5	5	4	1/4	1/4	3/8	2	1	1/8	1/8	1		1	55	G3	3	24
25/4	0.5	5	4	1/4	1/4	3/8	1	1	1/8	1/8	1		0	72	C5	5	21
27/4	0.75	6	5	0	0	3/8	2	1	3/16	1/8	3/2		-4	56	Ab3	3	28
27/4	0.75	6	5	0	0	3/8	1	1	3/16	1/8	3/2		-1	77	F5	5	25
15/2	0.25	6	5	3/16	3/16	3/8	2	1	1/16	1/16	1		1	55	G3	3	29
15/2	0.25	6	5	3/16	3/16	3/8	1	1	1/16	1/16	1		1	79	G5	5	26
31/4	0.5	6	5	1/4	1/4	3/8	2	1	1/8	1/8	1		-1	53	F3	3	30
31/4	0.5	6	5	1/4	1/4	3/8	1	1	1/8	1/8	1		-4	80	Ab5	5	27
33/4	1.0	7	6	0	0	3/8	2	1	1/4	1/4	1		1	55	G3	3	34
33/4	0.75	7	6	0	0	3/8	1	1	3/16	1/8	3/2		2	74	D5	5	31
9	0.25	7	6	3/16	3/16	3/8	1	1	1/16	1/16	1		1	79	G5	5	32
37/4	0.5	7	6	1/4	1/4	3/8	2	1	1/8	1/8	1		1	43	G2	2	35
37/4	0.5	7	6	1/4	1/4	3/8	1	1	1/8	1/8	1		-1	77	F5	5	33
39/4	1.0	8	7	0	0	3/8	2	1	1/4	1/4	1		0	48	C3	3	39
39/4	0.75	8	7	0	0	3/8	1	1	3/16	1/8	3/2		-3	75	Eb5	5	36
21/2	0.25	8	7	3/16	3/16	3/8	1	1	1/16	1/16	1		2	74	D5	5	37
43/4	0.5	8	7	1/4	1/4	3/8	2	1	1/8	1/8	1		0	60	C4	4	40
43/4	0.5	8	7	1/4	1/4	3/8	1	1	1/8	1/8	1		0	72	C5	5	38
45/4	0.75	9	8	0	0	3/8	2	1	3/16	1/8	3/2		5	59	B3	3	42
45/4	1.5	9	8	0	0	3/8	1	1	3/8	1/4	3/2	1	1	79	G5	5	41
12	0.25	9	8	3/16	3/16	3/8	2	1	1/16	1/16	1		3	57	A3	3	43
49/4	0.5	9	8	1/4	1/4	3/8	2	1	1/8	1/8	1		1	55	G3	3	44
51/4	1.0	10	9	0	0	3/8	2	1	1/4	1/4	1		0	60	C4	4	48
51/4	0.75	10	9	0	0	3/8	1	1	3/16	1/8	3/2	-1	1	79	G5	5	45
27/2	0.25	10	9	3/16	3/16	3/8	1	1	1/16	1/16	1		1	79	G5	5	46
55/4	0.5	10	9	1/4	1/4	3/8	2	1	1/8	1/8	1		-2	58	Bb3	3	49
55/4	0.5	10	9	1/4	1/4	3/8	1	1	1/8	1/8	1		0	72	C5	5	47
57/4	0.75	11	10	0	0	3/8	2	1	3/16	1/8	3/2		-4	56	Ab3	3	53
57/4	0.75	11	10	0	0	3/8	1	1	3/16	1/8	3/2		-1	77	F5	5	50
15	0.25	11	10	3/16	3/16	3/8	2	1	1/16	1/16	1		0	60	C4	4	54
15	0.25	11	10	3/16	3/16	3/8	1	1	1/16	1/16	1		1	79	G5	5	51
61/4	0.5	11	10	1/4	1/4	3/8	2	1	1/8	1/8	1		-1	53	F3	3	55
61/4	0.5	11	10	1/4	1/4	3/8	1	1	1/8	1/8	1		-4	80	Ab5	5	52
63/4	0.75	12	11	0	0	3/8	2	1	3/16	1/8	3/2		-2	58	Bb3	3	59
63/4	0.75	12	11	0	0	3/8	1	1	3/16	1/8	3/2		2	74	D5	5	56
33/2	0.25	12	11	3/16	3/16	3/8	2	1	1/16	1/16	1		0	60	C4	4	60
33/2	0.25	12	11	3/16	3/16	3/8	1	1	1/16	1/16	1		0	72	C5	5	57
67/4	0.5	12	11	1/4	1/4	3/8	2	1	1/8	1/8	1		2	62	D4	4	61
67/4	0.5	12	11	1/4	1/4	3/8	1	1	1/8	1/8	1		-2	70	Bb4	4	58
69/4	0.75	13	12	0	0	3/8	2	1	3/16	1/8	3/2		3	57	A3	3	63
69/4	1.5	13	12	0	0	3/8	1	1	3/8	1/4	3/2	1	-1	77	F5	5	62
18	0.25	13	12	3/16	3/16	3/8	2	1	1/16	1/16	1		1	55	G3	3	64
73/4	0.5	13	12	1/4	1/4	3/8	2	1	1/8	1/8	1		-1	53	F3	3	65
75/4	1.0	14	13	0	0	3/8	2	1	1/4	1/4	1		-2	58	Bb3	3	69
75/4	0.75	14	13	0	0	3/8	1	1	3/16	1/8	3/2	-1	-1	77	F5	5	66
39/2	0.25	14	13	3/16	3/16	3/8	1	1	1/16	1/16	1		-1	77	F5	5	67
79/4	0.5	14	13	1/4	1/4	3/8	2	1	1/8	1/8	1		-4	56	Ab3	3	70
79/4	0.5	14	13	1/4	1/4	3/8	1	1	1/8	1/8	1		-2	70	Bb4	4	68
81/4	0.75	15	14	0	0	3/8	2	1	3/16	1/8	3/2		1	55	G3	3	74
81/4	0.75	15	14	0	0	3/8	1	1	3/16	1/8	3/2		-3	75	Eb5	5	71
21	0.25	15	14	3/16	3/16	3/8	2	1	1/16	1/16	1		-2	58	Bb3	3	75
21	0.25	15	14	3/16	3/16	3/8	1	1	1/16	1/16	1		-1	77	F5	5	72
85/4	0.5	15	14	1/4	1/4	3/8	2	1	1/8	1/8	1		-3	51	Eb3	3	76
85/4	0.5	15	14	1/4	1/4	3/8	1	1	1/8	1/8	1		1	79	G5	5	73
87/4	0.75	16	15	0	0	3/8	2	1	3/16	1/8	3/2		-4	56	Ab3	3	80
87/4	0.75	16	15	0	0	3/8	1	1	3/16	1/8	3/2		0	72	C5	5	77
45/2	0.25	16	15	3/16	3/16	3/8	2	1	1/16	1/16	1		-2	58	Bb3	3	81
45/2	0.25	16	15	3/16	3/16	3/8	1	1	1/16	1/16	1		2	74	D5	5	78
91/4	0.5	16	15	1/4	1/4	3/8	2	1	1/8	1/8	1		0	60	C4	4	82
91/4	0.5	16	15	1/4	1/4	3/8	1	1	1/8	1/8	1		-3	75	Eb5	5	79
93/4	0.75	17	16	0	0	3/8	2	1	3/16	1/8	3/2		-1	53	F3	3	84
93/4	1.5	17	16	0	0	3/8	1	1	3/8	1/4	3/2	1	-4	68	Ab4	4	83
24	0.25	17	16	3/16	3/16	3/8	2	1	1/16	1/16	1		1	55	G3	3	85
97/4	0.5	17	16	1/4	1/4	3/8	2	1	1/8	1/8	1		-4	56	Ab3	3	86
99/4	1.5	18	17	0	0	3/8	2	1	3/8	1/4	3/2	1	2	50	D3	3	90
99/4	0.75	18	17	0	0	3/8	1	1	3/16	1/8	3/2	-1	-4	68	Ab4	4	87
51/2	0.25	18	17	3/16	3/16	3/8	1	1	1/16	1/16	1		-4	68	Ab4	4	88
103/4	0.5	18	17	1/4	1/4	3/8	1	1	1/8	1/8	1		-3	63	Eb4	4	89
105/4	0.75	19	18	0	0	3/8	2	1	3/16	1/8	3/2	-1	2	50	D3	3	94
105/4	0.75	19	18	0	0	3/8	1	1	3/16	1/8	3/2		-1	65	F4	4	91
27	0.25	19	18	3/16	3/16	3/8	2	1	1/16	1/16	1		-3	51	Eb3	3	95
27	0.25	19	18	3/16	3/16	3/8	1	1	1/16	1/16	1		1	67	G4	4	92
109/4	0.5	19	18	1/4	1/4	3/8	2	1	1/8	1/8	1		-1	53	F3	3	96
109/4	0.5	19	18	1/4	1/4	3/8	1	1	1/8	1/8	1		-4	68	Ab4	4	93
111/4	0.75	20	19	0	0	3/8	2	1	3/16	1/8	3/2		-2	46	Bb2	2	100
111/4	0.75	20	19	0	0	3/8	1	1	3/16	1/8	3/2		2	62	D4	4	97
57/2	0.25	20	19	3/16	3/16	3/8	2	1	1/16	1/16	1		2	50	D3	3	101
57/2	0.25	20	19	3/16	3/16	3/8	1	1	1/16	1/16	1		0	60	C4	4	98
115/4	0.5	20	19	1/4	1/4	3/8	2	1	1/8	1/8	1		-1	53	F3	3	102
115/4	0.5	20	19	1/4	1/4	3/8	1	1	1/8	1/8	1		-2	58	Bb3	3	99
117/4	0.75	21	20	0	0	3/8	2	1	3/16	1/8	3/2		-4	56	Ab3	3	104
117/4	1.5	21	20	0	0	3/8	1	1	3/8	1/4	3/2	1	-2	70	Bb4	4	103
30	0.25	21	20	3/16	3/16	3/8	2	1	1/16	1/16	1		1	55	G3	3	105
121/4	0.5	21	20	1/4	1/4	3/8	2	1	1/8	1/8	1		-1	53	F3	3	106
123/4	0.75	22	21	0	0	3/8	2	1	3/16	1/8	3/2		1	55	G3	3	110
123/4	0.75	22	21	0	0	3/8	1	1	3/16	1/8	3/2	-1	-2	70	Bb4	4	107
63/2	0.25	22	21	3/16	3/16	3/8	2	1	1/16	1/16	1		-3	51	Eb3	3	111
63/2	0.25	22	21	3/16	3/16	3/8	1	1	1/16	1/16	1		-3	75	Eb5	5	108
