mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	0.5	0	11/8	3/2	1	1	1/8	1/8	1		2	62	D4	4	0
2	1	1/2	1/2	2.0	0	0	3/2	2	1	1/2	1/2	1	1	1	55	G3	3	12
2	1	1/2	1/2	2.0	0	0	3/2	1	1	1/2	1/2	1	1	2	62	D4	4	1
2	1	1	1	0.5	1/8	1/8	3/2	1	2	1/8	1/8	1		0	60	C4	4	8
2	1	3/2	3/2	0.5	1/4	1/4	3/2	1	2	1/8	1/8	1		-2	58	Bb3	3	9
2	1	2	2	0.5	3/8	3/8	3/2	1	2	1/8	1/8	1		3	57	A3	3	10
2	1	5/2	5/2	0.5	1/2	1/2	3/2	2	1	1/8	1/8	1	-1	1	55	G3	3	13
2	1	5/2	5/2	2.0	1/2	1/2	3/2	1	2	1/2	1/2	1		-2	58	Bb3	3	11
2	1	5/2	5/2	1.5	1/2	1/2	3/2	1	1	3/8	1/4	3/2	-1	2	62	D4	4	2
2	1	3	3	0.5	5/8	5/8	3/2	2	1	1/8	1/8	1		6	54	F#3	3	14
2	1	7/2	7/2	0.5	3/4	3/4	3/2	2	1	1/8	1/8	1		1	55	G3	3	15
2	1	4	4	0.5	7/8	7/8	3/2	2	1	1/8	1/8	1		2	50	D3	3	16
2	1	4	4	0.5	7/8	7/8	3/2	1	1	1/8	1/8	1		2	62	D4	4	3
2	1	9/2	9/2	0.5	1	1	3/2	2	1	1/8	1/8	1		-3	51	Eb3	3	17
2	1	9/2	9/2	0.5	1	1	3/2	1	1	1/8	1/8	1		1	67	G4	4	4
2	1	5	5	0.5	9/8	9/8	3/2	2	1	1/8	1/8	1		0	48	C3	3	18
2	1	5	5	0.5	9/8	9/8	3/2	1	1	1/8	1/8	1		3	69	A4	4	5
2	1	11/2	11/2	0.5	5/4	5/4	3/2	2	1	1/8	1/8	1		2	50	D3	3	19
2	1	11/2	11/2	0.5	5/4	5/4	3/2	1	1	1/8	1/8	1		6	66	F#4	4	6
2	1	6	6	0.5	11/8	11/8	3/2	2	1	1/8	1/8	1		-3	51	Eb3	3	20
2	1	6	6	0.5	11/8	11/8	3/2	1	1	1/8	1/8	1		1	67	G4	4	7
3	2	13/2	13/2	2.0	0	0	3/2	2	1	1/2	1/2	1		6	42	F#2	2	32
3	2	13/2	13/2	2.0	0	0	3/2	1	1	1/2	1/2	1		3	69	A4	4	21
3	2	7	7	0.5	1/8	1/8	3/2	1	2	1/8	1/8	1		-3	63	Eb4	4	28
3	2	15/2	15/2	0.5	1/4	1/4	3/2	1	2	1/8	1/8	1		2	62	D4	4	29
