quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	2.0	1	1	0	0	3/4	2	2	1/2		1/2	1		1	43	G2	2	5
0	1.5	1	1	0	0	3/4	1	1	3/8		1/4	3/2		5	71	B4	4	0
1	2.0	1	1	1/4	1/4	3/4	2	1	1/2		1/2	1	1	1	55	G3	3	4
3/2	0.5	1	1	3/8	3/8	3/4	1	1	1/8		1/8	1		0	72	C5	5	1
2	1.0	1	1	1/2	1/2	3/4	2	2	1/4		1/4	1		4	52	E3	3	6
2	0.75	1	1	1/2	1/2	3/4	1	1	3/16		1/8	3/2		3	69	A4	4	2
11/4	0.25	1	1	11/16	11/16	3/4	1	1	1/16		1/16	1		1	67	G4	4	3
3	1.0	2	2	0	0	3/4	2	2	1/4		1/4	1		5	47	B2	2	14
3	1.5	2	2	0	0	3/4	2	1	3/8		1/4	3/2	-1	1	55	G3	3	10
3	1.0	2	2	0	0	3/4	1	1	1/4		1/4	1		2	74	D5	5	7
4	0.0	2	2	1/4	1/4	3/4	1	1	0	appoggiatura	1/8	1		2	74	D5	5	8
4	2.0	2	2	1/4	1/4	3/4	2	2	1/2		1/2	1		0	48	C3	3	15
4	2.0	2	2	1/4	1/4	3/4	1	1	1/2		1/2	1		4	76	E5	5	9
9/2	0.5	2	2	3/8	3/8	3/4	2	1	1/8		1/8	1		1	55	G3	3	11
5	0.5	2	2	1/2	1/2	3/4	2	1	1/8		1/8	1		3	57	A3	3	12
11/2	0.5	2	2	5/8	5/8	3/4	2	1	1/8		1/8	1		5	59	B3	3	13
6	0.0	3	3	0	0	3/4	1	1	0	appoggiatura	1/8	1		1	67	G4	4	16
6	1.0	3	3	0	0	3/4	2	2	1/4		1/4	1		3	57	A3	3	24
6	1.0	3	3	0	0	3/4	2	1	1/4		1/4	1		0	60	C4	4	21
6	1.5	3	3	0	0	3/4	1	1	3/8		1/4	3/2		6	66	F#4	4	17
7	1.0	3	3	1/4	1/4	3/4	2	2	1/4		1/4	1		6	54	F#3	3	25
7	1.0	3	3	1/4	1/4	3/4	2	1	1/4		1/4	1		3	57	A3	3	22
15/2	0.5	3	3	3/8	3/8	3/4	1	1	1/8		1/8	1		0	72	C5	5	18
8	1.0	3	3	1/2	1/2	3/4	2	1	1/4		1/4	1	1	1	55	G3	3	23
8	1.0	3	3	1/2	1/2	3/4	2	2	1/4		1/4	1		1	55	G3	3	26
8	0.75	3	3	1/2	1/2	3/4	1	1	3/16		1/8	3/2		5	71	B4	4	19
35/4	0.25	3	3	11/16	11/16	3/4	1	1	1/16		1/16	1		3	69	A4	4	20
9	2.0	4	4	0	0	3/4	2	2	1/2		1/2	1		2	50	D3	3	33
9	0.5	4	4	0	0	3/4	2	1	1/8		1/8	1	-1	1	55	G3	3	28
