quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	1.0	1	1	0	0	3/4	2	1	1/4	1/4	1		5	47	B2	2	6
0	0.5	1	1	0	0	3/4	1	1	1/8	1/8	1		2	74	D5	5	0
1/2	0.5	1	1	1/8	1/8	3/4	1	1	1/8	1/8	1		6	78	F#5	5	1
1	1.0	1	1	1/4	1/4	3/4	2	1	1/4	1/4	1		5	59	B3	3	7
1	0.5	1	1	1/4	1/4	3/4	1	1	1/8	1/8	1		5	83	B5	5	2
3/2	0.5	1	1	3/8	3/8	3/4	1	1	1/8	1/8	1		6	78	F#5	5	3
2	1.0	1	1	1/2	1/2	3/4	2	1	1/4	1/4	1		10	58	A#3	3	8
2	0.5	1	1	1/2	1/2	3/4	1	1	1/8	1/8	1		7	73	C#5	5	4
5/2	0.5	1	1	5/8	5/8	3/4	1	1	1/8	1/8	1		6	78	F#5	5	5
3	1.0	2	2	0	0	3/4	2	1	1/4	1/4	1		5	59	B3	3	15
3	0.5	2	2	0	0	3/4	1	1	1/8	1/8	1		2	74	D5	5	9
7/2	0.5	2	2	1/8	1/8	3/4	1	1	1/8	1/8	1		6	78	F#5	5	10
4	1.0	2	2	1/4	1/4	3/4	2	1	1/4	1/4	1		2	62	D4	4	16
4	0.5	2	2	1/4	1/4	3/4	1	1	1/8	1/8	1		5	71	B4	4	11
9/2	0.5	2	2	3/8	3/8	3/4	1	1	1/8	1/8	1		6	78	F#5	5	12
5	1.0	2	2	1/2	1/2	3/4	2	1	1/4	1/4	1		6	66	F#4	4	17
5	0.5	2	2	1/2	1/2	3/4	1	1	1/8	1/8	1		10	70	A#4	4	13
11/2	0.5	2	2	5/8	5/8	3/4	1	1	1/8	1/8	1		6	78	F#5	5	14
6	1.0	3	3	0	0	3/4	2	1	1/4	1/4	1		2	62	D4	4	24
6	0.5	3	3	0	0	3/4	1	1	1/8	1/8	1		5	71	B4	4	18
13/2	0.5	3	3	1/8	1/8	3/4	1	1	1/8	1/8	1		6	78	F#5	5	19
7	1.0	3	3	1/4	1/4	3/4	2	1	1/4	1/4	1		5	59	B3	3	25
7	0.5	3	3	1/4	1/4	3/4	1	1	1/8	1/8	1		5	83	B5	5	20
15/2	0.5	3	3	3/8	3/8	3/4	1	1	1/8	1/8	1		6	78	F#5	5	21
8	1.0	3	3	1/2	1/2	3/4	2	1	1/4	1/4	1		10	58	A#3	3	26
8	0.5	3	3	1/2	1/2	3/4	1	1	1/8	1/8	1		7	73	C#5	5	22
17/2	0.5	3	3	5/8	5/8	3/4	1	1	1/8	1/8	1		6	78	F#5	5	23
9	1.0	4	4	0	0	3/4	2	1	1/4	1/4	1		5	59	B3	3	33
9	0.5	4	4	0	0	3/4	1	1	1/8	1/8	1		2	74	D5	5	27
19/2	0.5	4	4	1/8	1/8	3/4	1	1	1/8	1/8	1		6	78	F#5	5	28
10	1.0	4	4	1/4	1/4	3/4	2	1	1/4	1/4	1		2	50	D3	3	34
10	0.5	4	4	1/4	1/4	3/4	1	1	1/8	1/8	1		5	71	B4	4	29
21/2	0.5	4	4	3/8	3/8	3/4	1	1	1/8	1/8	1		6	78	F#5	5	30
11	1.0	4	4	1/2	1/2	3/4	2	1	1/4	1/4	1		6	54	F#3	3	35
11	0.5	4	4	1/2	1/2	3/4	1	1	1/8	1/8	1		10	70	A#4	4	31
23/2	0.5	4	4	5/8	5/8	3/4	1	1	1/8	1/8	1		6	78	F#5	5	32
12	1.0	5	5	0	0	3/4	2	1	1/4	1/4	1		5	47	B2	2	42
12	0.5	5	5	0	0	3/4	1	1	1/8	1/8	1		2	74	D5	5	36
25/2	0.5	5	5	1/8	1/8	3/4	1	1	1/8	1/8	1		6	78	F#5	5	37
13	1.0	5	5	1/4	1/4	3/4	2	1	1/4	1/4	1		5	59	B3	3	43
13	0.5	5	5	1/4	1/4	3/4	1	1	1/8	1/8	1		2	74	D5	5	38
27/2	0.5	5	5	3/8	3/8	3/4	1	1	1/8	1/8	1		5	71	B4	4	39
14	1.0	5	5	1/2	1/2	3/4	2	1	1/4	1/4	1		4	52	E3	3	44
14	0.5	5	5	1/2	1/2	3/4	1	1	1/8	1/8	1		1	79	G5	5	40
29/2	0.5	5	5	5/8	5/8	3/4	1	1	1/8	1/8	1		4	76	E5	5	41
15	1.0	6	6	0	0	3/4	2	1	1/4	1/4	1		3	45	A2	2	51
15	0.5	6	6	0	0	3/4	1	1	1/8	1/8	1		7	73	C#5	5	45
31/2	0.5	6	6	1/8	1/8	3/4	1	1	1/8	1/8	1		4	76	E5	5	46
16	1.0	6	6	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	A3	3	52
16	0.5	6	6	1/4	1/4	3/4	1	1	1/8	1/8	1		7	73	C#5	5	47
