quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	0.25	1	0	0	11/16	3/4	1	1	1/16	1/16	1		4	76	E5	5	0
1/4	0.5	2	1	0	0	3/4	1	1	1/8	1/8	1		4	76	E5	5	1
1/2	0.25	2	1	1/16	1/16	3/4	1	2	1/16	1/16	1		4	64	E4	4	9
3/4	0.25	2	1	1/8	1/8	3/4	1	2	1/16	1/16	1		6	66	F#4	4	10
1	0.25	2	1	3/16	3/16	3/4	1	2	1/16	1/16	1		8	68	G#4	4	11
5/4	0.25	2	1	1/4	1/4	3/4	1	2	1/16	1/16	1		3	69	A4	4	12
3/2	0.25	2	1	5/16	5/16	3/4	1	1	1/16	1/16	1		5	71	B4	4	2
7/4	0.25	2	1	3/8	3/8	3/4	1	1	1/16	1/16	1		7	73	C#5	5	3
2	0.25	2	1	7/16	7/16	3/4	1	1	1/16	1/16	1		9	75	D#5	5	4
9/4	0.25	2	1	1/2	1/2	3/4	1	1	1/16	1/16	1		4	76	E5	5	5
5/2	0.25	2	1	9/16	9/16	3/4	1	1	1/16	1/16	1		6	78	F#5	5	6
11/4	0.25	2	1	5/8	5/8	3/4	1	1	1/16	1/16	1		8	80	G#5	5	7
3	0.25	2	1	11/16	11/16	3/4	1	1	1/16	1/16	1		4	76	E5	5	8
13/4	0.5	3	2	0	0	3/4	1	2	1/8	1/8	1		9	63	D#4	4	21
13/4	0.5	3	2	0	0	3/4	1	1	1/8	1/8	1		5	83	B5	5	13
15/4	0.25	3	2	1/8	1/8	3/4	1	1	1/16	1/16	1		3	81	A5	5	14
4	0.25	3	2	3/16	3/16	3/4	1	1	1/16	1/16	1		8	80	G#5	5	15
17/4	0.25	3	2	1/4	1/4	3/4	1	1	1/16	1/16	1		6	78	F#5	5	16
9/2	0.25	3	2	5/16	5/16	3/4	1	1	1/16	1/16	1		4	76	E5	5	17
19/4	0.25	3	2	3/8	3/8	3/4	1	1	1/16	1/16	1		9	75	D#5	5	18
5	0.25	3	2	7/16	7/16	3/4	1	1	1/16	1/16	1		7	73	C#5	5	19
21/4	0.25	3	2	1/2	1/2	3/4	1	1	1/16	1/16	1		5	71	B4	4	20
11/2	0.25	3	2	9/16	9/16	3/4	1	2	1/16	1/16	1		3	69	A4	4	22
23/4	0.25	3	2	5/8	5/8	3/4	1	2	1/16	1/16	1		8	68	G#4	4	23
6	0.25	3	2	11/16	11/16	3/4	1	2	1/16	1/16	1		6	66	F#4	4	24
25/4	0.5	4	3	0	0	3/4	1	2	1/8	1/8	1		8	68	G#4	4	36
13/2	0.25	4	3	1/16	1/16	3/4	1	1	1/16	1/16	1		5	83	B5	5	25
27/4	0.5	4	3	1/8	1/8	3/4	1	2	1/8	1/8	1		4	64	E4	4	37
27/4	0.25	4	3	1/8	1/8	3/4	1	1	1/16	1/16	1		8	80	G#5	5	26
7	0.25	4	3	3/16	3/16	3/4	1	1	1/16	1/16	1		4	76	E5	5	27
29/4	0.5	4	3	1/4	1/4	3/4	1	2	1/8	1/8	1		3	69	A4	4	38
29/4	0.25	4	3	1/4	1/4	3/4	1	1	1/16	1/16	1		7	73	C#5	5	28
15/2	0.25	4	3	5/16	5/16	3/4	1	1	1/16	1/16	1		3	81	A5	5	29
31/4	0.5	4	3	3/8	3/8	3/4	1	2	1/8	1/8	1		3	57	A3	3	39
31/4	0.25	4	3	3/8	3/8	3/4	1	1	1/16	1/16	1		6	78	F#5	5	30
8	0.25	4	3	7/16	7/16	3/4	1	1	1/16	1/16	1		9	75	D#5	5	31
33/4	0.5	4	3	1/2	1/2	3/4	1	2	1/8	1/8	1		9	63	D#4	4	40
33/4	0.25	4	3	1/2	1/2	3/4	1	1	1/16	1/16	1		5	71	B4	4	32
17/2	0.25	4	3	9/16	9/16	3/4	1	1	1/16	1/16	1		3	81	A5	5	33
35/4	0.5	4	3	5/8	5/8	3/4	1	2	1/8	1/8	1		5	59	B3	3	41
35/4	0.25	4	3	5/8	5/8	3/4	1	1	1/16	1/16	1		8	80	G#5	5	34
9	0.25	4	3	11/16	11/16	3/4	1	1	1/16	1/16	1		6	78	F#5	5	35
37/4	0.5	5	4	0	0	3/4	1	2	1/8	1/8	1		4	64	E4	4	51
37/4	0.25	5	4	0	0	3/4	1	1	1/16	1/16	1		8	80	G#5	5	42
19/2	0.25	5	4	1/16	1/16	3/4	1	1	1/16	1/16	1		4	76	E5	5	43
39/4	0.25	5	4	1/8	1/8	3/4	1	1	1/16	1/16	1		9	75	D#5	5	44
10	0.25	5	4	3/16	3/16	3/4	1	1	1/16	1/16	1		7	73	C#5	5	45
41/4	0.25	5	4	1/4	1/4	3/4	1	1	1/16	1/16	1		5	71	B4	4	46
21/2	0.25	5	4	5/16	5/16	3/4	1	1	1/16	1/16	1		3	69	A4	4	47
43/4	0.25	5	4	3/8	3/8	3/4	1	1	1/16	1/16	1		8	68	G#4	4	48
11	0.25	5	4	7/16	7/16	3/4	1	1	1/16	1/16	1		6	66	F#4	4	49
45/4	0.25	5	4	1/2	1/2	3/4	1	1	1/16	1/16	1		4	64	E4	4	50
23/2	0.25	5	4	9/16	9/16	3/4	2	1	1/16	1/16	1		9	63	D#4	4	52
47/4	0.25	5	4	5/8	5/8	3/4	2	1	1/16	1/16	1		7	61	C#4	4	53
12	0.25	5	4	11/16	11/16	3/4	2	1	1/16	1/16	1		5	59	B3	3	54
49/4	0.5	6	5	0	0	3/4	2	1	1/8	1/8	1		7	61	C#4	4	66
25/2	0.25	6	5	1/16	1/16	3/4	1	1	1/16	1/16	1		8	80	G#5	5	55
51/4	0.5	6	5	1/8	1/8	3/4	2	1	1/8	1/8	1		9	63	D#4	4	67
51/4	0.25	6	5	1/8	1/8	3/4	1	1	1/16	1/16	1		4	76	E5	5	56
13	0.25	6	5	3/16	3/16	3/4	1	1	1/16	1/16	1		7	73	C#5	5	57
53/4	0.5	6	5	1/4	1/4	3/4	2	1	1/8	1/8	1		7	61	C#4	4	68
53/4	0.25	6	5	1/4	1/4	3/4	1	1	1/16	1/16	1		10	70	A#4	4	58
27/2	0.25	6	5	5/16	5/16	3/4	1	1	1/16	1/16	1		4	76	E5	5	59
55/4	0.5	6	5	3/8	3/8	3/4	2	1	1/8	1/8	1		5	59	B3	3	69
55/4	0.25	6	5	3/8	3/8	3/4	1	1	1/16	1/16	1		7	73	C#5	5	60
14	0.25	6	5	7/16	7/16	3/4	1	1	1/16	1/16	1		10	70	A#4	4	61
57/4	0.5	6	5	1/2	1/2	3/4	2	1	1/8	1/8	1		10	58	A#3	3	70
57/4	0.25	6	5	1/2	1/2	3/4	1	1	1/16	1/16	1		6	66	F#4	4	62
29/2	0.25	6	5	9/16	9/16	3/4	1	1	1/16	1/16	1		4	76	E5	5	63
59/4	0.5	6	5	5/8	5/8	3/4	2	1	1/8	1/8	1		6	54	F#3	3	71
59/4	0.25	6	5	5/8	5/8	3/4	1	1	1/16	1/16	1		9	75	D#5	5	64
15	0.25	6	5	11/16	11/16	3/4	1	1	1/16	1/16	1		7	73	C#5	5	65
61/4	0.5	7	6	0	0	3/4	2	1	1/8	1/8	1		5	59	B3	3	84
61/4	0.25	7	6	0	0	3/4	1	1	1/16	1/16	1		9	75	D#5	5	72
31/2	0.25	7	6	1/16	1/16	3/4	1	1	1/16	1/16	1		6	78	F#5	5	73
63/4	0.5	7	6	1/8	1/8	3/4	2	1	1/8	1/8	1		5	47	B2	2	85
63/4	0.25	7	6	1/8	1/8	3/4	1	1	1/16	1/16	1		9	75	D#5	5	74
16	0.25	7	6	3/16	3/16	3/4	1	1	1/16	1/16	1		5	71	B4	4	75
65/4	0.5	7	6	1/4	1/4	3/4	2	1	1/8	1/8	1		7	49	C#3	3	86
65/4	0.25	7	6	1/4	1/4	3/4	1	1	1/16	1/16	1		3	69	A4	4	76
33/2	0.25	7	6	5/16	5/16	3/4	1	1	1/16	1/16	1		7	73	C#5	5	77
67/4	0.5	7	6	3/8	3/8	3/4	2	1	1/8	1/8	1		6	54	F#3	3	87
