quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	1.0	1	1	0	0	6/8	1	2	1/4	1/4	1		-2	70	Bb4	4	0
1	0.5	1	1	1/4	1/4	6/8	1	2	1/8	1/8	1		-3	75	Eb5	5	1
3/2	1.0	1	1	3/8	3/8	6/8	1	2	1/4	1/4	1		-2	70	Bb4	4	2
5/2	0.5	1	1	5/8	5/8	6/8	1	2	1/8	1/8	1		-3	75	Eb5	5	3
3	0.5	2	2	0	0	6/8	1	2	1/8	1/8	1		-2	70	Bb4	4	4
7/2	0.5	2	2	1/8	1/8	6/8	1	2	1/8	1/8	1		-4	68	Ab4	4	5
4	0.5	2	2	1/4	1/4	6/8	1	2	1/8	1/8	1		1	67	G4	4	6
9/2	0.5	2	2	3/8	3/8	6/8	1	2	1/8	1/8	1		-4	68	Ab4	4	7
5	0.5	2	2	1/2	1/2	6/8	1	2	1/8	1/8	1		1	67	G4	4	8
11/2	0.5	2	2	5/8	5/8	6/8	1	2	1/8	1/8	1		-1	65	F4	4	9
6	0.5	3	3	0	0	6/8	1	2	1/8	1/8	1		1	67	G4	4	14
6	1.0	3	3	0	0	6/8	1	1	1/4	1/4	1		-3	75	Eb5	5	10
13/2	0.5	3	3	1/8	1/8	6/8	1	2	1/8	1/8	1		-2	70	Bb4	4	15
7	0.5	3	3	1/4	1/4	6/8	1	2	1/8	1/8	1		-4	68	Ab4	4	16
7	0.5	3	3	1/4	1/4	6/8	1	1	1/8	1/8	1		-2	82	Bb5	5	11
15/2	0.5	3	3	3/8	3/8	6/8	1	2	1/8	1/8	1		1	67	G4	4	17
15/2	1.0	3	3	3/8	3/8	6/8	1	1	1/4	1/4	1		-3	75	Eb5	5	12
8	0.5	3	3	1/2	1/2	6/8	1	2	1/8	1/8	1		-1	65	F4	4	18
17/2	0.5	3	3	5/8	5/8	6/8	1	2	1/8	1/8	1		-3	63	Eb4	4	19
17/2	0.5	3	3	5/8	5/8	6/8	1	1	1/8	1/8	1		-2	82	Bb5	5	13
9	1.0	4	4	0	0	6/8	1	2	1/4	1/4	1		2	62	D4	4	26
9	0.5	4	4	0	0	6/8	1	1	1/8	1/8	1		-1	77	F5	5	20
19/2	0.5	4	4	1/8	1/8	6/8	1	1	1/8	1/8	1		-3	75	Eb5	5	21
10	0.5	4	4	1/4	1/4	6/8	1	2	1/8	1/8	1		-2	70	Bb4	4	27
10	0.5	4	4	1/4	1/4	6/8	1	1	1/8	1/8	1		2	74	D5	5	22
21/2	1.0	4	4	3/8	3/8	6/8	1	2	1/4	1/4	1		0	60	C4	4	28
21/2	0.5	4	4	3/8	3/8	6/8	1	1	1/8	1/8	1		-3	75	Eb5	5	23
11	0.5	4	4	1/2	1/2	6/8	1	1	1/8	1/8	1		2	74	D5	5	24
23/2	0.5	4	4	5/8	5/8	6/8	1	2	1/8	1/8	1		3	69	A4	4	29
23/2	0.5	4	4	5/8	5/8	6/8	1	1	1/8	1/8	1		0	72	C5	5	25
12	1.0	5	5	0	0	6/8	2	1	1/4	1/4	1		-2	58	Bb3	3	36
12	1.0	5	5	0	0	6/8	1	1	1/4	1/4	1		2	74	D5	5	30
25/2	1.0	5	5	1/8	1/8	6/8	1	2	1/4	1/4	1		-2	70	Bb4	4	34
13	0.5	5	5	1/4	1/4	6/8	2	1	1/8	1/8	1		-3	63	Eb4	4	37
13	0.5	5	5	1/4	1/4	6/8	1	1	1/8	1/8	1		1	79	G5	5	31
27/2	1.0	5	5	3/8	3/8	6/8	2	1	1/4	1/4	1		-2	58	Bb3	3	38
27/2	1.0	5	5	3/8	3/8	6/8	1	1	1/4	1/4	1		2	74	D5	5	32
