quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
3/4	0.25	1	1	3/16	3/16	4/4	1	2	1/16	1/16	1		3	69	A4	4	0
1	0.75	1	1	1/4	1/4	4/4	1	2	3/16	1/8	3/2		2	74	D5	5	1
7/4	0.25	1	1	7/16	7/16	4/4	1	2	1/16	1/16	1		3	69	A4	4	2
2	0.5	1	1	1/2	1/2	4/4	1	2	1/8	1/8	1	1	-2	70	Bb4	4	3
5/2	0.125	1	1	5/8	5/8	4/4	1	2	1/32	1/32	1	-1	-2	70	Bb4	4	4
21/8	0.125	1	1	21/32	21/32	4/4	1	2	1/32	1/32	1		3	69	A4	4	5
11/4	0.125	1	1	11/16	11/16	4/4	1	2	1/32	1/32	1		1	67	G4	4	6
23/8	0.125	1	1	23/32	23/32	4/4	1	2	1/32	1/32	1		-1	65	F4	4	7
3	0.75	1	1	3/4	3/4	4/4	1	2	3/16	1/8	3/2		4	64	E4	4	8
15/4	0.25	1	1	15/16	15/16	4/4	1	2	1/16	1/16	1		1	67	G4	4	9
4	0.75	2	2	0	0	4/4	1	2	3/16	1/8	3/2		-1	65	F4	4	20
19/4	0.125	2	2	3/16	3/16	4/4	1	2	1/32	1/32	1		4	64	E4	4	21
19/4	0.25	2	2	3/16	3/16	4/4	1	1	1/16	1/16	1		2	74	D5	5	10
39/8	0.125	2	2	7/32	7/32	4/4	1	2	1/32	1/32	1		2	62	D4	4	22
5	1.0	2	2	1/4	1/4	4/4	1	2	1/4	1/4	1		7	61	C#4	4	23
5	0.75	2	2	1/4	1/4	4/4	1	1	3/16	1/8	3/2		3	81	A5	5	11
23/4	0.25	2	2	7/16	7/16	4/4	1	1	1/16	1/16	1		4	76	E5	5	12
6	1.0	2	2	1/2	1/2	4/4	1	2	1/4	1/4	1		2	62	D4	4	24
6	0.5	2	2	1/2	1/2	4/4	1	1	1/8	1/8	1	1	-1	77	F5	5	13
13/2	0.125	2	2	5/8	5/8	4/4	1	1	1/32	1/32	1	-1	-1	77	F5	5	14
53/8	0.125	2	2	21/32	21/32	4/4	1	1	1/32	1/32	1		4	76	E5	5	15
27/4	0.125	2	2	11/16	11/16	4/4	1	1	1/32	1/32	1		2	74	D5	5	16
55/8	0.125	2	2	23/32	23/32	4/4	1	1	1/32	1/32	1		0	72	C5	5	17
7	1.0	2	2	3/4	3/4	4/4	1	2	1/4	1/4	1	1	1	67	G4	4	25
