quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	0.5	1	0	0	11/8	12/8	1	1	1/8	1/8	1		2	74	D5	5	0
1/2	0.5	2	1	0	0	12/8	1	1	1/8	1/8	1		-3	75	Eb5	5	1
1	0.5	2	1	1/8	1/8	12/8	1	1	1/8	1/8	1		2	74	D5	5	2
3/2	0.5	2	1	1/4	1/4	12/8	1	1	1/8	1/8	1		0	72	C5	5	3
2	0.5	2	1	3/8	3/8	12/8	1	1	1/8	1/8	1		-2	70	Bb4	4	4
5/2	0.5	2	1	1/2	1/2	12/8	1	1	1/8	1/8	1		3	69	A4	4	5
3	0.5	2	1	5/8	5/8	12/8	1	1	1/8	1/8	1		1	67	G4	4	6
7/2	0.5	2	1	3/4	3/4	12/8	1	1	1/8	1/8	1		6	66	F#4	4	7
4	0.5	2	1	7/8	7/8	12/8	1	1	1/8	1/8	1		3	69	A4	4	8
9/2	0.5	2	1	1	1	12/8	1	1	1/8	1/8	1		2	62	D4	4	9
5	0.5	2	1	9/8	9/8	12/8	1	1	1/8	1/8	1		0	60	C4	4	10
11/2	0.5	2	1	5/4	5/4	12/8	1	1	1/8	1/8	1		-2	58	Bb3	3	11
6	0.5	2	1	11/8	11/8	12/8	1	1	1/8	1/8	1		3	57	A3	3	12
13/2	0.5	3	2	0	0	12/8	1	1	1/8	1/8	1		-2	58	Bb3	3	13
7	0.5	3	2	1/8	1/8	12/8	1	1	1/8	1/8	1		2	62	D4	4	14
15/2	0.5	3	2	1/4	1/4	12/8	1	1	1/8	1/8	1		1	67	G4	4	15
8	0.5	3	2	3/8	3/8	12/8	1	1	1/8	1/8	1		3	57	A3	3	16
17/2	0.5	3	2	1/2	1/2	12/8	1	1	1/8	1/8	1		1	67	G4	4	17
9	0.5	3	2	5/8	5/8	12/8	1	1	1/8	1/8	1		6	66	F#4	4	18
19/2	0.5	3	2	3/4	3/4	12/8	1	1	1/8	1/8	1		1	67	G4	4	19
10	0.5	3	2	7/8	7/8	12/8	1	1	1/8	1/8	1		-2	70	Bb4	4	20
21/2	0.5	3	2	1	1	12/8	1	1	1/8	1/8	1		3	69	A4	4	21
11	0.5	3	2	9/8	9/8	12/8	1	1	1/8	1/8	1		-2	70	Bb4	4	22
23/2	0.5	3	2	5/4	5/4	12/8	1	1	1/8	1/8	1		2	74	D5	5	23
12	0.5	3	2	11/8	11/8	12/8	1	2	1/8	1/8	1		1	67	G4	4	25
12	0.5	3	2	11/8	11/8	12/8	1	1	1/8	1/8	1		0	72	C5	5	24
