quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	0.5	1	0	0	3/4	2/2	1	1	1/8	1/8	1		8	68	G#4	4	0
1/2	0.5	1	0	1/8	7/8	2/2	1	1	1/8	1/8	1		3	69	A4	4	1
1	1.0	2	1	0	0	2/2	1	1	1/4	1/4	1		5	71	B4	4	2
2	0.5	2	1	1/4	1/4	2/2	2	1	1/8	1/8	1		4	52	E3	3	7
2	0.5	2	1	1/4	1/4	2/2	1	1	1/8	1/8	1		8	68	G#4	4	3
5/2	0.5	2	1	3/8	3/8	2/2	2	1	1/8	1/8	1		6	54	F#3	3	8
5/2	0.5	2	1	3/8	3/8	2/2	1	1	1/8	1/8	1		5	71	B4	4	4
3	0.5	2	1	1/2	1/2	2/2	2	1	1/8	1/8	1		8	56	G#3	3	9
3	1.0	2	1	1/2	1/2	2/2	1	1	1/4	1/4	1		4	76	E5	5	5
7/2	0.5	2	1	5/8	5/8	2/2	2	1	1/8	1/8	1		6	54	F#3	3	10
4	0.5	2	1	3/4	3/4	2/2	2	1	1/8	1/8	1		8	56	G#3	3	11
4	1.0	2	1	3/4	3/4	2/2	1	1	1/4	1/4	1		5	71	B4	4	6
9/2	0.5	2	1	7/8	7/8	2/2	2	1	1/8	1/8	1		4	52	E3	3	12
5	0.5	3	2	0	0	2/2	2	1	1/8	1/8	1		3	57	A3	3	17
5	1.0	3	2	0	0	2/2	1	1	1/4	1/4	1		6	78	F#5	5	13
11/2	0.5	3	2	1/8	1/8	2/2	2	1	1/8	1/8	1		8	56	G#3	3	18
6	0.5	3	2	1/4	1/4	2/2	2	1	1/8	1/8	1		3	57	A3	3	19
6	1.0	3	2	1/4	1/4	2/2	1	1	1/4	1/4	1		5	71	B4	4	14
13/2	0.5	3	2	3/8	3/8	2/2	2	1	1/8	1/8	1		4	52	E3	3	20
7	0.5	3	2	1/2	1/2	2/2	2	1	1/8	1/8	1		5	59	B3	3	21
7	1.0	3	2	1/2	1/2	2/2	1	1	1/4	1/4	1		8	80	G#5	5	15
