quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	0.5	1	0	0	11/8	3/2	1	1	1/8		1/8	1		2	74	D5	5	0
1/2	0.5	2	1	0	0	3/2	2	1	1/8		1/8	1		2	62	D4	4	9
1/2	1.5	2	1	0	0	3/2	1	2	3/8		1/4	3/2		-1	65	F4	4	8
1/2	1.5	2	1	0	0	3/2	1	2	3/8		1/4	3/2		3	69	A4	4	8
1/2	1.5	2	1	0	0	3/2	1	1	3/8		1/4	3/2		2	74	D5	5	1
1	0.5	2	1	1/8	1/8	3/2	2	1	1/8		1/8	1		2	50	D3	3	10
3/2	0.5	2	1	1/4	1/4	3/2	2	1	1/8		1/8	1		4	52	E3	3	11
2	0.5	2	1	3/8	3/8	3/2	2	1	1/8		1/8	1		-1	53	F3	3	12
2	0.5	2	1	3/8	3/8	3/2	1	1	1/8		1/8	1		0	72	C5	5	2
5/2	0.5	2	1	1/2	1/2	3/2	2	1	1/8		1/8	1		1	55	G3	3	13
5/2	0.5	2	1	1/2	1/2	3/2	1	1	1/8		1/8	1		-2	70	Bb4	4	3
3	0.5	2	1	5/8	5/8	3/2	2	1	1/8		1/8	1		6	54	F#3	3	14
3	0.5	2	1	5/8	5/8	3/2	1	1	1/8		1/8	1		3	69	A4	4	4
7/2	0.5	2	1	3/4	3/4	3/2	2	1	1/8		1/8	1		1	55	G3	3	15
7/2	1.0	2	1	3/4	3/4	3/2	1	1	1/4		1/4	1		-2	70	Bb4	4	5
4	0.5	2	1	7/8	7/8	3/2	2	1	1/8		1/8	1		3	57	A3	3	16
9/2	0.5	2	1	1	1	3/2	2	1	1/8		1/8	1		-2	58	Bb3	3	17
9/2	1.5	2	1	1	1	3/2	1	1	3/8		1/4	3/2		1	67	G4	4	6
5	0.5	2	1	9/8	9/8	3/2	2	1	1/8		1/8	1		1	55	G3	3	18
11/2	0.5	2	1	5/4	5/4	3/2	2	1	1/8		1/8	1		3	57	A3	3	19
6	0.5	2	1	11/8	11/8	3/2	2	1	1/8		1/8	1		-2	58	Bb3	3	20
6	0.5	2	1	11/8	11/8	3/2	1	1	1/8		1/8	1		1	67	G4	4	7
13/2	0.5	3	2	0	0	3/2	2	1	1/8		1/8	1		7	49	C#3	3	29
13/2	1.5	3	2	0	0	3/2	1	1	3/8		1/4	3/2		4	76	E5	5	21
7	0.5	3	2	1/8	1/8	3/2	2	1	1/8		1/8	1		3	57	A3	3	30
15/2	0.5	3	2	1/4	1/4	3/2	2	1	1/8		1/8	1		-1	53	F3	3	31
8	0.5	3	2	3/8	3/8	3/2	2	1	1/8		1/8	1		2	50	D3	3	32
8	0.5	3	2	3/8	3/8	3/2	1	1	1/8		1/8	1		-1	77	F5	5	22
17/2	1.0	3	2	1/2	1/2	3/2	2	1	1/4		1/4	1		1	55	G3	3	33
17/2	0.5	3	2	1/2	1/2	3/2	1	1	1/8		1/8	1		-1	77	F5	5	23
9	0.5	3	2	5/8	5/8	3/2	1	1	1/8		1/8	1		4	76	E5	5	24
19/2	0.5	3	2	3/4	3/4	3/2	2	1	1/8		1/8	1		1	43	G2	2	34
19/2	0.5	3	2	3/4	3/4	3/2	1	1	1/8		1/8	1		2	74	D5	5	25
10	0.5	3	2	7/8	7/8	3/2	2	1	1/8		1/8	1		3	45	A2	2	35
10	0.5	3	2	7/8	7/8	3/2	1	1	1/8		1/8	1		7	73	C#5	5	26
21/2	0.5	3	2	1	1	3/2	2	1	1/8		1/8	1		-2	46	Bb2	2	36
21/2	1.5	3	2	1	1	3/2	1	1	3/8		1/4	3/2		2	74	D5	5	27
11	0.5	3	2	9/8	9/8	3/2	2	1	1/8		1/8	1		3	45	A2	2	37
23/2	0.5	3	2	5/4	5/4	3/2	2	1	1/8		1/8	1		-2	46	Bb2	2	38
12	0.5	3	2	11/8	11/8	3/2	2	1	1/8		1/8	1		1	43	G2	2	39
12	0.5	3	2	11/8	11/8	3/2	1	1	1/8		1/8	1		4	76	E5	5	28
25/2	0.5	4	3	0	0	3/2	2	1	1/8		1/8	1		3	45	A2	2	50
25/2	1.0	4	3	0	0	3/2	1	1	1/4		1/4	1		7	73	C#5	5	40
13	0.5	4	3	1/8	1/8	3/2	2	1	1/8		1/8	1		3	57	A3	3	51
27/2	0.5	4	3	1/4	1/4	3/2	2	1	1/8		1/8	1		1	55	G3	3	52
27/2	0.5	4	3	1/4	1/4	3/2	1	1	1/8		1/8	1		5	71	B4	4	41
14	0.5	4	3	3/8	3/8	3/2	2	1	1/8		1/8	1		4	52	E3	3	53
14	0.5	4	3	3/8	3/8	3/2	1	1	1/8		1/8	1		3	69	A4	4	42
29/2	0.5	4	3	1/2	1/2	3/2	2	1	1/8		1/8	1		-1	53	F3	3	54
29/2	0.5	4	3	1/2	1/2	3/2	1	1	1/8		1/8	1		5	71	B4	4	43
