quarterbeats	duration_qb	mc	mn	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	0.5	1	0		0	1/2	2/2	2	1	1/8	1/8	1		3	69	A4	4	2
0	1.0	1	0		0	1/2	2/2	1	1	1/4	1/4	1		6	78	F#5	5	0
1/2	0.5	1	0		1/8	5/8	2/2	2	1	1/8	1/8	1		2	62	D4	4	3
1	0.5	1	0		1/4	3/4	2/2	2	1	1/8	1/8	1		6	66	F#4	4	4
1	1.0	1	0		1/4	3/4	2/2	1	1	1/4	1/4	1		6	78	F#5	5	1
3/2	0.5	1	0		3/8	7/8	2/2	2	1	1/8	1/8	1		3	69	A4	4	5
2	0.5	2	1		0	0	2/2	2	1	1/8	1/8	1		2	74	D5	5	11
2	1.5	2	1		0	0	2/2	1	1	3/8	1/4	3/2		6	78	F#5	5	6
5/2	0.5	2	1		1/8	1/8	2/2	2	1	1/8	1/8	1		2	62	D4	4	12
3	0.5	2	1		1/4	1/4	2/2	2	1	1/8	1/8	1		0	72	C5	5	13
7/2	0.5	2	1		3/8	3/8	2/2	2	1	1/8	1/8	1		2	62	D4	4	14
7/2	0.25	2	1		3/8	3/8	2/2	1	1	1/16	1/16	1		4	76	E5	5	7
15/4	0.25	2	1		7/16	7/16	2/2	1	1	1/16	1/16	1		6	78	F#5	5	8
4	0.5	2	1		1/2	1/2	2/2	2	1	1/8	1/8	1		5	71	B4	4	15
4	1.0	2	1		1/2	1/2	2/2	1	1	1/4	1/4	1		1	79	G5	5	9
9/2	0.5	2	1		5/8	5/8	2/2	2	1	1/8	1/8	1		2	62	D4	4	16
5	0.5	2	1		3/4	3/4	2/2	2	1	1/8	1/8	1		3	69	A4	4	17
5	1.0	2	1		3/4	3/4	2/2	1	1	1/4	1/4	1		6	78	F#5	5	10
11/2	0.5	2	1		7/8	7/8	2/2	2	1	1/8	1/8	1		2	62	D4	4	18
6	0.5	3	2		0	0	2/2	2	1	1/8	1/8	1		1	67	G4	4	22
6	2.0	3	2		0	0	2/2	1	1	1/2	1/2	1		4	76	E5	5	19
13/2	0.5	3	2		1/8	1/8	2/2	2	1	1/8	1/8	1		2	62	D4	4	23
7	0.5	3	2		1/4	1/4	2/2	2	1	1/8	1/8	1		6	66	F#4	4	24
15/2	0.5	3	2		3/8	3/8	2/2	2	1	1/8	1/8	1		2	62	D4	4	25
8	0.5	3	2		1/2	1/2	2/2	2	1	1/8	1/8	1		1	67	G4	4	26
8	1.0	3	2		1/2	1/2	2/2	1	1	1/4	1/4	1		4	76	E5	5	20
17/2	0.5	3	2		5/8	5/8	2/2	2	1	1/8	1/8	1		2	62	D4	4	27
9	0.5	3	2		3/4	3/4	2/2	2	1	1/8	1/8	1		4	64	E4	4	28
9	1.0	3	2		3/4	3/4	2/2	1	1	1/4	1/4	1		4	76	E5	5	21
19/2	0.5	3	2		7/8	7/8	2/2	2	1	1/8	1/8	1		1	67	G4	4	29
10	0.5	4	3		0	0	2/2	2	1	1/8	1/8	1		7	73	C#5	5	37
10	1.5	4	3		0	0	2/2	1	1	3/8	1/4	3/2		4	76	E5	5	30
21/2	0.5	4	3		1/8	1/8	2/2	2	1	1/8	1/8	1		2	62	D4	4	38
11	0.5	4	3		1/4	1/4	2/2	2	1	1/8	1/8	1		5	71	B4	4	39
23/2	0.5	4	3		3/8	3/8	2/2	2	1	1/8	1/8	1		2	62	D4	4	40
23/2	0.25	4	3		3/8	3/8	2/2	1	1	1/16	1/16	1		2	74	D5	5	31
47/4	0.25	4	3		7/16	7/16	2/2	1	1	1/16	1/16	1		4	76	E5	5	32
