quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	0.5	1	1	0	0	3/4	2	1	1/8		1/8	1.0		4	64	E4	4	5
0	0.25	1	1	0	0	3/4	1	1	1/16		1/16	1.0		8	80	G#5	5	0
1/4	0.25	1	1	1/16	1/16	3/4	1	1	1/16		1/16	1.0		3	81	A5	5	1
1/2	0.5	1	1	1/8	1/8	3/4	2	1	1/8		1/8	1.0		9	63	D#4	4	6
1/2	0.5	1	1	1/8	1/8	3/4	1	1	1/8		1/8	1.0		5	83	B5	5	2
1	0.5	1	1	1/4	1/4	3/4	2	1	1/8		1/8	1.0		7	61	C#4	4	7
1	1.0	1	1	1/4	1/4	3/4	1	1	1/4		1/4	1.0		3	81	A5	5	3
3/2	0.5	1	1	3/8	3/8	3/4	2	1	1/8		1/8	1.0		4	64	E4	4	8
2	0.5	1	1	1/2	1/2	3/4	2	1	1/8		1/8	1.0		5	59	B3	3	9
2	1.0	1	1	1/2	1/2	3/4	1	1	1/4		1/4	1.0		8	80	G#5	5	4
5/2	0.5	1	1	5/8	5/8	3/4	2	1	1/8		1/8	1.0		4	64	E4	4	10
3	0.5	2	2	0	0	3/4	2	1	1/8		1/8	1.0		3	57	A3	3	14
3	0.5	2	2	0	0	3/4	1	1	1/8		1/8	1.0		6	78	F#5	5	11
7/2	0.5	2	2	1/8	1/8	3/4	2	1	1/8		1/8	1.0		4	64	E4	4	15
7/2	0.5	2	2	1/8	1/8	3/4	1	1	1/8		1/8	1.0		9	75	D#5	5	12
4	0.5	2	2	1/4	1/4	3/4	2	1	1/8		1/8	1.0		8	56	G#3	3	16
4	2.0	2	2	1/4	1/4	3/4	1	1	1/2		1/2	1.0		4	76	E5	5	13
9/2	0.5	2	2	3/8	3/8	3/4	2	1	1/8		1/8	1.0		4	64	E4	4	17
5	0.5	2	2	1/2	1/2	3/4	2	1	1/8		1/8	1.0		6	54	F#3	3	18
11/2	0.5	2	2	5/8	5/8	3/4	2	1	1/8		1/8	1.0		4	64	E4	4	19
6	0.5	3	3	0	0	3/4	2	1	1/8		1/8	1.0		8	56	G#3	3	26
6	0.5	3	3	0	0	3/4	1	1	1/8		1/8	1.0		5	71	B4	4	20
13/2	0.5	3	3	1/8	1/8	3/4	2	1	1/8		1/8	1.0		4	64	E4	4	27
13/2	0.5	3	3	1/8	1/8	3/4	1	1	1/8		1/8	1.0		2	74	D5	5	21
7	0.5	3	3	1/4	1/4	3/4	2	1	1/8		1/8	1.0		3	57	A3	3	28
7	0.5	3	3	1/4	1/4	3/4	1	1	1/8		1/8	1.0		2	74	D5	5	22
15/2	0.5	3	3	3/8	3/8	3/4	2	1	1/8		1/8	1.0		4	64	E4	4	29
15/2	0.5	3	3	3/8	3/8	3/4	1	1	1/8		1/8	1.0		7	73	C#5	5	23
8	0.5	3	3	1/2	1/2	3/4	2	1	1/8		1/8	1.0		8	56	G#3	3	30
8	0.5	3	3	1/2	1/2	3/4	1	1	1/8		1/8	1.0		7	73	C#5	5	24
17/2	0.5	3	3	5/8	5/8	3/4	2	1	1/8		1/8	1.0		4	64	E4	4	31
17/2	0.5	3	3	5/8	5/8	3/4	1	1	1/8		1/8	1.0		5	71	B4	4	25
9	0.5	4	4	0	0	3/4	2	1	1/8		1/8	1.0		6	54	F#3	3	38
9	0.25	4	4	0	0	3/4	1	1	1/16		1/16	1.0		5	71	B4	4	32
37/4	0.25	4	4	1/16	1/16	3/4	1	1	1/16		1/16	1.0		3	69	A4	4	33
19/2	0.5	4	4	1/8	1/8	3/4	2	1	1/8		1/8	1.0		9	63	D#4	4	39
19/2	0.25	4	4	1/8	1/8	3/4	1	1	1/16		1/16	1.0		8	68	G#4	4	34
39/4	0.25	4	4	3/16	3/16	3/4	1	1	1/16		1/16	1.0		6	66	F#4	4	35
10	0.5	4	4	1/4	1/4	3/4	2	1	1/8		1/8	1.0		4	64	E4	4	40
10	1.0	4	4	1/4	1/4	3/4	1	1	1/4		1/4	1.0		8	68	G#4	4	36
21/2	0.5	4	4	3/8	3/8	3/4	2	1	1/8		1/8	1.0		4	52	E3	3	41
11	0.5	4	4	1/2	1/2	3/4	2	1	1/8		1/8	1.0		8	56	G#3	3	42
11	1.0	4	4	1/2	1/2	3/4	1	1	1/4		1/4	1.0		4	64	E4	4	37
23/2	0.5	4	4	5/8	5/8	3/4	2	1	1/8		1/8	1.0		5	59	B3	3	43
12	0.5	5	5	0	0	3/4	2	1	1/8		1/8	1.0		4	64	E4	4	49
12	0.25	5	5	0	0	3/4	1	1	1/16		1/16	1.0		8	80	G#5	5	44
49/4	0.25	5	5	1/16	1/16	3/4	1	1	1/16		1/16	1.0		3	81	A5	5	45
25/2	0.5	5	5	1/8	1/8	3/4	2	1	1/8		1/8	1.0		9	63	D#4	4	50
25/2	0.5	5	5	1/8	1/8	3/4	1	1	1/8		1/8	1.0		5	83	B5	5	46
13	0.5	5	5	1/4	1/4	3/4	2	1	1/8		1/8	1.0		7	61	C#4	4	51
13	1.0	5	5	1/4	1/4	3/4	1	1	1/4		1/4	1.0		3	81	A5	5	47
27/2	0.5	5	5	3/8	3/8	3/4	2	1	1/8		1/8	1.0		4	64	E4	4	52
14	0.5	5	5	1/2	1/2	3/4	2	1	1/8		1/8	1.0		5	59	B3	3	53
14	1.0	5	5	1/2	1/2	3/4	1	1	1/4		1/4	1.0		8	80	G#5	5	48
29/2	0.5	5	5	5/8	5/8	3/4	2	1	1/8		1/8	1.0		4	64	E4	4	54
15	0.5	6	6	0	0	3/4	2	1	1/8		1/8	1.0		7	61	C#4	4	58
15	0.5	6	6	0	0	3/4	1	1	1/8		1/8	1.0		10	70	A#4	4	55
31/2	0.5	6	6	1/8	1/8	3/4	2	1	1/8		1/8	1.0		4	64	E4	4	59
31/2	0.5	6	6	1/8	1/8	3/4	1	1	1/8		1/8	1.0		7	73	C#5	5	56
16	0.5	6	6	1/4	1/4	3/4	2	1	1/8		1/8	1.0		5	59	B3	3	60
16	2.0	6	6	1/4	1/4	3/4	1	1	1/2		1/2	1.0		6	78	F#5	5	57
33/2	0.5	6	6	3/8	3/8	3/4	2	1	1/8		1/8	1.0		4	64	E4	4	61
17	0.5	6	6	1/2	1/2	3/4	2	1	1/8		1/8	1.0		10	58	A#3	3	62
35/2	0.5	6	6	5/8	5/8	3/4	2	1	1/8		1/8	1.0		4	64	E4	4	63
18	0.5	7	7	0	0	3/4	2	1	1/8		1/8	1.0		5	59	B3	3	73
18	0.5	7	7	0	0	3/4	1	1	1/8		1/8	1.0		6	66	F#4	4	64
37/2	0.5	7	7	1/8	1/8	3/4	2	1	1/8		1/8	1.0		9	63	D#4	4	74
37/2	0.25	7	7	1/8	1/8	3/4	1	1	1/16		1/16	1.0		8	68	G#4	4	65
75/4	0.25	7	7	3/16	3/16	3/4	1	1	1/16		1/16	1.0		10	70	A#4	4	66
19	0.5	7	7	1/4	1/4	3/4	2	1	1/8		1/8	1.0		9	51	D#3	3	75
19	0.5	7	7	1/4	1/4	3/4	1	1	1/8		1/8	1.0		5	71	B4	4	67
39/2	0.5	7	7	3/8	3/8	3/4	2	1	1/8		1/8	1.0		5	59	B3	3	76
39/2	0.25	7	7	3/8	3/8	3/4	1	1	1/16		1/16	1.0		7	73	C#5	5	68
79/4	0.25	7	7	7/16	7/16	3/4	1	1	1/16		1/16	1.0		9	75	D#5	5	69
20	0.5	7	7	1/2	1/2	3/4	2	1	1/8		1/8	1.0		6	54	F#3	3	77
20	0.5	7	7	1/2	1/2	3/4	1	1	1/8		1/8	1.0		4	76	E5	5	70
41/2	0.5	7	7	5/8	5/8	3/4	2	1	1/8		1/8	1.0		10	58	A#3	3	78
41/2	0.25	7	7	5/8	5/8	3/4	1	1	1/16		1/16	1.0		9	75	D#5	5	71
83/4	0.25	7	7	11/16	11/16	3/4	1	1	1/16		1/16	1.0		7	73	C#5	5	72
21	0.5	8	8	0	0	3/4	2	1	1/8		1/8	1.0		5	59	B3	3	84
21	0.25	8	8	0	0	3/4	1	1	1/16		1/16	1.0		6	78	F#5	5	79
85/4	0.25	8	8	1/16	1/16	3/4	1	1	1/16		1/16	1.0		4	76	E5	5	80
43/2	0.5	8	8	1/8	1/8	3/4	2	1	1/8		1/8	1.0		6	54	F#3	3	85
43/2	0.25	8	8	1/8	1/8	3/4	1	1	1/16		1/16	1.0		9	75	D#5	5	81
87/4	0.25	8	8	3/16	3/16	3/4	1	1	1/16		1/16	1.0		7	73	C#5	5	82
