mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	0.5		0	3/4	2/2	1	1	1/8	1/8	1		5	71	B4	4	0
1	0	1/2	1/2	0.5		1/8	7/8	2/2	1	1	1/8	1/8	1		2	74	D5	5	1
2	1	1	1	1.5		0	0	2/2	1	1	3/8	1/4	3/2		1	79	G5	5	2
2	1	3/2	3/2	0.5		1/8	1/8	2/2	2	1	1/8	1/8	1		2	62	D4	4	7
2	1	2	2	0.5		1/4	1/4	2/2	2	1	1/8	1/8	1		5	59	B3	3	8
2	1	5/2	5/2	0.5		3/8	3/8	2/2	2	1	1/8	1/8	1		1	55	G3	3	9
2	1	5/2	5/2	0.5		3/8	3/8	2/2	1	1	1/8	1/8	1		3	81	A5	5	3
2	1	3	3	0.5		1/2	1/2	2/2	2	1	1/8	1/8	1		6	54	F#3	3	10
2	1	3	3	1.5		1/2	1/2	2/2	1	1	3/8	1/4	3/2		3	81	A5	5	4
2	1	7/2	7/2	0.5		5/8	5/8	2/2	2	1	1/8	1/8	1		0	60	C4	4	11
2	1	4	4	0.5		3/4	3/4	2/2	2	1	1/8	1/8	1		3	57	A3	3	12
2	1	9/2	9/2	0.5		7/8	7/8	2/2	2	1	1/8	1/8	1		6	54	F#3	3	13
2	1	9/2	9/2	0.25		7/8	7/8	2/2	1	1	1/16	1/16	1		1	79	G5	5	5
2	1	19/4	19/4	0.25		15/16	15/16	2/2	1	1	1/16	1/16	1		3	81	A5	5	6
3	2	5	5	0.5		0	0	2/2	2	1	1/8	1/8	1		1	55	G3	3	20
3	2	5	5	1.0		0	0	2/2	1	1	1/4	1/4	1		5	83	B5	5	14
3	2	11/2	11/2	0.5		1/8	1/8	2/2	2	1	1/8	1/8	1		5	59	B3	3	21
3	2	6	6	0.5		1/4	1/4	2/2	2	1	1/8	1/8	1		1	55	G3	3	22
3	2	6	6	0.5		1/4	1/4	2/2	1	1	1/8	1/8	1		3	81	A5	5	15
3	2	13/2	13/2	0.5		3/8	3/8	2/2	2	1	1/8	1/8	1		2	50	D3	3	23
3	2	13/2	13/2	0.5		3/8	3/8	2/2	1	1	1/8	1/8	1		5	83	B5	5	16
3	2	7	7	0.5		1/2	1/2	2/2	2	1	1/8	1/8	1		5	47	B2	2	24
3	2	7	7	1.0		1/2	1/2	2/2	1	1	1/4	1/4	1		1	79	G5	5	17
3	2	15/2	15/2	0.5		5/8	5/8	2/2	2	1	1/8	1/8	1		2	50	D3	3	25
3	2	8	8	0.5		3/4	3/4	2/2	2	1	1/8	1/8	1		5	47	B2	2	26
3	2	8	8	0.5		3/4	3/4	2/2	1	1	1/8	1/8	1		2	74	D5	5	18
3	2	17/2	17/2	0.5		7/8	7/8	2/2	2	1	1/8	1/8	1		1	43	G2	2	27
3	2	17/2	17/2	0.5		7/8	7/8	2/2	1	1	1/8	1/8	1		5	71	B4	4	19
4	3	9	9	0.5		0	0	2/2	2	1	1/8	1/8	1		0	48	C3	3	34
4	3	9	9	1.0		0	0	2/2	1	1	1/4	1/4	1		4	76	E5	5	28
4	3	19/2	19/2	0.5		1/8	1/8	2/2	2	1	1/8	1/8	1		1	43	G2	2	35
4	3	10	10	0.5		1/4	1/4	2/2	2	1	1/8	1/8	1		4	52	E3	3	36
4	3	10	10	0.5		1/4	1/4	2/2	1	1	1/8	1/8	1		0	72	C5	5	29
4	3	21/2	21/2	0.5		3/8	3/8	2/2	2	1	1/8	1/8	1		0	48	C3	3	37
4	3	21/2	21/2	0.5		3/8	3/8	2/2	1	1	1/8	1/8	1		3	69	A4	4	30
4	3	11	11	0.5		1/2	1/2	2/2	2	1	1/8	1/8	1		2	50	D3	3	38
4	3	11	11	1.0		1/2	1/2	2/2	1	1	1/4	1/4	1		6	66	F#4	4	31
4	3	23/2	23/2	0.5		5/8	5/8	2/2	2	1	1/8	1/8	1		3	45	A2	2	39
4	3	12	12	0.5		3/4	3/4	2/2	2	1	1/8	1/8	1		6	54	F#3	3	40
4	3	12	12	0.5		3/4	3/4	2/2	1	1	1/8	1/8	1		2	74	D5	5	32
4	3	25/2	25/2	0.5		7/8	7/8	2/2	2	1	1/8	1/8	1		2	50	D3	3	41
4	3	25/2	25/2	0.5		7/8	7/8	2/2	1	1	1/8	1/8	1		3	69	A4	4	33
5	4	13	13	1.0		0	0	2/2	2	1	1/4	1/4	1		1	55	G3	3	50
5	4	13	13	0.5		0	0	2/2	1	1	1/8	1/8	1		0	72	C5	5	42
5	4	27/2	27/2	0.5		1/8	1/8	2/2	1	1	1/8	1/8	1		5	71	B4	4	43
5	4	14	14	1.0		1/4	1/4	2/2	2	1	1/4	1/4	1		2	50	D3	3	51
5	4	14	14	0.5		1/4	1/4	2/2	1	1	1/8	1/8	1		3	69	A4	4	44
5	4	29/2	29/2	0.5		3/8	3/8	2/2	1	1	1/8	1/8	1		5	71	B4	4	45
5	4	15	15	1.0		1/2	1/2	2/2	2	1	1/4	1/4	1		5	47	B2	2	52
5	4	15	15	0.5		1/2	1/2	2/2	1	1	1/8	1/8	1		1	67	G4	4	46
5	4	31/2	31/2	0.5		5/8	5/8	2/2	1	1	1/8	1/8	1		3	69	A4	4	47
5	4	16	16	1.0		3/4	3/4	2/2	2	1	1/4	1/4	1		2	50	D3	3	53
5	4	16	16	0.5		3/4	3/4	2/2	1	1	1/8	1/8	1		5	71	B4	4	48
5	4	33/2	33/2	0.5		7/8	7/8	2/2	1	1	1/8	1/8	1		2	74	D5	5	49
6	5	17	17	0.5		0	0	2/2	2	1	1/8	1/8	1		1	43	G2	2	59
6	5	17	17	1.5		0	0	2/2	1	1	3/8	1/4	3/2		1	79	G5	5	54
6	5	35/2	35/2	0.5		1/8	1/8	2/2	2	1	1/8	1/8	1		2	62	D4	4	60
6	5	18	18	0.5		1/4	1/4	2/2	2	1	1/8	1/8	1		5	59	B3	3	61
6	5	37/2	37/2	0.5		3/8	3/8	2/2	2	1	1/8	1/8	1		1	55	G3	3	62
6	5	37/2	37/2	0.5		3/8	3/8	2/2	1	1	1/8	1/8	1		3	81	A5	5	55
6	5	19	19	0.5		1/2	1/2	2/2	2	1	1/8	1/8	1		6	54	F#3	3	63
6	5	19	19	1.5		1/2	1/2	2/2	1	1	3/8	1/4	3/2		3	81	A5	5	56
6	5	39/2	39/2	0.5		5/8	5/8	2/2	2	1	1/8	1/8	1		0	60	C4	4	64
6	5	20	20	0.5		3/4	3/4	2/2	2	1	1/8	1/8	1		3	57	A3	3	65
6	5	41/2	41/2	0.5		7/8	7/8	2/2	2	1	1/8	1/8	1		6	54	F#3	3	66
6	5	41/2	41/2	0.25		7/8	7/8	2/2	1	1	1/16	1/16	1		1	79	G5	5	57
6	5	83/4	83/4	0.25		15/16	15/16	2/2	1	1	1/16	1/16	1		3	81	A5	5	58
7	6	21	21	0.5		0	0	2/2	2	1	1/8	1/8	1		1	55	G3	3	73
7	6	21	21	1.0		0	0	2/2	1	1	1/4	1/4	1		5	83	B5	5	67
7	6	43/2	43/2	0.5		1/8	1/8	2/2	2	1	1/8	1/8	1		5	59	B3	3	74
7	6	22	22	0.5		1/4	1/4	2/2	2	1	1/8	1/8	1		1	55	G3	3	75
7	6	22	22	0.5		1/4	1/4	2/2	1	1	1/8	1/8	1		3	81	A5	5	68
7	6	45/2	45/2	0.5		3/8	3/8	2/2	2	1	1/8	1/8	1		2	50	D3	3	76
7	6	45/2	45/2	0.5		3/8	3/8	2/2	1	1	1/8	1/8	1		5	83	B5	5	69
7	6	23	23	0.5		1/2	1/2	2/2	2	1	1/8	1/8	1		5	47	B2	2	77
7	6	23	23	1.0		1/2	1/2	2/2	1	1	1/4	1/4	1		1	79	G5	5	70
7	6	47/2	47/2	0.5		5/8	5/8	2/2	2	1	1/8	1/8	1		1	55	G3	3	78
7	6	24	24	0.5		3/4	3/4	2/2	2	1	1/8	1/8	1		2	50	D3	3	79
7	6	24	24	0.5		3/4	3/4	2/2	1	1	1/8	1/8	1		3	81	A5	5	71
7	6	49/2	49/2	0.5		7/8	7/8	2/2	2	1	1/8	1/8	1		5	47	B2	2	80
7	6	49/2	49/2	0.5		7/8	7/8	2/2	1	1	1/8	1/8	1		0	84	C6	6	72
8	7	25	25	0.5		0	0	2/2	2	1	1/8	1/8	1		1	43	G2	2	87
8	7	25	25	1.0		0	0	2/2	1	1	1/4	1/4	1		5	83	B5	5	81
8	7	51/2	51/2	0.5		1/8	1/8	2/2	2	1	1/8	1/8	1		5	47	B2	2	88
8	7	26	26	0.5		1/4	1/4	2/2	2	1	1/8	1/8	1		7	49	C#3	3	89
8	7	26	26	0.5		1/4	1/4	2/2	1	1	1/8	1/8	1		4	76	E5	5	82
8	7	53/2	53/2	0.5		3/8	3/8	2/2	2	1	1/8	1/8	1		4	52	E3	3	90
8	7	53/2	53/2	0.5		3/8	3/8	2/2	1	1	1/8	1/8	1		1	79	G5	5	83
8	7	27	27	0.5		1/2	1/2	2/2	2	1	1/8	1/8	1		6	42	F#2	2	91
8	7	27	27	1.0		1/2	1/2	2/2	1	1	1/4	1/4	1		3	81	A5	5	84
8	7	55/2	55/2	0.5		5/8	5/8	2/2	2	1	1/8	1/8	1		3	45	A2	2	92
8	7	28	28	1.0		3/4	3/4	2/2	2	1	1/4	1/4	1		2	50	D3	3	93
8	7	28	28	0.5		3/4	3/4	2/2	1	1	1/8	1/8	1		5	71	B4	4	85
8	7	57/2	57/2	0.5		7/8	7/8	2/2	1	1	1/8	1/8	1		2	74	D5	5	86
9	8	29	29	0.5		0	0	2/2	2	1	1/8	1/8	1		4	40	E2	2	100
9	8	29	29	1.0		0	0	2/2	1	1	1/4	1/4	1		1	79	G5	5	94
9	8	59/2	59/2	0.5		1/8	1/8	2/2	2	1	1/8	1/8	1		1	43	G2	2	101
9	8	30	30	0.5		1/4	1/4	2/2	2	1	1/8	1/8	1		3	45	A2	2	102
9	8	30	30	0.5		1/4	1/4	2/2	1	1	1/8	1/8	1		7	73	C#5	5	95
9	8	61/2	61/2	0.5		3/8	3/8	2/2	2	1	1/8	1/8	1		7	49	C#3	3	103
9	8	61/2	61/2	0.5		3/8	3/8	2/2	1	1	1/8	1/8	1		4	76	E5	5	96
9	8	31	31	0.5		1/2	1/2	2/2	2	1	1/8	1/8	1		2	50	D3	3	104
9	8	31	31	1.0		1/2	1/2	2/2	1	1	1/4	1/4	1		6	78	F#5	5	97
9	8	63/2	63/2	0.5		5/8	5/8	2/2	2	1	1/8	1/8	1		4	52	E3	3	105
9	8	32	32	0.5		3/4	3/4	2/2	2	1	1/8	1/8	1		6	54	F#3	3	106
9	8	32	32	0.5		3/4	3/4	2/2	1	1	1/8	1/8	1		2	74	D5	5	98
9	8	65/2	65/2	0.5		7/8	7/8	2/2	2	1	1/8	1/8	1		2	50	D3	3	107
9	8	65/2	65/2	0.5		7/8	7/8	2/2	1	1	1/8	1/8	1		6	78	F#5	5	99
10	9	33	33	0.5		0	0	2/2	2	1	1/8	1/8	1		1	55	G3	3	114
10	9	33	33	1.0		0	0	2/2	1	1	1/4	1/4	1		5	83	B5	5	108
10	9	67/2	67/2	0.5		1/8	1/8	2/2	2	1	1/8	1/8	1		4	52	E3	3	115
10	9	34	34	0.5		1/4	1/4	2/2	2	1	1/8	1/8	1		6	54	F#3	3	116
10	9	34	34	1.0		1/4	1/4	2/2	1	1	1/4	1/4	1		3	81	A5	5	109
10	9	69/2	69/2	0.5		3/8	3/8	2/2	2	1	1/8	1/8	1		2	50	D3	3	117
10	9	35	35	1.0		1/2	1/2	2/2	2	1	1/4	1/4	1		3	57	A3	3	118
10	9	35	35	0.5		1/2	1/2	2/2	1	1	1/8	1/8	1		1	79	G5	5	110
10	9	71/2	71/2	0.5		5/8	5/8	2/2	1	1	1/8	1/8	1		6	78	F#5	5	111
10	9	36	36	1.0		3/4	3/4	2/2	2	1	1/4	1/4	1		3	45	A2	2	119
10	9	36	36	0.5		3/4	3/4	2/2	1	1	1/8	1/8	1		1	79	G5	5	112
10	9	73/2	73/2	0.5		7/8	7/8	2/2	1	1	1/8	1/8	1		4	76	E5	5	113
11	10	37	37	0.5		0	0	2/2	2	1	1/8	1/8	1		2	50	D3	3	121
11	10	37	37	3.0		0	0	2/2	1	1	3/4	1/2	3/2		2	74	D5	5	120
11	10	75/2	75/2	0.5		1/8	1/8	2/2	2	1	1/8	1/8	1		3	45	A2	2	122
11	10	38	38	0.5		1/4	1/4	2/2	2	1	1/8	1/8	1		6	42	F#2	2	123
11	10	77/2	77/2	0.5		3/8	3/8	2/2	2	1	1/8	1/8	1		3	45	A2	2	124
11	10	39	39	1.0		1/2	1/2	2/2	2	1	1/4	1/4	1		2	38	D2	2	125
12	10	40	40	0.5		0	3/4	2/2	1	1	1/8	1/8	1		3	81	A5	5	126
12	10	81/2	81/2	0.5		1/8	7/8	2/2	1	1	1/8	1/8	1		6	78	F#5	5	127
13	11	41	41	1.5		0	0	2/2	1	1	3/8	1/4	3/2		2	74	D5	5	128
13	11	83/2	83/2	0.5		1/8	1/8	2/2	2	1	1/8	1/8	1		2	62	D4	4	134
13	11	42	42	0.5		1/4	1/4	2/2	2	1	1/8	1/8	1		3	57	A3	3	135
13	11	85/2	85/2	0.5		3/8	3/8	2/2	2	1	1/8	1/8	1		6	54	F#3	3	136
13	11	85/2	85/2	0.25		3/8	3/8	2/2	1	1	1/16	1/16	1		4	76	E5	5	129
13	11	171/4	171/4	0.25		7/16	7/16	2/2	1	1	1/16	1/16	1		6	78	F#5	5	130
13	11	43	43	0.5		1/2	1/2	2/2	2	1	1/8	1/8	1		2	50	D3	3	137
13	11	43	43	1.5		1/2	1/2	2/2	1	1	3/8	1/4	3/2		6	78	F#5	5	131
13	11	87/2	87/2	0.5		5/8	5/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	138
13	11	44	44	0.5		3/4	3/4	2/2	2	1	1/8	1/8	1		6	54	F#3	3	139
13	11	89/2	89/2	0.5		7/8	7/8	2/2	2	1	1/8	1/8	1		2	50	D3	3	140
13	11	89/2	89/2	0.25		7/8	7/8	2/2	1	1	1/16	1/16	1		4	76	E5	5	132
13	11	179/4	179/4	0.25		15/16	15/16	2/2	1	1	1/16	1/16	1		6	78	F#5	5	133
14	12	45	45	0.5		0	0	2/2	2	1	1/8	1/8	1		5	47	B2	2	144
14	12	45	45	3.0		0	0	2/2	1	1	3/4	1/2	3/2		1	79	G5	5	141
14	12	91/2	91/2	0.5		1/8	1/8	2/2	2	1	1/8	1/8	1		5	59	B3	3	145
14	12	46	46	0.5		1/4	1/4	2/2	2	1	1/8	1/8	1		1	55	G3	3	146
14	12	93/2	93/2	0.5		3/8	3/8	2/2	2	1	1/8	1/8	1		2	50	D3	3	147
14	12	47	47	0.5		1/2	1/2	2/2	2	1	1/8	1/8	1		5	47	B2	2	148
14	12	95/2	95/2	0.5		5/8	5/8	2/2	2	1	1/8	1/8	1		2	50	D3	3	149
14	12	48	48	0.5		3/4	3/4	2/2	2	1	1/8	1/8	1		5	47	B2	2	150
14	12	48	48	0.5		3/4	3/4	2/2	1	1	1/8	1/8	1		2	74	D5	5	142
14	12	97/2	97/2	0.5		7/8	7/8	2/2	2	1	1/8	1/8	1		1	43	G2	2	151
14	12	97/2	97/2	0.5		7/8	7/8	2/2	1	1	1/8	1/8	1		1	79	G5	5	143
15	13	49	49	0.5		0	0	2/2	2	1	1/8	1/8	1		3	45	A2	2	158
15	13	49	49	1.0		0	0	2/2	1	1	1/4	1/4	1		0	84	C6	6	152
15	13	99/2	99/2	0.5		1/8	1/8	2/2	2	1	1/8	1/8	1		0	48	C3	3	159
15	13	50	50	0.5		1/4	1/4	2/2	2	1	1/8	1/8	1		3	45	A2	2	160
15	13	50	50	0.5		1/4	1/4	2/2	1	1	1/8	1/8	1		9	75	D#5	5	153
15	13	101/2	101/2	0.5		3/8	3/8	2/2	2	1	1/8	1/8	1		6	42	F#2	2	161
15	13	101/2	101/2	0.5		3/8	3/8	2/2	1	1	1/8	1/8	1		6	78	F#5	5	154
15	13	51	51	0.5		1/2	1/2	2/2	2	1	1/8	1/8	1		1	43	G2	2	162
15	13	51	51	1.0		1/2	1/2	2/2	1	1	1/4	1/4	1		5	83	B5	5	155
15	13	103/2	103/2	0.5		5/8	5/8	2/2	2	1	1/8	1/8	1		5	47	B2	2	163
15	13	52	52	0.5		3/4	3/4	2/2	2	1	1/8	1/8	1		1	43	G2	2	164
15	13	52	52	0.5		3/4	3/4	2/2	1	1	1/8	1/8	1		4	76	E5	5	156
15	13	105/2	105/2	0.5		7/8	7/8	2/2	2	1	1/8	1/8	1		4	40	E2	2	165
15	13	105/2	105/2	0.5		7/8	7/8	2/2	1	1	1/8	1/8	1		1	79	G5	5	157
16	14	53	53	1.0		0	0	2/2	2	1	1/4	1/4	1		5	47	B2	2	173
16	14	53	53	0.5		0	0	2/2	1	1	1/8	1/8	1		6	78	F#5	5	166
16	14	107/2	107/2	0.5		1/8	1/8	2/2	1	1	1/8	1/8	1		4	76	E5	5	167
16	14	54	54	1.0		1/4	1/4	2/2	2	1	1/4	1/4	1		7	49	C#3	3	174
16	14	54	54	0.5		1/4	1/4	2/2	1	1	1/8	1/8	1		9	75	D#5	5	168
16	14	109/2	109/2	0.5		3/8	3/8	2/2	1	1	1/8	1/8	1		7	73	C#5	5	169
16	14	55	55	0.5		1/2	1/2	2/2	2	1	1/8	1/8	1		9	51	D#3	3	175
16	14	55	55	1.0		1/2	1/2	2/2	1	1	1/4	1/4	1		5	71	B4	4	170
16	14	111/2	111/2	0.5		5/8	5/8	2/2	2	1	1/8	1/8	1		6	54	F#3	3	176
16	14	56	56	0.5		3/4	3/4	2/2	2	1	1/8	1/8	1		5	59	B3	3	177
16	14	56	56	0.5		3/4	3/4	2/2	1	1	1/8	1/8	1		3	81	A5	5	171
16	14	113/2	113/2	0.5		7/8	7/8	2/2	2	1	1/8	1/8	1		6	54	F#3	3	178
