mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	1.0		0	0	3/4	2	1	1/4	1/4	1		-1	53	F3	3	5
1	1	0	0.5		0	0	3/4	1	1	1/8	1/8	1		-1	65	F4	4	0
1	1	1/2	0.5		1/8	1/8	3/4	1	1	1/8	1/8	1		1	67	G4	4	1
1	1	1	0.5		1/4	1/4	3/4	2	1	1/8	1/8	1		4	52	E3	3	6
1	1	1	1.5		1/4	1/4	3/4	1	1	3/8	1/4	3/2		1	67	G4	4	2
1	1	3/2	0.5		3/8	3/8	3/4	2	1	1/8	1/8	1		2	50	D3	3	7
1	1	2	0.5		1/2	1/2	3/4	2	1	1/8	1/8	1		4	52	E3	3	8
1	1	5/2	0.5		5/8	5/8	3/4	2	1	1/8	1/8	1		0	48	C3	3	9
1	1	5/2	0.25		5/8	5/8	3/4	1	1	1/16	1/16	1		-1	65	F4	4	3
1	1	11/4	0.25		11/16	11/16	3/4	1	1	1/16	1/16	1		1	67	G4	4	4
2	2	3	1.0		0	0	3/4	2	1	1/4	1/4	1		-1	53	F3	3	14
2	2	3	0.5		0	0	3/4	1	1	1/8	1/8	1		3	69	A4	4	10
2	2	7/2	0.5		1/8	1/8	3/4	1	1	1/8	1/8	1		-2	70	Bb4	4	11
2	2	4	0.5		1/4	1/4	3/4	2	1	1/8	1/8	1		-1	41	F2	2	15
2	2	4	1.0		1/4	1/4	3/4	1	1	1/4	1/4	1		0	72	C5	5	12
2	2	9/2	0.5		3/8	3/8	3/4	2	1	1/8	1/8	1		1	43	G2	2	16
2	2	5	0.5		1/2	1/2	3/4	2	1	1/8	1/8	1		3	45	A2	2	17
2	2	5	1.0		1/2	1/2	3/4	1	1	1/4	1/4	1		-1	77	F5	5	13
2	2	11/2	0.5		5/8	5/8	3/4	2	1	1/8	1/8	1		-2	46	Bb2	2	18
3	3	6	0.5		0	0	3/4	2	1	1/8	1/8	1		0	48	C3	3	23
3	3	6	0.5		0	0	3/4	1	1	1/8	1/8	1		3	69	A4	4	19
3	3	13/2	0.5		1/8	1/8	3/4	2	1	1/8	1/8	1		2	50	D3	3	24
3	3	13/2	0.5		1/8	1/8	3/4	1	1	1/8	1/8	1		-2	70	Bb4	4	20
3	3	7	0.5		1/4	1/4	3/4	2	1	1/8	1/8	1		4	52	E3	3	25
3	3	7	1.0		1/4	1/4	3/4	1	1	1/4	1/4	1		0	72	C5	5	21
3	3	15/2	0.5		3/8	3/8	3/4	2	1	1/8	1/8	1		1	55	G3	3	26
3	3	8	0.5		1/2	1/2	3/4	2	1	1/8	1/8	1		6	54	F#3	3	27
3	3	8	1.0		1/2	1/2	3/4	1	1	1/4	1/4	1		2	74	D5	5	22
3	3	17/2	0.5		5/8	5/8	3/4	2	1	1/8	1/8	1		3	57	A3	3	28
4	4	9	0.5		0	0	3/4	2	1	1/8	1/8	1		1	55	G3	3	30
4	4	9	3.0		0	0	3/4	1	1	3/4	1/2	3/2		-2	70	Bb4	4	29
4	4	19/2	0.5		1/8	1/8	3/4	2	1	1/8	1/8	1		3	57	A3	3	31
4	4	10	0.5		1/4	1/4	3/4	2	1	1/8	1/8	1		-2	58	Bb3	3	32
4	4	21/2	0.5		3/8	3/8	3/4	2	1	1/8	1/8	1		3	57	A3	3	33
4	4	11	0.5		1/2	1/2	3/4	2	1	1/8	1/8	1		1	55	G3	3	34
4	4	23/2	0.5		5/8	5/8	3/4	2	1	1/8	1/8	1		-1	53	F3	3	35
5	5	12	0.5		0	0	3/4	2	1	1/8	1/8	1		4	52	E3	3	41
5	5	12	0.5		0	0	3/4	1	1	1/8	1/8	1		1	67	G4	4	36
5	5	25/2	0.5		1/8	1/8	3/4	2	1	1/8	1/8	1		2	50	D3	3	42
5	5	25/2	0.5		1/8	1/8	3/4	1	1	1/8	1/8	1		3	69	A4	4	37
5	5	13	0.5		1/4	1/4	3/4	2	1	1/8	1/8	1		0	48	C3	3	43
5	5	13	1.5		1/4	1/4	3/4	1	1	3/8	1/4	3/2		3	69	A4	4	38
5	5	27/2	0.5		3/8	3/8	3/4	2	1	1/8	1/8	1		2	50	D3	3	44
5	5	14	0.5		1/2	1/2	3/4	2	1	1/8	1/8	1		4	52	E3	3	45
5	5	29/2	0.5		5/8	5/8	3/4	2	1	1/8	1/8	1		-1	53	F3	3	46
5	5	29/2	0.25		5/8	5/8	3/4	1	1	1/16	1/16	1		1	67	G4	4	39
5	5	59/4	0.25		11/16	11/16	3/4	1	1	1/16	1/16	1		3	69	A4	4	40
6	6	15	1.0		0	0	3/4	2	1	1/4	1/4	1		1	55	G3	3	51
6	6	15	0.5		0	0	3/4	1	1	1/8	1/8	1		-2	70	Bb4	4	47
6	6	31/2	0.5		1/8	1/8	3/4	1	1	1/8	1/8	1		0	72	C5	5	48
6	6	16	0.5		1/4	1/4	3/4	2	1	1/8	1/8	1		1	43	G2	2	52
6	6	16	1.0		1/4	1/4	3/4	1	1	1/4	1/4	1		2	74	D5	5	49
6	6	33/2	0.5		3/8	3/8	3/4	2	1	1/8	1/8	1		3	45	A2	2	53
