quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	0.5	1	0	0	3/4	2/2	2	1	1/8	1/8	1		4	52	E3	3	2
0	0.5	1	0	0	3/4	2/2	1	1	1/8	1/8	1		0	60	C4	4	0
1/2	0.5	1	0	1/8	7/8	2/2	2	1	1/8	1/8	1		2	50	D3	3	3
1/2	0.5	1	0	1/8	7/8	2/2	1	1	1/8	1/8	1		2	62	D4	4	1
1	0.5	2	1	0	0	2/2	2	1	1/8	1/8	1		0	48	C3	3	8
1	1.0	2	1	0	0	2/2	1	1	1/4	1/4	1		4	64	E4	4	4
3/2	0.5	2	1	1/8	1/8	2/2	2	1	1/8	1/8	1		5	47	B2	2	9
2	0.5	2	1	1/4	1/4	2/2	2	1	1/8	1/8	1		3	45	A2	2	10
2	1.0	2	1	1/4	1/4	2/2	1	1	1/4	1/4	1		-1	65	F4	4	5
5/2	0.5	2	1	3/8	3/8	2/2	2	1	1/8	1/8	1		5	47	B2	2	11
3	0.5	2	1	1/2	1/2	2/2	2	1	1/8	1/8	1		0	48	C3	3	12
3	1.0	2	1	1/2	1/2	2/2	1	1	1/4	1/4	1		4	64	E4	4	6
7/2	0.5	2	1	5/8	5/8	2/2	2	1	1/8	1/8	1		5	47	B2	2	13
4	0.5	2	1	3/4	3/4	2/2	2	1	1/8	1/8	1		3	45	A2	2	14
4	1.0	2	1	3/4	3/4	2/2	1	1	1/4	1/4	1		2	62	D4	4	7
9/2	0.5	2	1	7/8	7/8	2/2	2	1	1/8	1/8	1		5	47	B2	2	15
5	0.5	3	2	0	0	2/2	2	1	1/8	1/8	1		0	48	C3	3	19
5	1.0	3	2	0	0	2/2	1	1	1/4	1/4	1		4	64	E4	4	16
11/2	0.5	3	2	1/8	1/8	2/2	2	1	1/8	1/8	1		5	47	B2	2	20
6	0.5	3	2	1/4	1/4	2/2	2	1	1/8	1/8	1		3	45	A2	2	21
6	2.0	3	2	1/4	1/4	2/2	1	1	1/2	1/2	1		3	57	A3	3	17
13/2	0.5	3	2	3/8	3/8	2/2	2	1	1/8	1/8	1		5	47	B2	2	22
7	0.5	3	2	1/2	1/2	2/2	2	1	1/8	1/8	1		0	48	C3	3	23
15/2	0.5	3	2	5/8	5/8	2/2	2	1	1/8	1/8	1		2	50	D3	3	24
8	0.5	3	2	3/4	3/4	2/2	2	1	1/8	1/8	1		4	52	E3	3	25
8	1.0	3	2	3/4	3/4	2/2	1	1	1/4	1/4	1		8	56	G#3	3	18
17/2	0.5	3	2	7/8	7/8	2/2	2	1	1/8	1/8	1		2	50	D3	3	26
9	0.5	4	3	0	0	2/2	2	1	1/8	1/8	1		0	48	C3	3	31
9	1.0	4	3	0	0	2/2	1	1	1/4	1/4	1		3	57	A3	3	27
19/2	0.5	4	3	1/8	1/8	2/2	2	1	1/8	1/8	1		5	47	B2	2	32
10	0.5	4	3	1/4	1/4	2/2	2	1	1/8	1/8	1		3	45	A2	2	33
10	1.0	4	3	1/4	1/4	2/2	1	1	1/4	1/4	1		-1	65	F4	4	28
21/2	0.5	4	3	3/8	3/8	2/2	2	1	1/8	1/8	1		5	47	B2	2	34
11	0.5	4	3	1/2	1/2	2/2	2	1	1/8	1/8	1		0	48	C3	3	35
11	1.0	4	3	1/2	1/2	2/2	1	1	1/4	1/4	1		4	64	E4	4	29
23/2	0.5	4	3	5/8	5/8	2/2	2	1	1/8	1/8	1		5	47	B2	2	36
12	0.5	4	3	3/4	3/4	2/2	2	1	1/8	1/8	1		3	45	A2	2	37
12	1.0	4	3	3/4	3/4	2/2	1	1	1/4	1/4	1		2	62	D4	4	30
25/2	0.5	4	3	7/8	7/8	2/2	2	1	1/8	1/8	1		5	47	B2	2	38
13	0.5	5	4	0	0	2/2	2	1	1/8	1/8	1		0	48	C3	3	42
13	1.0	5	4	0	0	2/2	1	1	1/4	1/4	1		4	64	E4	4	39
27/2	0.5	5	4	1/8	1/8	2/2	2	1	1/8	1/8	1		5	47	B2	2	43
14	0.5	5	4	1/4	1/4	2/2	2	1	1/8	1/8	1		3	45	A2	2	44
14	2.0	5	4	1/4	1/4	2/2	1	1	1/2	1/2	1		3	57	A3	3	40
29/2	0.5	5	4	3/8	3/8	2/2	2	1	1/8	1/8	1		5	47	B2	2	45
15	0.5	5	4	1/2	1/2	2/2	2	1	1/8	1/8	1		0	48	C3	3	46
31/2	0.5	5	4	5/8	5/8	2/2	2	1	1/8	1/8	1		2	50	D3	3	47
16	0.5	5	4	3/4	3/4	2/2	2	1	1/8	1/8	1		4	52	E3	3	48
16	1.0	5	4	3/4	3/4	2/2	1	1	1/4	1/4	1		8	56	G#3	3	41
33/2	0.5	5	4	7/8	7/8	2/2	2	1	1/8	1/8	1		2	50	D3	3	49
17	0.5	6	5	0	0	2/2	2	1	1/8	1/8	1		0	48	C3	3	54
17	1.0	6	5	0	0	2/2	1	1	1/4	1/4	1		3	57	A3	3	50
35/2	0.5	6	5	1/8	1/8	2/2	2	1	1/8	1/8	1		5	47	B2	2	55
18	0.5	6	5	1/4	1/4	2/2	2	1	1/8	1/8	1		3	45	A2	2	56
18	1.0	6	5	1/4	1/4	2/2	1	1	1/4	1/4	1		-1	65	F4	4	51
37/2	0.5	6	5	3/8	3/8	2/2	2	1	1/8	1/8	1		5	47	B2	2	57
19	0.5	6	5	1/2	1/2	2/2	2	1	1/8	1/8	1		0	48	C3	3	58
19	1.0	6	5	1/2	1/2	2/2	1	1	1/4	1/4	1		4	64	E4	4	52
39/2	0.5	6	5	5/8	5/8	2/2	2	1	1/8	1/8	1		5	47	B2	2	59
20	0.5	6	5	3/4	3/4	2/2	2	1	1/8	1/8	1		3	45	A2	2	60
20	1.0	6	5	3/4	3/4	2/2	1	1	1/4	1/4	1		2	62	D4	4	53
41/2	0.5	6	5	7/8	7/8	2/2	2	1	1/8	1/8	1		5	47	B2	2	61
21	0.5	7	6	0	0	2/2	2	1	1/8	1/8	1		0	48	C3	3	67
21	1.0	7	6	0	0	2/2	1	1	1/4	1/4	1		3	69	A4	4	62
43/2	0.5	7	6	1/8	1/8	2/2	2	1	1/8	1/8	1		5	47	B2	2	68
22	0.5	7	6	1/4	1/4	2/2	2	1	1/8	1/8	1		3	45	A2	2	69
22	0.5	7	6	1/4	1/4	2/2	1	1	1/8	1/8	1		1	67	G4	4	63
45/2	0.5	7	6	3/8	3/8	2/2	2	1	1/8	1/8	1		5	47	B2	2	70
45/2	0.5	7	6	3/8	3/8	2/2	1	1	1/8	1/8	1		-1	65	F4	4	64
23	0.5	7	6	1/2	1/2	2/2	2	1	1/8	1/8	1		0	48	C3	3	71
23	1.0	7	6	1/2	1/2	2/2	1	1	1/4	1/4	1		4	64	E4	4	65
47/2	0.5	7	6	5/8	5/8	2/2	2	1	1/8	1/8	1		2	50	D3	3	72
24	0.5	7	6	3/4	3/4	2/2	2	1	1/8	1/8	1		4	52	E3	3	73
24	1.0	7	6	3/4	3/4	2/2	1	1	1/4	1/4	1		2	62	D4	4	66
49/2	0.5	7	6	7/8	7/8	2/2	2	1	1/8	1/8	1		-1	53	F3	3	74
25	0.5	8	7	0	0	2/2	2	1	1/8	1/8	1		4	52	E3	3	82
25	1.0	8	7	0	0	2/2	1	1	1/4	1/4	1		0	60	C4	4	75
51/2	0.5	8	7	1/8	1/8	2/2	2	1	1/8	1/8	1		2	50	D3	3	83
26	0.5	8	7	1/4	1/4	2/2	2	1	1/8	1/8	1		0	48	C3	3	84
26	0.5	8	7	1/4	1/4	2/2	1	1	1/8	1/8	1		5	59	B3	3	76
53/2	0.5	8	7	3/8	3/8	2/2	2	1	1/8	1/8	1		5	47	B2	2	85
53/2	0.5	8	7	3/8	3/8	2/2	1	1	1/8	1/8	1		0	60	C4	4	77
27	0.5	8	7	1/2	1/2	2/2	2	1	1/8	1/8	1		3	45	A2	2	86
27	0.5	8	7	1/2	1/2	2/2	1	1	1/8	1/8	1		2	62	D4	4	78
55/2	0.5	8	7	5/8	5/8	2/2	2	1	1/8	1/8	1		8	44	G#2	2	87
55/2	0.5	8	7	5/8	5/8	2/2	1	1	1/8	1/8	1		5	59	B3	3	79
28	1.0	8	7	3/4	3/4	2/2	2	1	1/4	1/4	1		3	45	A2	2	88
28	0.5	8	7	3/4	3/4	2/2	1	1	1/8	1/8	1		0	60	C4	4	80
57/2	0.5	8	7	7/8	7/8	2/2	1	1	1/8	1/8	1		3	57	A3	3	81
29	3.0	9	8	0	0	2/2	2	1	3/4	1/2	3/2		4	40	E2	2	97
29	0.5	9	8	0	0	2/2	1	1	1/8	1/8	1		5	59	B3	3	89
59/2	0.5	9	8	1/8	1/8	2/2	1	1	1/8	1/8	1		3	57	A3	3	90
30	0.5	9	8	1/4	1/4	2/2	1	1	1/8	1/8	1		8	56	G#3	3	91
61/2	0.5	9	8	3/8	3/8	2/2	1	1	1/8	1/8	1		3	57	A3	3	92
31	0.5	9	8	1/2	1/2	2/2	1	1	1/8	1/8	1		5	59	B3	3	93
63/2	0.5	9	8	5/8	5/8	2/2	1	1	1/8	1/8	1		0	60	C4	4	94
32	0.5	9	8	3/4	3/4	2/2	2	1	1/8	1/8	1		4	52	E3	3	98
32	0.5	9	8	3/4	3/4	2/2	1	1	1/8	1/8	1		2	62	D4	4	95
65/2	0.5	9	8	7/8	7/8	2/2	2	1	1/8	1/8	1		-1	53	F3	3	99
65/2	0.5	9	8	7/8	7/8	2/2	1	1	1/8	1/8	1		5	59	B3	3	96
33	1.0	10	9	0	0	2/2	2	1	1/4	1/4	1		4	52	E3	3	108
33	0.5	10	9	0	0	2/2	1	1	1/8	1/8	1		0	60	C4	4	100
67/2	0.5	10	9	1/8	1/8	2/2	1	1	1/8	1/8	1		2	62	D4	4	101
34	1.0	10	9	1/4	1/4	2/2	2	1	1/4	1/4	1		2	50	D3	3	109
34	0.5	10	9	1/4	1/4	2/2	1	1	1/8	1/8	1		4	64	E4	4	102
69/2	0.5	10	9	3/8	3/8	2/2	1	1	1/8	1/8	1		-1	65	F4	4	103
35	1.0	10	9	1/2	1/2	2/2	2	1	1/4	1/4	1		0	48	C3	3	110
35	0.5	10	9	1/2	1/2	2/2	1	1	1/8	1/8	1		4	64	E4	4	104
71/2	0.5	10	9	5/8	5/8	2/2	1	1	1/8	1/8	1		2	62	D4	4	105
36	1.0	10	9	3/4	3/4	2/2	2	1	1/4	1/4	1		5	47	B2	2	111
36	0.5	10	9	3/4	3/4	2/2	1	1	1/8	1/8	1		0	60	C4	4	106
73/2	0.5	10	9	7/8	7/8	2/2	1	1	1/8	1/8	1		2	62	D4	4	107
37	1.0	11	10	0	0	2/2	2	1	1/4	1/4	1		0	48	C3	3	120
37	0.5	11	10	0	0	2/2	1	1	1/8	1/8	1		4	64	E4	4	112
75/2	0.5	11	10	1/8	1/8	2/2	1	1	1/8	1/8	1		2	62	D4	4	113
38	0.5	11	10	1/4	1/4	2/2	2	1	1/8	1/8	1		3	45	A2	2	121
38	0.5	11	10	1/4	1/4	2/2	1	1	1/8	1/8	1		0	60	C4	4	114
77/2	0.5	11	10	3/8	3/8	2/2	2	1	1/8	1/8	1		5	47	B2	2	122
77/2	0.5	11	10	3/8	3/8	2/2	1	1	1/8	1/8	1		5	59	B3	3	115
39	0.5	11	10	1/2	1/2	2/2	2	1	1/8	1/8	1		0	48	C3	3	123
39	0.5	11	10	1/2	1/2	2/2	1	1	1/8	1/8	1		3	57	A3	3	116
79/2	0.5	11	10	5/8	5/8	2/2	2	1	1/8	1/8	1		2	50	D3	3	124
79/2	0.5	11	10	5/8	5/8	2/2	1	1	1/8	1/8	1		5	59	B3	3	117
40	0.5	11	10	3/4	3/4	2/2	2	1	1/8	1/8	1		4	52	E3	3	125
40	0.5	11	10	3/4	3/4	2/2	1	1	1/8	1/8	1		0	60	C4	4	118
81/2	0.5	11	10	7/8	7/8	2/2	2	1	1/8	1/8	1		-1	53	F3	3	126
81/2	0.5	11	10	7/8	7/8	2/2	1	1	1/8	1/8	1		2	62	D4	4	119
41	1.0	12	11	0	0	2/2	2	1	1/4	1/4	1		1	55	G3	3	135
41	0.5	12	11	0	0	2/2	1	1	1/8	1/8	1		4	64	E4	4	127
83/2	0.5	12	11	1/8	1/8	2/2	1	1	1/8	1/8	1		-1	65	F4	4	128
42	1.0	12	11	1/4	1/4	2/2	2	1	1/4	1/4	1		-1	53	F3	3	136
42	0.5	12	11	1/4	1/4	2/2	1	1	1/8	1/8	1		1	67	G4	4	129
85/2	0.5	12	11	3/8	3/8	2/2	1	1	1/8	1/8	1		3	69	A4	4	130
43	1.0	12	11	1/2	1/2	2/2	2	1	1/4	1/4	1		4	52	E3	3	137
43	0.5	12	11	1/2	1/2	2/2	1	1	1/8	1/8	1		1	67	G4	4	131
87/2	0.5	12	11	5/8	5/8	2/2	1	1	1/8	1/8	1		-1	65	F4	4	132
44	1.0	12	11	3/4	3/4	2/2	2	1	1/4	1/4	1		2	50	D3	3	138
44	0.5	12	11	3/4	3/4	2/2	1	1	1/8	1/8	1		4	64	E4	4	133
89/2	0.5	12	11	7/8	7/8	2/2	1	1	1/8	1/8	1		-1	65	F4	4	134
45	1.0	13	12	0	0	2/2	2	1	1/4	1/4	1		4	52	E3	3	147
45	0.5	13	12	0	0	2/2	1	1	1/8	1/8	1		1	67	G4	4	139
91/2	0.5	13	12	1/8	1/8	2/2	1	1	1/8	1/8	1		-1	65	F4	4	140
46	0.5	13	12	1/4	1/4	2/2	2	1	1/8	1/8	1		0	48	C3	3	148
46	0.5	13	12	1/4	1/4	2/2	1	1	1/8	1/8	1		4	64	E4	4	141
93/2	0.5	13	12	3/8	3/8	2/2	2	1	1/8	1/8	1		2	50	D3	3	149
93/2	0.5	13	12	3/8	3/8	2/2	1	1	1/8	1/8	1		2	62	D4	4	142
47	0.5	13	12	1/2	1/2	2/2	2	1	1/8	1/8	1		4	52	E3	3	150
47	0.5	13	12	1/2	1/2	2/2	1	1	1/8	1/8	1		0	60	C4	4	143
95/2	0.5	13	12	5/8	5/8	2/2	2	1	1/8	1/8	1		6	54	F#3	3	151
95/2	0.5	13	12	5/8	5/8	2/2	1	1	1/8	1/8	1		2	62	D4	4	144
48	0.5	13	12	3/4	3/4	2/2	2	1	1/8	1/8	1		1	55	G3	3	152
48	0.5	13	12	3/4	3/4	2/2	1	1	1/8	1/8	1		4	64	E4	4	145
97/2	0.5	13	12	7/8	7/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	153
97/2	0.5	13	12	7/8	7/8	2/2	1	1	1/8	1/8	1		6	66	F#4	4	146
