quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1/2	0.5	1	1	1/8	1/8	3/8	1	1	1/8	1/8	1		2	74	D5	5	0
1	0.5	1	1	1/4	1/4	3/8	1	1	1/8	1/8	1		2	74	D5	5	1
3/2	0.5	2	2	0	0	3/8	1	1	1/8	1/8	1		-2	70	Bb4	4	2
2	0.5	2	2	1/8	1/8	3/8	1	2	1/8	1/8	1		1	67	G4	4	5
2	0.5	2	2	1/8	1/8	3/8	1	1	1/8	1/8	1		-2	70	Bb4	4	3
5/2	0.5	2	2	1/4	1/4	3/8	1	2	1/8	1/8	1		1	67	G4	4	6
5/2	0.5	2	2	1/4	1/4	3/8	1	1	1/8	1/8	1		-2	70	Bb4	4	4
3	0.5	3	3	0	0	3/8	1	2	1/8	1/8	1		6	66	F#4	4	13
3	0.25	3	3	0	0	3/8	1	1	1/16	1/16	1		3	69	A4	4	7
13/4	0.25	3	3	1/16	1/16	3/8	1	1	1/16	1/16	1		1	67	G4	4	8
7/2	0.5	3	3	1/8	1/8	3/8	2	1	1/8	1/8	1		2	62	D4	4	16
7/2	0.5	3	3	1/8	1/8	3/8	1	2	1/8	1/8	1		6	66	F#4	4	14
7/2	0.25	3	3	1/8	1/8	3/8	1	1	1/16	1/16	1		3	69	A4	4	9
15/4	0.25	3	3	3/16	3/16	3/8	1	1	1/16	1/16	1		-2	70	Bb4	4	10
4	0.5	3	3	1/4	1/4	3/8	2	1	1/8	1/8	1		2	62	D4	4	17
4	0.5	3	3	1/4	1/4	3/8	1	2	1/8	1/8	1		6	66	F#4	4	15
4	0.25	3	3	1/4	1/4	3/8	1	1	1/16	1/16	1		3	69	A4	4	11
17/4	0.25	3	3	5/16	5/16	3/8	1	1	1/16	1/16	1		-2	70	Bb4	4	12
9/2	0.5	4	4	0	0	3/8	2	1	1/8	1/8	1		-2	58	Bb3	3	24
9/2	0.5	4	4	0	0	3/8	2	1	1/8	1/8	1		2	62	D4	4	24
9/2	0.25	4	4	0	0	3/8	1	1	1/16	1/16	1		1	67	G4	4	18
19/4	0.25	4	4	1/16	1/16	3/8	1	1	1/16	1/16	1		6	66	F#4	4	19
5	0.5	4	4	1/8	1/8	3/8	2	2	1/8	1/8	1		1	55	G3	3	27
5	0.5	4	4	1/8	1/8	3/8	2	1	1/8	1/8	1		-2	58	Bb3	3	25
5	0.5	4	4	1/8	1/8	3/8	2	1	1/8	1/8	1		2	62	D4	4	25
5	0.25	4	4	1/8	1/8	3/8	1	1	1/16	1/16	1		1	67	G4	4	20
21/4	0.25	4	4	3/16	3/16	3/8	1	1	1/16	1/16	1		3	69	A4	4	21
11/2	0.5	4	4	1/4	1/4	3/8	2	2	1/8	1/8	1		1	55	G3	3	28
11/2	0.5	4	4	1/4	1/4	3/8	2	1	1/8	1/8	1		-2	58	Bb3	3	26
11/2	0.5	4	4	1/4	1/4	3/8	2	1	1/8	1/8	1		2	62	D4	4	26
11/2	0.25	4	4	1/4	1/4	3/8	1	1	1/16	1/16	1		-2	70	Bb4	4	22
23/4	0.25	4	4	5/16	5/16	3/8	1	1	1/16	1/16	1		0	72	C5	5	23
6	0.5	5	5	0	0	3/8	2	2	1/8	1/8	1		6	54	F#3	3	38
6	0.5	5	5	0	0	3/8	2	1	1/8	1/8	1		3	57	A3	3	35
6	0.5	5	5	0	0	3/8	2	1	1/8	1/8	1		2	62	D4	4	35
6	0.25	5	5	0	0	3/8	1	1	1/16	1/16	1		2	74	D5	5	29
25/4	0.25	5	5	1/16	1/16	3/8	1	1	1/16	1/16	1		0	72	C5	5	30
13/2	0.5	5	5	1/8	1/8	3/8	2	2	1/8	1/8	1		2	50	D3	3	39
13/2	0.5	5	5	1/8	1/8	3/8	2	1	1/8	1/8	1		6	54	F#3	3	36
13/2	0.5	5	5	1/8	1/8	3/8	2	1	1/8	1/8	1		3	57	A3	3	36
13/2	0.25	5	5	1/8	1/8	3/8	1	1	1/16	1/16	1		2	74	D5	5	31
27/4	0.25	5	5	3/16	3/16	3/8	1	1	1/16	1/16	1		4	76	E5	5	32
7	0.5	5	5	1/4	1/4	3/8	2	2	1/8	1/8	1		2	50	D3	3	40
7	0.5	5	5	1/4	1/4	3/8	2	1	1/8	1/8	1		6	54	F#3	3	37
7	0.5	5	5	1/4	1/4	3/8	2	1	1/8	1/8	1		3	57	A3	3	37
7	0.25	5	5	1/4	1/4	3/8	1	1	1/16	1/16	1		6	78	F#5	5	33
29/4	0.25	5	5	5/16	5/16	3/8	1	1	1/16	1/16	1		2	74	D5	5	34
15/2	0.5	6	6	0	0	3/8	2	2	1/8	1/8	1		-2	46	Bb2	2	50
15/2	0.5	6	6	0	0	3/8	2	1	1/8	1/8	1		2	50	D3	3	47
15/2	0.5	6	6	0	0	3/8	2	1	1/8	1/8	1		1	55	G3	3	47
15/2	0.25	6	6	0	0	3/8	1	1	1/16	1/16	1		1	79	G5	5	41
31/4	0.25	6	6	1/16	1/16	3/8	1	1	1/16	1/16	1		6	78	F#5	5	42
8	0.5	6	6	1/8	1/8	3/8	2	2	1/8	1/8	1		1	43	G2	2	51
8	0.5	6	6	1/8	1/8	3/8	2	1	1/8	1/8	1		-2	46	Bb2	2	48
