quarterbeats	duration_qb	mc	mn	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	0.5	1	0		0	3/4	2/2	2	1	1/8	1/8	1		3	57	A3	3	1
0	1.0	1	0		0	3/4	2/2	1	1	1/4	1/4	1		3	81	A5	5	0
1/2	0.5	1	0		1/8	7/8	2/2	2	1	1/8	1/8	1		5	59	B3	3	2
1	0.5	2	1		0	0	2/2	2	1	1/8	1/8	1		0	60	C4	4	9
1	1.0	2	1		0	0	2/2	1	1	1/4	1/4	1		4	76	E5	5	3
3/2	0.5	2	1		1/8	1/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	10
2	0.5	2	1		1/4	1/4	2/2	2	1	1/8	1/8	1		0	60	C4	4	11
2	0.5	2	1		1/4	1/4	2/2	1	1	1/8	1/8	1		2	74	D5	5	4
5/2	0.5	2	1		3/8	3/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	12
5/2	0.5	2	1		3/8	3/8	2/2	1	1	1/8	1/8	1		4	76	E5	5	5
3	0.5	2	1		1/2	1/2	2/2	2	1	1/8	1/8	1		2	62	D4	4	13
3	1.0	2	1		1/2	1/2	2/2	1	1	1/4	1/4	1		-1	77	F5	5	6
7/2	0.5	2	1		5/8	5/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	14
4	0.5	2	1		3/4	3/4	2/2	2	1	1/8	1/8	1		2	62	D4	4	15
4	0.5	2	1		3/4	3/4	2/2	1	1	1/8	1/8	1		4	76	E5	5	7
9/2	0.5	2	1		7/8	7/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	16
9/2	0.5	2	1		7/8	7/8	2/2	1	1	1/8	1/8	1		2	74	D5	5	8
5	0.5	3	2		0	0	2/2	2	1	1/8	1/8	1		0	60	C4	4	21
5	1.0	3	2		0	0	2/2	1	1	1/4	1/4	1		4	76	E5	5	17
11/2	0.5	3	2		1/8	1/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	22
6	0.5	3	2		1/4	1/4	2/2	2	1	1/8	1/8	1		2	62	D4	4	23
6	1.0	3	2		1/4	1/4	2/2	1	1	1/4	1/4	1		3	69	A4	4	18
13/2	0.5	3	2		3/8	3/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	24
7	0.5	3	2		1/2	1/2	2/2	2	1	1/8	1/8	1		0	60	C4	4	25
7	1.0	3	2		1/2	1/2	2/2	1	1	1/4	1/4	1		3	69	A4	4	19
15/2	0.5	3	2		5/8	5/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	26
8	0.5	3	2		3/4	3/4	2/2	2	1	1/8	1/8	1		5	59	B3	3	27
8	1.0	3	2		3/4	3/4	2/2	1	1	1/4	1/4	1		3	81	A5	5	20
17/2	0.5	3	2		7/8	7/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	28
9	0.5	4	3		0	0	2/2	2	1	1/8	1/8	1		0	60	C4	4	35
9	1.0	4	3		0	0	2/2	1	1	1/4	1/4	1		4	76	E5	5	29
19/2	0.5	4	3		1/8	1/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	36
10	0.5	4	3		1/4	1/4	2/2	2	1	1/8	1/8	1		0	60	C4	4	37
10	0.5	4	3		1/4	1/4	2/2	1	1	1/8	1/8	1		2	74	D5	5	30
21/2	0.5	4	3		3/8	3/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	38
21/2	0.5	4	3		3/8	3/8	2/2	1	1	1/8	1/8	1		4	76	E5	5	31
11	0.5	4	3		1/2	1/2	2/2	2	1	1/8	1/8	1		2	62	D4	4	39
11	1.0	4	3		1/2	1/2	2/2	1	1	1/4	1/4	1		-1	77	F5	5	32
23/2	0.5	4	3		5/8	5/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	40
12	0.5	4	3		3/4	3/4	2/2	2	1	1/8	1/8	1		2	62	D4	4	41
12	0.5	4	3		3/4	3/4	2/2	1	1	1/8	1/8	1		4	76	E5	5	33
25/2	0.5	4	3		7/8	7/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	42
25/2	0.5	4	3		7/8	7/8	2/2	1	1	1/8	1/8	1		2	74	D5	5	34
13	0.5	5	4		0	0	2/2	2	1	1/8	1/8	1		0	60	C4	4	49
13	1.0	5	4		0	0	2/2	1	1	1/4	1/4	1		4	76	E5	5	43
27/2	0.5	5	4		1/8	1/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	50
14	0.5	5	4		1/4	1/4	2/2	2	1	1/8	1/8	1		0	60	C4	4	51
14	0.5	5	4		1/4	1/4	2/2	1	1	1/8	1/8	1		2	74	D5	5	44
29/2	0.5	5	4		3/8	3/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	52
29/2	0.5	5	4		3/8	3/8	2/2	1	1	1/8	1/8	1		0	72	C5	5	45
15	0.5	5	4		1/2	1/2	2/2	2	1	1/8	1/8	1		5	59	B3	3	53
15	1.0	5	4		1/2	1/2	2/2	1	1	1/4	1/4	1		2	74	D5	5	46
31/2	0.5	5	4		5/8	5/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	54
16	0.5	5	4		3/4	3/4	2/2	2	1	1/8	1/8	1		5	59	B3	3	55
16	0.5	5	4		3/4	3/4	2/2	1	1	1/8	1/8	1		0	72	C5	5	47
33/2	0.5	5	4		7/8	7/8	2/2	2	1	1/8	1/8	1		3	57	A3	3	56
33/2	0.5	5	4		7/8	7/8	2/2	1	1	1/8	1/8	1		2	74	D5	5	48
17	0.5	6	5		0	0	2/2	2	1	1/8	1/8	1		8	56	G#3	3	63
17	1.0	6	5		0	0	2/2	1	1	1/4	1/4	1		4	76	E5	5	57
35/2	0.5	6	5		1/8	1/8	2/2	2	1	1/8	1/8	1		5	59	B3	3	64
18	0.5	6	5		1/4	1/4	2/2	2	1	1/8	1/8	1		6	54	F#3	3	65
18	0.5	6	5		1/4	1/4	2/2	1	1	1/8	1/8	1		2	74	D5	5	58
37/2	0.5	6	5		3/8	3/8	2/2	2	1	1/8	1/8	1		5	59	B3	3	66
37/2	0.5	6	5		3/8	3/8	2/2	1	1	1/8	1/8	1		0	72	C5	5	59
19	0.5	6	5		1/2	1/2	2/2	2	1	1/8	1/8	1		8	56	G#3	3	67
19	1.0	6	5		1/2	1/2	2/2	1	1	1/4	1/4	1		2	74	D5	5	60
39/2	0.5	6	5		5/8	5/8	2/2	2	1	1/8	1/8	1		5	59	B3	3	68
20	0.5	6	5		3/4	3/4	2/2	2	1	1/8	1/8	1		4	52	E3	3	69
20	0.5	6	5		3/4	3/4	2/2	1	1	1/8	1/8	1		0	72	C5	5	61
41/2	0.5	6	5		7/8	7/8	2/2	2	1	1/8	1/8	1		8	56	G#3	3	70
41/2	0.5	6	5		7/8	7/8	2/2	1	1	1/8	1/8	1		5	71	B4	4	62
21	0.5	7	6		0	0	2/2	2	1	1/8	1/8	1		3	57	A3	3	77
21	1.0	7	6		0	0	2/2	1	1	1/4	1/4	1		0	72	C5	5	71
43/2	0.5	7	6		1/8	1/8	2/2	2	1	1/8	1/8	1		4	52	E3	3	78
22	0.5	7	6		1/4	1/4	2/2	2	1	1/8	1/8	1		3	57	A3	3	79
22	0.5	7	6		1/4	1/4	2/2	1	1	1/8	1/8	1		5	71	B4	4	72
45/2	0.5	7	6		3/8	3/8	2/2	2	1	1/8	1/8	1		4	52	E3	3	80
45/2	0.5	7	6		3/8	3/8	2/2	1	1	1/8	1/8	1		0	72	C5	5	73
23	0.5	7	6		1/2	1/2	2/2	2	1	1/8	1/8	1		5	59	B3	3	81
23	1.0	7	6		1/2	1/2	2/2	1	1	1/4	1/4	1		2	74	D5	5	74
47/2	0.5	7	6		5/8	5/8	2/2	2	1	1/8	1/8	1		4	52	E3	3	82
24	0.5	7	6		3/4	3/4	2/2	2	1	1/8	1/8	1		5	59	B3	3	83
24	0.5	7	6		3/4	3/4	2/2	1	1	1/8	1/8	1		0	72	C5	5	75
49/2	0.5	7	6		7/8	7/8	2/2	2	1	1/8	1/8	1		4	52	E3	3	84
49/2	0.5	7	6		7/8	7/8	2/2	1	1	1/8	1/8	1		2	74	D5	5	76
25	0.5	8	7		0	0	2/2	2	1	1/8	1/8	1		0	60	C4	4	93
25	0.5	8	7		0	0	2/2	1	1	1/8	1/8	1		4	76	E5	5	85
51/2	0.5	8	7		1/8	1/8	2/2	2	1	1/8	1/8	1		4	52	E3	3	94
51/2	0.5	8	7		1/8	1/8	2/2	1	1	1/8	1/8	1		2	74	D5	5	86
26	0.5	8	7		1/4	1/4	2/2	2	1	1/8	1/8	1		3	57	A3	3	95
26	0.5	8	7		1/4	1/4	2/2	1	1	1/8	1/8	1		0	72	C5	5	87
53/2	0.5	8	7		3/8	3/8	2/2	2	1	1/8	1/8	1		4	52	E3	3	96
53/2	0.5	8	7		3/8	3/8	2/2	1	1	1/8	1/8	1		4	76	E5	5	88
27	0.5	8	7		1/2	1/2	2/2	2	1	1/8	1/8	1		5	59	B3	3	97
27	0.5	8	7		1/2	1/2	2/2	1	1	1/8	1/8	1		2	74	D5	5	89
55/2	0.5	8	7		5/8	5/8	2/2	2	1	1/8	1/8	1		4	52	E3	3	98
55/2	0.5	8	7		5/8	5/8	2/2	1	1	1/8	1/8	1		0	72	C5	5	90
28	0.5	8	7		3/4	3/4	2/2	2	1	1/8	1/8	1		8	56	G#3	3	99
28	0.5	8	7		3/4	3/4	2/2	1	1	1/8	1/8	1		5	71	B4	4	91
57/2	0.5	8	7		7/8	7/8	2/2	2	1	1/8	1/8	1		4	52	E3	3	100
57/2	0.5	8	7		7/8	7/8	2/2	1	1	1/8	1/8	1		0	72	C5	5	92
29	1.0	9	8		0	0	2/2	2	1	1/4	1/4	1		3	57	A3	3	109
29	0.5	9	8		0	0	2/2	1	1	1/8	1/8	1		2	74	D5	5	101
59/2	0.5	9	8		1/8	1/8	2/2	1	1	1/8	1/8	1		0	72	C5	5	102
30	1.0	9	8		1/4	1/4	2/2	2	1	1/4	1/4	1		4	52	E3	3	110
30	0.5	9	8		1/4	1/4	2/2	1	1	1/8	1/8	1		5	71	B4	4	103
61/2	0.5	9	8		3/8	3/8	2/2	1	1	1/8	1/8	1		0	72	C5	5	104
31	1.0	9	8		1/2	1/2	2/2	2	1	1/4	1/4	1		0	48	C3	3	111
31	0.5	9	8		1/2	1/2	2/2	1	1	1/8	1/8	1		3	69	A4	4	105
63/2	0.5	9	8		5/8	5/8	2/2	1	1	1/8	1/8	1		0	72	C5	5	106
32	1.0	9	8		3/4	3/4	2/2	2	1	1/4	1/4	1		4	52	E3	3	112
32	0.5	9	8		3/4	3/4	2/2	1	1	1/8	1/8	1		5	71	B4	4	107
65/2	0.5	9	8		7/8	7/8	2/2	1	1	1/8	1/8	1		2	74	D5	5	108
33	1.0	10	9		0	0	2/2	2	1	1/4	1/4	1		3	45	A2	2	121
33	0.5	10	9		0	0	2/2	1	1	1/8	1/8	1		0	72	C5	5	113
67/2	0.5	10	9		1/8	1/8	2/2	1	1	1/8	1/8	1		5	71	B4	4	114
34	1.0	10	9		1/4	1/4	2/2	2	1	1/4	1/4	1		0	48	C3	3	122
34	0.5	10	9		1/4	1/4	2/2	1	1	1/8	1/8	1		3	69	A4	4	115
69/2	0.5	10	9		3/8	3/8	2/2	1	1	1/8	1/8	1		4	76	E5	5	116
35	1.0	10	9		1/2	1/2	2/2	2	1	1/4	1/4	1		4	52	E3	3	123
