quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	0.5	1	0	0	11/8	3/2	1	1	1/8		1/8	1		3	69	A4	4	0
1/2	1.5	2	1	0	0	3/2	2	1	3/8		1/4	3/2		3	45	A2	2	8
1/2	3.0	2	1	0	0	3/2	1	1	3/4		1/2	3/2		3	69	A4	4	1
1	0.5	2	1	1/8	1/8	3/2	1	2	1/8		1/8	1	1	4	64	E4	4	5
3/2	2.0	2	1	1/4	1/4	3/2	1	3	1/2		1/2	1		7	61	C#4	4	7
3/2	2.0	2	1	1/4	1/4	3/2	1	2	1/2		1/2	1	-1	4	64	E4	4	6
2	0.25	2	1	3/8	3/8	3/2	2	1	1/16		1/16	1		5	47	B2	2	9
9/4	0.25	2	1	7/16	7/16	3/2	2	1	1/16		1/16	1		7	49	C#3	3	10
5/2	0.5	2	1	1/2	1/2	3/2	2	1	1/8		1/8	1		5	47	B2	2	11
3	0.25	2	1	5/8	5/8	3/2	2	1	1/16		1/16	1		7	49	C#3	3	12
13/4	0.25	2	1	11/16	11/16	3/2	2	1	1/16		1/16	1		2	50	D3	3	13
7/2	1.0	2	1	3/4	3/4	3/2	2	1	1/4		1/4	1		7	49	C#3	3	14
7/2	1.0	2	1	3/4	3/4	3/2	1	1	1/4		1/4	1		4	64	E4	4	2
9/2	1.0	2	1	1	1	3/2	2	1	1/4		1/4	1		5	47	B2	2	15
9/2	1.5	2	1	1	1	3/2	1	1	3/8		1/4	3/2		6	66	F#4	4	3
11/2	1.0	2	1	5/4	5/4	3/2	2	1	1/4		1/4	1		3	45	A2	2	16
6	0.5	2	1	11/8	11/8	3/2	1	1	1/8		1/8	1		1	67	G4	4	4
13/2	1.0	3	2	0	0	3/2	2	1	1/4		1/4	1		2	50	D3	3	23
13/2	1.5	3	2	0	0	3/2	1	1	3/8		1/4	3/2		6	66	F#4	4	17
15/2	1.0	3	2	1/4	1/4	3/2	2	1	1/4		1/4	1		7	49	C#3	3	24
8	0.5	3	2	3/8	3/8	3/2	1	1	1/8		1/8	1		3	69	A4	4	18
17/2	1.0	3	2	1/2	1/2	3/2	2	1	1/4		1/4	1		5	47	B2	2	25
17/2	1.5	3	2	1/2	1/2	3/2	1	1	3/8		1/4	3/2		2	74	D5	5	19
19/2	1.0	3	2	3/4	3/4	3/2	2	1	1/4		1/4	1		8	56	G#3	3	26
10	0.5	3	2	7/8	7/8	3/2	1	1	1/8		1/8	1		4	76	E5	5	20
21/2	1.0	3	2	1	1	3/2	2	1	1/4		1/4	1		3	57	A3	3	27
21/2	1.5	3	2	1	1	3/2	1	1	3/8		1/4	3/2		7	73	C#5	5	21
23/2	1.0	3	2	5/4	5/4	3/2	2	1	1/4		1/4	1		3	45	A2	2	28
12	0.5	3	2	11/8	11/8	3/2	1	1	1/8		1/8	1		5	71	B4	4	22
25/2	1.5	4	3	0	0	3/2	2	1	3/8		1/4	3/2		4	52	E3	3	36
25/2	3.0	4	3	0	0	3/2	1	1	3/4		1/2	3/2		5	71	B4	4	29
13	0.5	4	3	1/8	1/8	3/2	1	2	1/8		1/8	1	1	8	68	G#4	4	33
27/2	2.0	4	3	1/4	1/4	3/2	1	3	1/2		1/2	1		4	64	E4	4	35
27/2	2.0	4	3	1/4	1/4	3/2	1	2	1/2		1/2	1	-1	8	68	G#4	4	34
14	0.25	4	3	3/8	3/8	3/2	2	1	1/16		1/16	1		6	54	F#3	3	37
57/4	0.25	4	3	7/16	7/16	3/2	2	1	1/16		1/16	1		8	56	G#3	3	38
29/2	0.5	4	3	1/2	1/2	3/2	2	1	1/8		1/8	1		6	54	F#3	3	39
15	0.25	4	3	5/8	5/8	3/2	2	1	1/16		1/16	1		8	56	G#3	3	40
61/4	0.25	4	3	11/16	11/16	3/2	2	1	1/16		1/16	1		3	57	A3	3	41
31/2	1.0	4	3	3/4	3/4	3/2	2	1	1/4		1/4	1		8	56	G#3	3	42
31/2	1.0	4	3	3/4	3/4	3/2	1	1	1/4		1/4	1		4	76	E5	5	30
33/2	1.0	4	3	1	1	3/2	2	1	1/4		1/4	1		6	54	F#3	3	43
33/2	1.5	4	3	1	1	3/2	1	1	3/8		1/4	3/2		2	74	D5	5	31
35/2	1.0	4	3	5/4	5/4	3/2	2	1	1/4		1/4	1		4	52	E3	3	44
18	0.5	4	3	11/8	11/8	3/2	1	1	1/8		1/8	1		4	76	E5	5	32
37/2	1.0	5	4	0	0	3/2	2	1	1/4		1/4	1		3	57	A3	3	52
37/2	1.5	5	4	0	0	3/2	1	1	3/8		1/4	3/2		7	73	C#5	5	45
39/2	1.0	5	4	1/4	1/4	3/2	2	1	1/4		1/4	1		5	59	B3	3	53
20	0.5	5	4	3/8	3/8	3/2	1	1	1/8		1/8	1		5	71	B4	4	46
41/2	1.0	5	4	1/2	1/2	3/2	2	1	1/4		1/4	1		7	61	C#4	4	54
41/2	0.5	5	4	1/2	1/2	3/2	1	1	1/8		1/8	1		3	69	A4	4	47
21	0.5	5	4	5/8	5/8	3/2	1	1	1/8		1/8	1		7	73	C#5	5	48
43/2	1.0	5	4	3/4	3/4	3/2	2	2	1/4		1/4	1		6	54	F#3	3	58
43/2	1.0	5	4	3/4	3/4	3/2	2	1	1/4		1/4	1		3	57	A3	3	55
43/2	1.0	5	4	3/4	3/4	3/2	1	1	1/4		1/4	1		6	78	F#5	5	49
45/2	1.0	5	4	1	1	3/2	2	2	1/4		1/4	1		8	56	G#3	3	59
45/2	1.0	5	4	1	1	3/2	2	1	1/4		1/4	1		5	59	B3	3	56
45/2	1.5	5	4	1	1	3/2	1	1	3/8		1/4	3/2		4	76	E5	5	50
47/2	1.0	5	4	5/4	5/4	3/2	2	2	1/4		1/4	1		10	58	A#3	3	60
47/2	1.0	5	4	5/4	5/4	3/2	2	1	1/4		1/4	1		7	61	C#4	4	57
24	0.5	5	4	11/8	11/8	3/2	1	1	1/8		1/8	1		6	78	F#5	5	51
49/2	1.0	6	5	0	0	3/2	2	1	1/4		1/4	1		5	59	B3	3	71
49/2	1.0	6	5	0	0	3/2	2	2	1/4		1/4	1		5	59	B3	3	77
49/2	1.5	6	5	0	0	3/2	1	1	3/8		1/4	3/2		9	75	D#5	5	61
