quarterbeats	duration_qb	mc	mn	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	0.5	1	0		0	3/4	2/2	1	1	1/8	1/8	1		5	71	B4	4	0
1/2	0.5	1	0		1/8	7/8	2/2	1	1	1/8	1/8	1		2	74	D5	5	1
1	1.5	2	1		0	0	2/2	1	1	3/8	1/4	3/2		1	79	G5	5	2
3/2	0.5	2	1		1/8	1/8	2/2	2	1	1/8	1/8	1		2	62	D4	4	7
2	0.5	2	1		1/4	1/4	2/2	2	1	1/8	1/8	1		5	59	B3	3	8
5/2	0.5	2	1		3/8	3/8	2/2	2	1	1/8	1/8	1		1	55	G3	3	9
5/2	0.5	2	1		3/8	3/8	2/2	1	1	1/8	1/8	1		3	81	A5	5	3
3	0.5	2	1		1/2	1/2	2/2	2	1	1/8	1/8	1		6	54	F#3	3	10
3	1.5	2	1		1/2	1/2	2/2	1	1	3/8	1/4	3/2		3	81	A5	5	4
7/2	0.5	2	1		5/8	5/8	2/2	2	1	1/8	1/8	1		0	60	C4	4	11
4	0.5	2	1		3/4	3/4	2/2	2	1	1/8	1/8	1		3	57	A3	3	12
9/2	0.5	2	1		7/8	7/8	2/2	2	1	1/8	1/8	1		6	54	F#3	3	13
9/2	0.25	2	1		7/8	7/8	2/2	1	1	1/16	1/16	1		1	79	G5	5	5
19/4	0.25	2	1		15/16	15/16	2/2	1	1	1/16	1/16	1		3	81	A5	5	6
5	0.5	3	2		0	0	2/2	2	1	1/8	1/8	1		1	55	G3	3	20
5	1.0	3	2		0	0	2/2	1	1	1/4	1/4	1		5	83	B5	5	14
11/2	0.5	3	2		1/8	1/8	2/2	2	1	1/8	1/8	1		5	59	B3	3	21
6	0.5	3	2		1/4	1/4	2/2	2	1	1/8	1/8	1		1	55	G3	3	22
6	0.5	3	2		1/4	1/4	2/2	1	1	1/8	1/8	1		3	81	A5	5	15
13/2	0.5	3	2		3/8	3/8	2/2	2	1	1/8	1/8	1		2	50	D3	3	23
13/2	0.5	3	2		3/8	3/8	2/2	1	1	1/8	1/8	1		5	83	B5	5	16
7	0.5	3	2		1/2	1/2	2/2	2	1	1/8	1/8	1		5	47	B2	2	24
7	1.0	3	2		1/2	1/2	2/2	1	1	1/4	1/4	1		1	79	G5	5	17
15/2	0.5	3	2		5/8	5/8	2/2	2	1	1/8	1/8	1		2	50	D3	3	25
8	0.5	3	2		3/4	3/4	2/2	2	1	1/8	1/8	1		5	47	B2	2	26
8	0.5	3	2		3/4	3/4	2/2	1	1	1/8	1/8	1		2	74	D5	5	18
17/2	0.5	3	2		7/8	7/8	2/2	2	1	1/8	1/8	1		1	43	G2	2	27
17/2	0.5	3	2		7/8	7/8	2/2	1	1	1/8	1/8	1		5	71	B4	4	19
9	0.5	4	3		0	0	2/2	2	1	1/8	1/8	1		0	48	C3	3	34
9	1.0	4	3		0	0	2/2	1	1	1/4	1/4	1		4	76	E5	5	28
19/2	0.5	4	3		1/8	1/8	2/2	2	1	1/8	1/8	1		1	43	G2	2	35
10	0.5	4	3		1/4	1/4	2/2	2	1	1/8	1/8	1		4	52	E3	3	36
10	0.5	4	3		1/4	1/4	2/2	1	1	1/8	1/8	1		0	72	C5	5	29
21/2	0.5	4	3		3/8	3/8	2/2	2	1	1/8	1/8	1		0	48	C3	3	37
21/2	0.5	4	3		3/8	3/8	2/2	1	1	1/8	1/8	1		3	69	A4	4	30
11	0.5	4	3		1/2	1/2	2/2	2	1	1/8	1/8	1		2	50	D3	3	38
11	1.0	4	3		1/2	1/2	2/2	1	1	1/4	1/4	1		6	66	F#4	4	31
23/2	0.5	4	3		5/8	5/8	2/2	2	1	1/8	1/8	1		3	45	A2	2	39
12	0.5	4	3		3/4	3/4	2/2	2	1	1/8	1/8	1		6	54	F#3	3	40
12	0.5	4	3		3/4	3/4	2/2	1	1	1/8	1/8	1		2	74	D5	5	32
25/2	0.5	4	3		7/8	7/8	2/2	2	1	1/8	1/8	1		2	50	D3	3	41
25/2	0.5	4	3		7/8	7/8	2/2	1	1	1/8	1/8	1		3	69	A4	4	33
13	1.0	5	4		0	0	2/2	2	1	1/4	1/4	1		1	55	G3	3	50
13	0.5	5	4		0	0	2/2	1	1	1/8	1/8	1		0	72	C5	5	42
27/2	0.5	5	4		1/8	1/8	2/2	1	1	1/8	1/8	1		5	71	B4	4	43
14	1.0	5	4		1/4	1/4	2/2	2	1	1/4	1/4	1		2	50	D3	3	51
14	0.5	5	4		1/4	1/4	2/2	1	1	1/8	1/8	1		3	69	A4	4	44
29/2	0.5	5	4		3/8	3/8	2/2	1	1	1/8	1/8	1		5	71	B4	4	45
15	1.0	5	4		1/2	1/2	2/2	2	1	1/4	1/4	1		5	47	B2	2	52
15	0.5	5	4		1/2	1/2	2/2	1	1	1/8	1/8	1		1	67	G4	4	46
31/2	0.5	5	4		5/8	5/8	2/2	1	1	1/8	1/8	1		3	69	A4	4	47
16	1.0	5	4		3/4	3/4	2/2	2	1	1/4	1/4	1		2	50	D3	3	53
16	0.5	5	4		3/4	3/4	2/2	1	1	1/8	1/8	1		5	71	B4	4	48
33/2	0.5	5	4		7/8	7/8	2/2	1	1	1/8	1/8	1		2	74	D5	5	49
17	0.5	6	5		0	0	2/2	2	1	1/8	1/8	1		1	43	G2	2	59
17	1.5	6	5		0	0	2/2	1	1	3/8	1/4	3/2		1	79	G5	5	54
35/2	0.5	6	5		1/8	1/8	2/2	2	1	1/8	1/8	1		2	62	D4	4	60
18	0.5	6	5		1/4	1/4	2/2	2	1	1/8	1/8	1		5	59	B3	3	61
37/2	0.5	6	5		3/8	3/8	2/2	2	1	1/8	1/8	1		1	55	G3	3	62
37/2	0.5	6	5		3/8	3/8	2/2	1	1	1/8	1/8	1		3	81	A5	5	55
19	0.5	6	5		1/2	1/2	2/2	2	1	1/8	1/8	1		6	54	F#3	3	63
19	1.5	6	5		1/2	1/2	2/2	1	1	3/8	1/4	3/2		3	81	A5	5	56
39/2	0.5	6	5		5/8	5/8	2/2	2	1	1/8	1/8	1		0	60	C4	4	64
20	0.5	6	5		3/4	3/4	2/2	2	1	1/8	1/8	1		3	57	A3	3	65
41/2	0.5	6	5		7/8	7/8	2/2	2	1	1/8	1/8	1		6	54	F#3	3	66
41/2	0.25	6	5		7/8	7/8	2/2	1	1	1/16	1/16	1		1	79	G5	5	57
83/4	0.25	6	5		15/16	15/16	2/2	1	1	1/16	1/16	1		3	81	A5	5	58
21	0.5	7	6		0	0	2/2	2	1	1/8	1/8	1		1	55	G3	3	73
21	1.0	7	6		0	0	2/2	1	1	1/4	1/4	1		5	83	B5	5	67
43/2	0.5	7	6		1/8	1/8	2/2	2	1	1/8	1/8	1		5	59	B3	3	74
22	0.5	7	6		1/4	1/4	2/2	2	1	1/8	1/8	1		1	55	G3	3	75
22	0.5	7	6		1/4	1/4	2/2	1	1	1/8	1/8	1		3	81	A5	5	68
45/2	0.5	7	6		3/8	3/8	2/2	2	1	1/8	1/8	1		2	50	D3	3	76
45/2	0.5	7	6		3/8	3/8	2/2	1	1	1/8	1/8	1		5	83	B5	5	69
23	0.5	7	6		1/2	1/2	2/2	2	1	1/8	1/8	1		5	47	B2	2	77
23	1.0	7	6		1/2	1/2	2/2	1	1	1/4	1/4	1		1	79	G5	5	70
47/2	0.5	7	6		5/8	5/8	2/2	2	1	1/8	1/8	1		1	55	G3	3	78
24	0.5	7	6		3/4	3/4	2/2	2	1	1/8	1/8	1		2	50	D3	3	79
24	0.5	7	6		3/4	3/4	2/2	1	1	1/8	1/8	1		3	81	A5	5	71
49/2	0.5	7	6		7/8	7/8	2/2	2	1	1/8	1/8	1		5	47	B2	2	80
49/2	0.5	7	6		7/8	7/8	2/2	1	1	1/8	1/8	1		0	84	C6	6	72
25	0.5	8	7		0	0	2/2	2	1	1/8	1/8	1		1	43	G2	2	87
25	1.0	8	7		0	0	2/2	1	1	1/4	1/4	1		5	83	B5	5	81
51/2	0.5	8	7		1/8	1/8	2/2	2	1	1/8	1/8	1		5	47	B2	2	88
