quarterbeats	duration_qb	mc	mn	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	0.5	1	0		0	1/2	2/2	1	1	1/8	1/8	1		-3	75	Eb5	5	0
1/2	0.5	1	0		1/8	5/8	2/2	1	1	1/8	1/8	1		-2	70	Bb4	4	1
1	0.5	1	0		1/4	3/4	2/2	1	1	1/8	1/8	1		0	72	C5	5	2
3/2	0.5	1	0		3/8	7/8	2/2	1	1	1/8	1/8	1		-4	68	Ab4	4	3
2	0.5	2	1		0	0	2/2	2	1	1/8	1/8	1		-3	63	Eb4	4	10
2	1.5	2	1		0	0	2/2	1	1	3/8	1/4	3/2		1	67	G4	4	4
5/2	0.5	2	1		1/8	1/8	2/2	2	1	1/8	1/8	1		-2	58	Bb3	3	11
3	0.5	2	1		1/4	1/4	2/2	2	1	1/8	1/8	1		0	60	C4	4	12
7/2	0.5	2	1		3/8	3/8	2/2	2	1	1/8	1/8	1		-4	56	Ab3	3	13
7/2	0.5	2	1		3/8	3/8	2/2	1	1	1/8	1/8	1		-4	68	Ab4	4	5
4	1.5	2	1		1/2	1/2	2/2	2	1	3/8	1/4	3/2		1	55	G3	3	14
4	0.5	2	1		1/2	1/2	2/2	1	1	1/8	1/8	1		-2	70	Bb4	4	6
9/2	0.5	2	1		5/8	5/8	2/2	1	1	1/8	1/8	1		-1	65	F4	4	7
5	0.5	2	1		3/4	3/4	2/2	1	1	1/8	1/8	1		1	67	G4	4	8
11/2	0.5	2	1		7/8	7/8	2/2	2	1	1/8	1/8	1		-4	56	Ab3	3	15
11/2	0.5	2	1		7/8	7/8	2/2	1	1	1/8	1/8	1		-3	63	Eb4	4	9
6	0.5	3	2		0	0	2/2	2	1	1/8	1/8	1		-2	58	Bb3	3	23
6	1.0	3	2		0	0	2/2	1	1	1/4	1/4	1		2	62	D4	4	16
13/2	0.5	3	2		1/8	1/8	2/2	2	1	1/8	1/8	1		-1	53	F3	3	24
7	0.5	3	2		1/4	1/4	2/2	2	1	1/8	1/8	1		1	55	G3	3	25
7	0.5	3	2		1/4	1/4	2/2	1	1	1/8	1/8	1		0	60	C4	4	17
15/2	0.5	3	2		3/8	3/8	2/2	2	1	1/8	1/8	1		-3	51	Eb3	3	26
15/2	0.5	3	2		3/8	3/8	2/2	1	1	1/8	1/8	1		-2	58	Bb3	3	18
8	1.0	3	2		1/2	1/2	2/2	2	1	1/4	1/4	1		2	50	D3	3	27
8	0.5	3	2		1/2	1/2	2/2	1	1	1/8	1/8	1		-4	68	Ab4	4	19
17/2	0.5	3	2		5/8	5/8	2/2	1	1	1/8	1/8	1		-3	63	Eb4	4	20
9	1.0	3	2		3/4	3/4	2/2	2	1	1/4	1/4	1		-2	46	Bb2	2	28
9	0.5	3	2		3/4	3/4	2/2	1	1	1/8	1/8	1		-1	65	F4	4	21
19/2	0.5	3	2		7/8	7/8	2/2	1	1	1/8	1/8	1		2	62	D4	4	22
10	1.5	4	3		0	0	2/2	2	1	3/8	1/4	3/2		-3	51	Eb3	3	37
10	0.5	4	3		0	0	2/2	1	1	1/8	1/8	1		1	67	G4	4	29
21/2	0.5	4	3		1/8	1/8	2/2	1	1	1/8	1/8	1		2	62	D4	4	30
