quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	1.0	1	1	0	0	3/4	2	1	1/4	1/4	1		4	64	E4	4	12
0	1.0	1	1	0	0	3/4	1	2	1/4	1/4	1		1	67	G4	4	7
0	0.5	1	1	0	0	3/4	1	1	1/8	1/8	1		5	71	B4	4	0
1/2	0.25	1	1	1/8	1/8	3/4	1	1	1/16	1/16	1		3	69	A4	4	1
3/4	0.25	1	1	3/16	3/16	3/4	1	1	1/16	1/16	1		5	71	B4	4	2
1	1.0	1	1	1/4	1/4	3/4	2	1	1/4	1/4	1		4	52	E3	3	13
1	0.5	1	1	1/4	1/4	3/4	1	2	1/8	1/8	1		3	69	A4	4	8
1	0.5	1	1	1/4	1/4	3/4	1	1	1/8	1/8	1		0	72	C5	5	3
3/2	0.5	1	1	3/8	3/8	3/4	1	2	1/8	1/8	1		1	67	G4	4	9
3/2	0.5	1	1	3/8	3/8	3/4	1	1	1/8	1/8	1		5	71	B4	4	4
2	1.0	1	1	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	A3	3	14
2	0.5	1	1	1/2	1/2	3/4	1	2	1/8	1/8	1		6	66	F#4	4	10
2	0.5	1	1	1/2	1/2	3/4	1	1	1/8	1/8	1		3	69	A4	4	5
5/2	0.5	1	1	5/8	5/8	3/4	1	2	1/8	1/8	1		4	64	E4	4	11
5/2	0.5	1	1	5/8	5/8	3/4	1	1	1/8	1/8	1		1	67	G4	4	6
3	0.5	2	2	0	0	3/4	2	1	1/8	1/8	1		5	59	B3	3	24
3	1.0	2	2	0	0	3/4	1	2	1/4	1/4	1		9	63	D#4	4	21
3	0.25	2	2	0	0	3/4	1	1	1/16	1/16	1		6	66	F#4	4	15
13/4	0.25	2	2	1/16	1/16	3/4	1	1	1/16	1/16	1		3	69	A4	4	16
7/2	0.5	2	2	1/8	1/8	3/4	2	1	1/8	1/8	1		5	47	B2	2	25
7/2	0.25	2	2	1/8	1/8	3/4	1	1	1/16	1/16	1		1	67	G4	4	17
15/4	0.25	2	2	3/16	3/16	3/4	1	1	1/16	1/16	1		6	66	F#4	4	18
4	0.5	2	2	1/4	1/4	3/4	2	1	1/8	1/8	1		4	52	E3	3	26
4	1.0	2	2	1/4	1/4	3/4	1	2	1/4	1/4	1		4	64	E4	4	22
4	1.0	2	2	1/4	1/4	3/4	1	1	1/4	1/4	1		1	67	G4	4	19
9/2	0.5	2	2	3/8	3/8	3/4	2	1	1/8	1/8	1		6	54	F#3	3	27
5	0.5	2	2	1/2	1/2	3/4	2	1	1/8	1/8	1		1	55	G3	3	28
5	1.0	2	2	1/2	1/2	3/4	1	2	1/4	1/4	1		5	59	B3	3	23
5	1.0	2	2	1/2	1/2	3/4	1	1	1/4	1/4	1		4	64	E4	4	20
11/2	0.5	2	2	5/8	5/8	3/4	2	1	1/8	1/8	1		3	57	A3	3	29
6	1.0	3	3	0	0	3/4	2	1	1/4	1/4	1		5	59	B3	3	42
6	1.0	3	3	0	0	3/4	1	2	1/4	1/4	1		1	67	G4	4	37
6	0.5	3	3	0	0	3/4	1	1	1/8	1/8	1		2	74	D5	5	30
13/2	0.25	3	3	1/8	1/8	3/4	1	1	1/16	1/16	1		0	72	C5	5	31
27/4	0.25	3	3	3/16	3/16	3/4	1	1	1/16	1/16	1		2	74	D5	5	32
7	1.0	3	3	1/4	1/4	3/4	2	1	1/4	1/4	1		0	60	C4	4	43
7	0.5	3	3	1/4	1/4	3/4	1	2	1/8	1/8	1		1	67	G4	4	38
7	0.5	3	3	1/4	1/4	3/4	1	1	1/8	1/8	1		4	76	E5	5	33
15/2	0.5	3	3	3/8	3/8	3/4	1	2	1/8	1/8	1		5	71	B4	4	39
15/2	0.5	3	3	3/8	3/8	3/4	1	1	1/8	1/8	1		2	74	D5	5	34
8	1.0	3	3	1/2	1/2	3/4	2	1	1/4	1/4	1		0	48	C3	3	44
8	0.5	3	3	1/2	1/2	3/4	1	2	1/8	1/8	1		3	69	A4	4	40
8	0.5	3	3	1/2	1/2	3/4	1	1	1/8	1/8	1		0	72	C5	5	35
17/2	0.5	3	3	5/8	5/8	3/4	1	2	1/8	1/8	1		1	67	G4	4	41
17/2	0.5	3	3	5/8	5/8	3/4	1	1	1/8	1/8	1		5	71	B4	4	36
9	0.5	4	4	0	0	3/4	2	1	1/8	1/8	1		2	50	D3	3	55
9	1.0	4	4	0	0	3/4	1	2	1/4	1/4	1		6	66	F#4	4	52
9	0.25	4	4	0	0	3/4	1	1	1/16	1/16	1		3	69	A4	4	45
37/4	0.25	4	4	1/16	1/16	3/4	1	1	1/16	1/16	1		0	72	C5	5	46
19/2	0.5	4	4	1/8	1/8	3/4	2	1	1/8	1/8	1		2	38	D2	2	56
19/2	0.25	4	4	1/8	1/8	3/4	1	1	1/16	1/16	1		5	71	B4	4	47
39/4	0.25	4	4	3/16	3/16	3/4	1	1	1/16	1/16	1		3	69	A4	4	48
10	1.0	4	4	1/4	1/4	3/4	2	1	1/4	1/4	1		1	43	G2	2	57
10	0.75	4	4	1/4	1/4	3/4	1	1	3/16	1/8	3/2		1	67	G4	4	49
10	1.0	4	4	1/4	1/4	3/4	1	2	1/4	1/4	1		1	67	G4	4	53
43/4	0.25	4	4	7/16	7/16	3/4	1	1	1/16	1/16	1		5	71	B4	4	50
11	1.0	4	4	1/2	1/2	3/4	1	1	1/4	1/4	1	1	4	76	E5	5	51
47/4	0.25	4	4	11/16	11/16	3/4	2	1	1/16	1/16	1		1	55	G3	3	58
47/4	0.25	4	4	11/16	11/16	3/4	1	2	1/16	1/16	1		5	71	B4	4	54
12	0.5	5	5	0	0	3/4	2	1	1/8	1/8	1		6	54	F#3	3	70
12	1.5	5	5	0	0	3/4	1	2	3/8	1/4	3/2		3	69	A4	4	65
12	0.5	5	5	0	0	3/4	1	1	1/8	1/8	1	-1	4	76	E5	5	59
25/2	0.5	5	5	1/8	1/8	3/4	2	1	1/8	1/8	1		1	55	G3	3	71
25/2	0.25	5	5	1/8	1/8	3/4	1	1	1/16	1/16	1		2	74	D5	5	60
51/4	0.25	5	5	3/16	3/16	3/4	1	1	1/16	1/16	1		7	73	C#5	5	61
13	0.5	5	5	1/4	1/4	3/4	2	1	1/8	1/8	1		6	54	F#3	3	72
13	0.5	5	5	1/4	1/4	3/4	1	1	1/8	1/8	1		2	74	D5	5	62
27/2	0.5	5	5	3/8	3/8	3/4	2	1	1/8	1/8	1		4	52	E3	3	73
27/2	0.25	5	5	3/8	3/8	3/4	1	2	1/16	1/16	1		5	71	B4	4	66
27/2	0.5	5	5	3/8	3/8	3/4	1	1	1/8	1/8	1		4	76	E5	5	63
55/4	0.25	5	5	7/16	7/16	3/4	1	2	1/16	1/16	1		7	73	C#5	5	67
14	0.5	5	5	1/2	1/2	3/4	2	1	1/8	1/8	1		2	50	D3	3	74
14	0.5	5	5	1/2	1/2	3/4	1	2	1/8	1/8	1		2	74	D5	5	68
14	1.0	5	5	1/2	1/2	3/4	1	1	1/4	1/4	1	1	6	78	F#5	5	64
29/2	0.25	5	5	5/8	5/8	3/4	2	1	1/16	1/16	1		4	52	E3	3	75
29/2	0.5	5	5	5/8	5/8	3/4	1	2	1/8	1/8	1		7	73	C#5	5	69
59/4	0.25	5	5	11/16	11/16	3/4	2	1	1/16	1/16	1		6	54	F#3	3	76
15	0.5	6	6	0	0	3/4	2	1	1/8	1/8	1		1	55	G3	3	91
15	1.5	6	6	0	0	3/4	1	2	3/8	1/4	3/2		5	71	B4	4	86
15	0.5	6	6	0	0	3/4	1	1	1/8	1/8	1	-1	6	78	F#5	5	77
31/2	0.5	6	6	1/8	1/8	3/4	2	1	1/8	1/8	1		3	57	A3	3	92
31/2	0.25	6	6	1/8	1/8	3/4	1	1	1/16	1/16	1		4	76	E5	5	78
63/4	0.25	6	6	3/16	3/16	3/4	1	1	1/16	1/16	1		9	75	D#5	5	79
16	0.5	6	6	1/4	1/4	3/4	2	1	1/8	1/8	1		1	55	G3	3	93
16	0.5	6	6	1/4	1/4	3/4	1	1	1/8	1/8	1		4	76	E5	5	80
33/2	0.5	6	6	3/8	3/8	3/4	2	1	1/8	1/8	1		6	54	F#3	3	94
33/2	0.25	6	6	3/8	3/8	3/4	1	2	1/16	1/16	1		7	73	C#5	5	87
33/2	0.5	6	6	3/8	3/8	3/4	1	1	1/8	1/8	1		6	78	F#5	5	81
67/4	0.25	6	6	7/16	7/16	3/4	1	2	1/16	1/16	1		9	75	D#5	5	88
17	0.5	6	6	1/2	1/2	3/4	2	1	1/8	1/8	1		4	52	E3	3	95
17	0.5	6	6	1/2	1/2	3/4	1	2	1/8	1/8	1		4	76	E5	5	89
