quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	0.25	1	1	0	0	12/16	1	1	1/16		1/16	1		2	62	D4	4	0
1/4	0.25	1	1	1/16	1/16	12/16	1	1	1/16		1/16	1		7	61	C#4	4	1
1/2	0.25	1	1	1/8	1/8	12/16	1	1	1/16		1/16	1		2	62	D4	4	2
3/4	0.25	1	1	3/16	3/16	12/16	1	1	1/16		1/16	1		4	64	E4	4	3
1	0.25	1	1	1/4	1/4	12/16	1	1	1/16		1/16	1		7	61	C#4	4	4
5/4	0.25	1	1	5/16	5/16	12/16	1	1	1/16		1/16	1		2	62	D4	4	5
3/2	0.25	1	1	3/8	3/8	12/16	1	1	1/16		1/16	1		-1	65	F4	4	6
7/4	0.25	1	1	7/16	7/16	12/16	1	1	1/16		1/16	1		7	61	C#4	4	7
2	0.25	1	1	1/2	1/2	12/16	1	1	1/16		1/16	1		2	62	D4	4	8
9/4	0.25	1	1	9/16	9/16	12/16	1	1	1/16		1/16	1		1	67	G4	4	9
5/2	0.25	1	1	5/8	5/8	12/16	1	1	1/16		1/16	1		7	61	C#4	4	10
11/4	0.25	1	1	11/16	11/16	12/16	1	1	1/16		1/16	1		2	62	D4	4	11
3	0.25	2	2	0	0	12/16	1	1	1/16		1/16	1		3	69	A4	4	12
13/4	0.25	2	2	1/16	1/16	12/16	1	1	1/16		1/16	1		7	61	C#4	4	13
7/2	0.25	2	2	1/8	1/8	12/16	1	1	1/16		1/16	1		2	62	D4	4	14
15/4	0.25	2	2	3/16	3/16	12/16	1	1	1/16		1/16	1		-2	70	Bb4	4	15
4	0.25	2	2	1/4	1/4	12/16	1	1	1/16		1/16	1		3	69	A4	4	16
17/4	0.25	2	2	5/16	5/16	12/16	1	1	1/16		1/16	1		1	67	G4	4	17
9/2	0.25	2	2	3/8	3/8	12/16	1	1	1/16		1/16	1		-1	65	F4	4	18
19/4	0.25	2	2	7/16	7/16	12/16	1	1	1/16		1/16	1		4	64	E4	4	19
5	0.25	2	2	1/2	1/2	12/16	1	1	1/16		1/16	1		2	62	D4	4	20
21/4	0.25	2	2	9/16	9/16	12/16	1	1	1/16		1/16	1		8	68	G#4	4	21
11/2	0.25	2	2	5/8	5/8	12/16	1	1	1/16		1/16	1		3	69	A4	4	22
23/4	0.25	2	2	11/16	11/16	12/16	1	1	1/16		1/16	1		5	71	B4	4	23
6	0.25	3	3	0	0	12/16	2	1	1/16		1/16	1		3	57	A3	3	28
6	0.5	3	3	0	0	12/16	1	1	1/8		1/8	1		0	72	C5	5	24
25/4	0.25	3	3	1/16	1/16	12/16	2	1	1/16		1/16	1		8	56	G#3	3	29
13/2	0.25	3	3	1/8	1/8	12/16	2	1	1/16		1/16	1		3	57	A3	3	30
27/4	0.25	3	3	3/16	3/16	12/16	2	1	1/16		1/16	1		5	59	B3	3	31
27/4	0.5	3	3	3/16	3/16	12/16	1	1	1/8		1/8	1		8	68	G#4	4	25
7	0.25	3	3	1/4	1/4	12/16	2	1	1/16		1/16	1		8	56	G#3	3	32
29/4	0.25	3	3	5/16	5/16	12/16	2	1	1/16		1/16	1		3	57	A3	3	33
15/2	0.25	3	3	3/8	3/8	12/16	2	1	1/16		1/16	1		0	60	C4	4	34
15/2	0.5	3	3	3/8	3/8	12/16	1	1	1/8		1/8	1		3	69	A4	4	26
31/4	0.25	3	3	7/16	7/16	12/16	2	1	1/16		1/16	1		8	56	G#3	3	35
8	0.25	3	3	1/2	1/2	12/16	2	1	1/16		1/16	1		3	57	A3	3	36
33/4	0.25	3	3	9/16	9/16	12/16	2	1	1/16		1/16	1		2	62	D4	4	37
33/4	0.5	3	3	9/16	9/16	12/16	1	1	1/8		1/8	1		5	71	B4	4	27
