quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1/4	0.25	1	1	1/16	1/16	2/2	1	1	1/16		1/16	1		0	60	C4	4	0
1/2	0.25	1	1	1/8	1/8	2/2	1	1	1/16		1/16	1		2	62	D4	4	1
3/4	0.25	1	1	3/16	3/16	2/2	1	1	1/16		1/16	1		4	64	E4	4	2
1	0.25	1	1	1/4	1/4	2/2	1	1	1/16		1/16	1		-1	65	F4	4	3
5/4	0.25	1	1	5/16	5/16	2/2	1	1	1/16		1/16	1		1	67	G4	4	4
3/2	0.25	1	1	3/8	3/8	2/2	1	1	1/16		1/16	1		3	69	A4	4	5
7/4	0.25	1	1	7/16	7/16	2/2	1	1	1/16		1/16	1		-1	65	F4	4	6
2	0.25	1	1	1/2	1/2	2/2	1	1	1/16		1/16	1		-2	70	Bb4	4	7
9/4	0.25	1	1	9/16	9/16	2/2	1	1	1/16		1/16	1		0	72	C5	5	8
5/2	0.25	1	1	5/8	5/8	2/2	1	1	1/16		1/16	1		-2	70	Bb4	4	9
11/4	0.25	1	1	11/16	11/16	2/2	1	1	1/16		1/16	1		3	69	A4	4	10
3	0.25	1	1	3/4	3/4	2/2	1	1	1/16		1/16	1		1	67	G4	4	11
13/4	0.25	1	1	13/16	13/16	2/2	1	1	1/16		1/16	1		0	72	C5	5	12
7/2	0.25	1	1	7/8	7/8	2/2	1	1	1/16		1/16	1		-2	70	Bb4	4	13
15/4	0.25	1	1	15/16	15/16	2/2	1	1	1/16		1/16	1		0	72	C5	5	14
4	0.5	2	2	0	0	2/2	1	1	1/8		1/8	1		3	69	A4	4	15
17/4	0.25	2	2	1/16	1/16	2/2	2	1	1/16		1/16	1		0	48	C3	3	23
9/2	0.25	2	2	1/8	1/8	2/2	2	1	1/16		1/16	1		2	50	D3	3	24
9/2	0.5	2	2	1/8	1/8	2/2	1	1	1/8		1/8	1		-1	65	F4	4	16
19/4	0.25	2	2	3/16	3/16	2/2	2	1	1/16		1/16	1		4	52	E3	3	25
5	0.25	2	2	1/4	1/4	2/2	2	1	1/16		1/16	1		-1	53	F3	3	26
5	0.75	2	2	1/4	1/4	2/2	1	1	3/16		1/8	3/2		-1	77	F5	5	17
21/4	0.25	2	2	5/16	5/16	2/2	2	1	1/16		1/16	1		1	55	G3	3	27
11/2	0.25	2	2	3/8	3/8	2/2	2	1	1/16		1/16	1		3	57	A3	3	28
