mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	0	0	0	0.0	0	1/4	Tempo	3/8	1	1	0						𝅘𝅥.=75	112.0	𝅘𝅥.	75.0	0.0
1	0	0	0	0.5	0	1/4	Chord	3/8	1	1	1/8	1/8	1	0							
1	0	0	0	0.25	0	1/4	Chord	3/8	1	2	1/16	1/16	1	1							
1	0	1/4	1/4	0.25	1/16	5/16	Chord	3/8	1	2	1/16	1/16	1	2							
1	0	0	0	0.5	0	1/4	Chord	3/8	2	1	1/8	1/8	1	3							
2	1	1/2	1/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	4							
2	1	1	1	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	5							
2	1	5/4	5/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	6							
2	1	3/2	3/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	7							
2	1	7/4	7/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	8							
2	1	1/2	1/2	0.5	0	0	Chord	3/8	1	2	1/8	1/8	1	9							
2	1	1	1	0.5	1/8	1/8	Chord	3/8	1	2	1/8	1/8	1	10							
2	1	3/2	3/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8	1/8	1	11							
2	1	1/2	1/2	1.5	0	0	Chord	3/8	2	1	3/8	1/4	3/2	12							
3	2	2	2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	13							
3	2	9/4	9/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	14							
3	2	5/2	5/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	15							
3	2	3	3	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	16							
3	2	2	2	0.5	0	0	Chord	3/8	1	2	1/8	1/8	1	17							
3	2	5/2	5/2	0.25	1/8	1/8	Chord	3/8	1	2	1/16	1/16	1	18							
3	2	11/4	11/4	0.25	3/16	3/16	Chord	3/8	1	2	1/16	1/16	1	19							
3	2	3	3	0.25	1/4	1/4	Chord	3/8	1	2	1/16	1/16	1	20							
3	2	13/4	13/4	0.25	5/16	5/16	Chord	3/8	1	2	1/16	1/16	1	21							
3	2	2	2	1.5	0	0	Chord	3/8	2	1	3/8	1/4	3/2	22							
4	3	7/2	7/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	23							
4	3	4	4	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	24							
4	3	9/2	9/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	25							
4	3	7/2	7/2	0.5	0	0	Chord	3/8	1	2	1/8	1/8	1	26							
4	3	4	4	0.5	1/8	1/8	Chord	3/8	1	2	1/8	1/8	1	27							
4	3	9/2	9/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8	1/8	1	28							
4	3	7/2	7/2	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	29							
4	3	9/2	9/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	30	ornamentShortTrill						
5	4	5	5	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	31							
5	4	21/4	21/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	32							
5	4	11/2	11/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	33							
5	4	6	6	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	34							
5	4	5	5	0.75	0	0	Chord	3/8	1	2	3/16	1/8	3/2	35							
5	4	23/4	23/4	0.25	3/16	3/16	Chord	3/8	1	2	1/16	1/16	1	36							
5	4	6	6	0.25	1/4	1/4	Chord	3/8	1	2	1/16	1/16	1	37							
5	4	25/4	25/4	0.25	5/16	5/16	Chord	3/8	1	2	1/16	1/16	1	38							
5	4	5	5	1.5	0	0	Chord	3/8	2	1	3/8	1/4	3/2	39							
6	5	13/2	13/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	40							
6	5	7	7	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	41							
6	5	29/4	29/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	42							
6	5	15/2	15/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	43							
6	5	31/4	31/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	44							
6	5	13/2	13/2	0.5	0	0	Chord	3/8	1	2	1/8	1/8	1	45							
6	5	7	7	0.5	1/8	1/8	Chord	3/8	1	2	1/8	1/8	1	46							
6	5	15/2	15/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8	1/8	1	47							
6	5	13/2	13/2	1.5	0	0	Chord	3/8	2	1	3/8	1/4	3/2	48							
7	6	8	8	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	49							
7	6	33/4	33/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	50							
7	6	17/2	17/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	51							
7	6	9	9	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	52							
7	6	8	8	0.5	0	0	Chord	3/8	1	2	1/8	1/8	1	53							
7	6	17/2	17/2	0.25	1/8	1/8	Chord	3/8	1	2	1/16	1/16	1	54							
7	6	35/4	35/4	0.25	3/16	3/16	Chord	3/8	1	2	1/16	1/16	1	55							
7	6	9	9	0.25	1/4	1/4	Chord	3/8	1	2	1/16	1/16	1	56							
7	6	37/4	37/4	0.25	5/16	5/16	Chord	3/8	1	2	1/16	1/16	1	57							
7	6	8	8	1.5	0	0	Chord	3/8	2	1	3/8	1/4	3/2	58							
8	7	19/2	19/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	59							
8	7	10	10	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	60							
8	7	21/2	21/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	61							
8	7	19/2	19/2	0.5	0	0	Chord	3/8	1	2	1/8	1/8	1	62							
8	7	10	10	0.5	1/8	1/8	Chord	3/8	1	2	1/8	1/8	1	63							
8	7	21/2	21/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8	1/8	1	64							
8	7	19/2	19/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	65							
8	7	10	10	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	66							
8	7	21/2	21/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	67							
9	8	11	11	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	68							
9	8	11	11	1.0	0	0	Chord	3/8	1	2	1/4	1/4	1	69							
9	8	11	11	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	70							
9	8	23/2	23/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	71							
10	8	12	12	0.5	0	1/4	Chord	3/8	1	1	1/8	1/8	1	72							
10	8	12	12	0.5	0	1/4	Chord	3/8	1	2	1/8	1/8	1	73							
10	8	12	12	0.5	0	1/4	Chord	3/8	2	1	1/8	1/8	1	74							
11	9	25/2	25/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	75							
11	9	13	13	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	76							
11	9	53/4	53/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	77							
