mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
2	2	3	3	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	21							
2	2	3	3	3.0	0	0	Chord	3/4	2	3	3/4		1/2	3/2	22							
3	3	6	6	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	23							
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	24							
3	3	7	7	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	25							
3	3	8	8	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	26	ornamentShortTrill						
3	3	35/4	35/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	27							
3	3	6	6	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	28							
3	3	7	7	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	29							
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	30							
3	3	7	7	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	31							
3	3	6	6	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	32							
3	3	7	7	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	33							
3	3	6	6	3.0	0	0	Chord	3/4	2	3	3/4		1/2	3/2	34							
4	4	9	9	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	35							
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	36							
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	37							
4	4	9	9	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	38							
4	4	9	9	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	39							
4	4	9	9	3.0	0	0	Chord	3/4	2	3	3/4		1/2	3/2	40							
5	5	12	12	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	41							
5	5	25/2	25/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	42							
5	5	51/4	51/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	43							
5	5	13	13	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	44							
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	45							
5	5	12	12	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	46							
5	5	13	13	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	47							
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	48							
5	5	13	13	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	49							
5	5	12	12	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	50							
5	5	13	13	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	51							
5	5	12	12	3.0	0	0	Chord	3/4	2	3	3/4		1/2	3/2	52							
6	6	15	15	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	53							
6	6	31/2	31/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	54							
6	6	63/4	63/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	55							
6	6	16	16	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	56							
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	57							
6	6	15	15	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	58							
6	6	16	16	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	59							
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	60							
6	6	16	16	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	61							
6	6	15	15	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	62							
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	63							
6	6	16	16	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	64							
6	6	15	15	3.0	0	0	Chord	3/4	2	3	3/4		1/2	3/2	65							
7	7	18	18	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	66							
7	7	73/4	73/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	67							
7	7	37/2	37/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	68							
7	7	75/4	75/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	69							
7	7	19	19	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	70	ornamentShortTrill						
7	7	41/2	41/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	71							
7	7	83/4	83/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	72							
7	7	18	18	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	73							
7	7	19	19	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	74							
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	75							
7	7	19	19	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	76							
7	7	18	18	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	77							
7	7	19	19	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	78							
7	7	18	18	3.0	0	0	Chord	3/4	2	3	3/4		1/2	3/2	79							
8	8	21	21	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	80							
8	8	22	22	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	81							
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	82							
8	8	22	22	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	83							
8	8	22	22	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	84							
8	8	21	21	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	85							
8	8	22	22	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	86							
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	2	3	1/8		1/8	1	87							
8	8	22	22	2.0	1/4	1/4	Chord	3/4	2	3	1/2		1/2	1	88							
9	9	24	24	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	89							
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	90							
9	9	25	25	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	91							
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	92							
9	9	24	24	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	93							
9	9	25	25	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	94							
9	9	25	25	1.5	1/4	1/4	Chord	3/4	1	3	3/8		1/4	3/2	95							
9	9	24	24	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	96							
9	9	24	24	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	97							
9	9	24	24	3.0	0	0	Chord	3/4	2	3	3/4		1/2	3/2	98							
10	10	27	27	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	99							
10	10	109/4	109/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	100							
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	101							
10	10	28	28	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	102							
10	10	27	27	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	103							
10	10	28	28	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	104							
10	10	28	28	2.0	1/4	1/4	Chord	3/4	1	3	1/2		1/2	1	105							
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	106							
10	10	28	28	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	107							
10	10	27	27	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	108							
10	10	28	28	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	109							
10	10	27	27	1.0	0	0	Chord	3/4	2	3	1/4		1/4	1	110							
11	11	30	30	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	111							
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	112							
11	11	31	31	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	113							
11	11	32	32	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	114							
11	11	65/2	65/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	115							
11	11	131/4	131/4	0.125	11/16	11/16	Chord	3/4	1	1	1/32		1/32	1	116							
11	11	263/8	263/8	0.125	23/32	23/32	Chord	3/4	1	1	1/32		1/32	1	117							
11	11	30	30	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	118							
11	11	30	30	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	119							
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	120							
11	11	32	32	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	121	ornamentShortTrill						
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	122							
11	11	30	30	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	123							
12	12	33	33	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	124							
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	125							
12	12	35	35	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	126							
12	12	33	33	1.5	0	0	Chord	3/4	1	2	3/8		1/4	3/2	127							
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	128							
12	12	35	35	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	129							
12	12	34	34	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	130							
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	131							
12	12	33	33	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	132							
13	13	36	36	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	133							
13	13	36	36	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	134							
13	13	37	37	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	135							
13	13	36	36	1.0	0	0	Chord	3/4	1	3	1/4		1/4	1	136							
13	13	37	37	2.0	1/4	1/4	Chord	3/4	1	3	1/2		1/2	1	137							
13	13	36	36	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	138							
13	13	73/2	73/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	139							
13	13	37	37	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	140							
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	141							
13	13	38	38	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	142	ornamentShortTrill						
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	143							
14	14	39	39	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	144							
14	14	39	39	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	145							
14	14	40	40	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	146							
14	14	39	39	1.0	0	0	Chord	3/4	1	3	1/4		1/4	1	147							
14	14	40	40	2.0	1/4	1/4	Chord	3/4	1	3	1/2		1/2	1	148							
14	14	39	39	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	149							
14	14	79/2	79/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	150							
14	14	40	40	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	151							
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	152							
14	14	41	41	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	153	ornamentShortTrill						
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	154							
15	15	42	42	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	155							
15	15	42	42	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	156							
15	15	43	43	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	157							
15	15	44	44	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	158							
15	15	42	42	1.0	0	0	Chord	3/4	1	3	1/4		1/4	1	159							
15	15	43	43	2.0	1/4	1/4	Chord	3/4	1	3	1/2		1/2	1	160							
15	15	42	42	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	161							
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	162							
15	15	43	43	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	163							
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	164							
15	15	44	44	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	165	ornamentShortTrill						
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	166							
16	16	45	45	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	167							
16	16	46	46	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	168							
16	16	45	45	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	169							
16	16	91/2	91/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	170							
16	16	46	46	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	171							
16	16	45	45	1.0	0	0	Chord	3/4	1	3	1/4		1/4	1	172							
16	16	46	46	2.0	1/4	1/4	Chord	3/4	1	3	1/2		1/2	1	173							
16	16	45	45	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	174							
16	16	46	46	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	175							
17	17	48	48	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	176							
17	17	97/2	97/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	177							
17	17	49	49	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	178							
17	17	101/2	101/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	179							
17	17	203/4	203/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	180							
17	17	49	49	0.0	1/4	1/4	Chord	3/4	1	2	0	grace16	1/16	1	181							
17	17	49	49	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	182							
17	17	49	49	1.5	1/4	1/4	Chord	3/4	1	3	3/8		1/4	3/2	183							
17	17	49	49	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	184							
17	17	48	48	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	185							
18	18	51	51	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	186							
18	18	103/2	103/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	187							
18	18	52	52	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	188							
18	18	107/2	107/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	189							
18	18	215/4	215/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	190							
18	18	52	52	0.0	1/4	1/4	Chord	3/4	1	2	0	grace16	1/16	1	191							
18	18	52	52	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	192							
18	18	52	52	1.5	1/4	1/4	Chord	3/4	1	3	3/8		1/4	3/2	193							
18	18	52	52	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	194							
18	18	51	51	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	195							
19	19	54	54	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	196							
19	19	109/2	109/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	197							
19	19	55	55	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	198							
19	19	113/2	113/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	199							
19	19	227/4	227/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	200							
19	19	55	55	0.0	1/4	1/4	Chord	3/4	1	2	0	grace16	1/16	1	201							
19	19	55	55	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	202							
19	19	55	55	1.5	1/4	1/4	Chord	3/4	1	3	3/8		1/4	3/2	203							
19	19	55	55	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	204							
19	19	54	54	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	205							
20	20	57	57	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	206							
20	20	229/4	229/4	0.125	1/16	1/16	Chord	3/4	1	1	1/32		1/32	1	207							
20	20	459/8	459/8	0.125	3/32	3/32	Chord	3/4	1	1	1/32		1/32	1	208							
20	20	115/2	115/2	0.125	1/8	1/8	Chord	3/4	1	1	1/32		1/32	1	209							
20	20	461/8	461/8	0.125	5/32	5/32	Chord	3/4	1	1	1/32		1/32	1	210							
20	20	231/4	231/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	211							
20	20	58	58	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	212							
20	20	115/2	115/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	213							
20	20	58	58	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	214							
20	20	59	59	0.75	1/2	1/2	Chord	3/4	1	2	3/16		1/8	3/2	215							
20	20	239/4	239/4	0.125	11/16	11/16	Chord	3/4	1	2	1/32		1/32	1	216							
20	20	479/8	479/8	0.125	23/32	23/32	Chord	3/4	1	2	1/32		1/32	1	217							
20	20	58	58	0.75	1/4	1/4	Chord	3/4	1	3	3/16		1/8	3/2	218							
20	20	235/4	235/4	0.125	7/16	7/16	Chord	3/4	1	3	1/32		1/32	1	219							
20	20	471/8	471/8	0.125	15/32	15/32	Chord	3/4	1	3	1/32		1/32	1	220							
20	20	58	58	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	221							
20	20	57	57	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	222							
21	21	60	60	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	223							
21	21	60	60	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	224							
21	21	61	61	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	225							
21	21	60	60	1.0	0	0	Chord	3/4	1	3	1/4		1/4	1	226							
21	21	61	61	2.0	1/4	1/4	Chord	3/4	1	3	1/2		1/2	1	227							
21	21	60	60	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	228							
21	21	121/2	121/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	229							
21	21	61	61	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	230							
21	21	123/2	123/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	231							
21	21	62	62	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	232							
21	21	125/2	125/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	233							
22	22	63	63	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	234							
22	22	63	63	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	235							
22	22	64	64	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	236							
22	22	63	63	1.0	0	0	Chord	3/4	1	3	1/4		1/4	1	237							
22	22	64	64	2.0	1/4	1/4	Chord	3/4	1	3	1/2		1/2	1	238							
22	22	63	63	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	239							
22	22	127/2	127/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	240							
22	22	64	64	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	241							
22	22	129/2	129/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	242							
22	22	65	65	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	243							
22	22	131/2	131/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	244							
23	23	66	66	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	245							
23	23	265/4	265/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	246							
23	23	133/2	133/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	247							
23	23	267/4	267/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	248							
23	23	67	67	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	249							
23	23	269/4	269/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	250							
23	23	135/2	135/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	251							
23	23	271/4	271/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	252							
23	23	68	68	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	253	ornamentTurn						
23	23	275/4	275/4	0.125	11/16	11/16	Chord	3/4	1	1	1/32		1/32	1	254							
23	23	551/8	551/8	0.125	23/32	23/32	Chord	3/4	1	1	1/32		1/32	1	255							
23	23	66	66	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	256							
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	257							
23	23	68	68	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	258							
23	23	66	66	0.5	0	0	Chord	3/4	1	3	1/8		1/8	1	259							
23	23	66	66	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	260							
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	261							
23	23	67	67	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	262							
24	24	69	69	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	263							
24	24	70	70	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	264							
24	24	69	69	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	265							
24	24	70	70	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	266							
24	24	70	70	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	267							
24	24	69	69	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	268							
24	24	139/2	139/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	269							
24	24	70	70	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	270							
24	24	69	69	3.0	0	0	Chord	3/4	2	3	3/4		1/2	3/2	271							
