mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	decrescendo_hairpin
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0					7. Sarabande						
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0						𝅘𝅥=60	60.0	𝅘𝅥	60.0	1.0	
1	1	0	0	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	0								
1	1	3/4	3/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32	1/32	1	1								
1	1	7/8	7/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32	1/32	1	2								
1	1	1	1	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	3								
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	4								
1	1	2	2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	5								
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	6								
1	1	0	0	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	7								
1	1	0	0	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	8								
1	1	0	0	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	9								
2	2	3	3	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	10								
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	11								
2	2	4	4	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	12								
2	2	3	3	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	13								
2	2	4	4	2.0	1/4	1/4	Chord	3/4	1	2	1/2	1/2	1	14								
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	15								
2	2	4	4	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	16								
2	2	3	3	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	17								
3	3	6	6	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	18								
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	19								
3	3	7	7	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	20								
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	21								
3	3	6	6	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	22								
3	3	7	7	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	23								
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	24	ornamentTurn							
3	3	6	6	1.0	0	0	Chord	3/4	1	3	1/4	1/4	1	25								
3	3	7	7	1.0	1/4	1/4	Chord	3/4	1	3	1/4	1/4	1	26								
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	27								
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	28								
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	29								
3	3	6	6	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	30								
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	31								
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	32								
4	4	9	9	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	33								
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	34								
4	4	11	11	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	35								
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	36								
4	4	9	9	1.5	0	0	Chord	3/4	1	2	3/8	1/4	3/2	37								
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	38								
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	39								
4	4	9	9	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	40								
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	41								
4	4	9	9	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	42								
4	4	10	10	1.5	1/4	1/4	Chord	3/4	2	2	3/8	1/4	3/2	43								
5	5	12	12	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	44								
5	5	51/4	51/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32	1/32	1	45								
5	5	103/8	103/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32	1/32	1	46								
5	5	13	13	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	47								
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	48								
5	5	14	14	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	49	ornamentShortTrill							
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	50								
5	5	12	12	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	51								
5	5	12	12	1.0	0	0	Chord	3/4	1	3	1/4	1/4	1	52								
5	5	12	12	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	53								
6	6	15	15	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	54								
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	55								
6	6	16	16	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	56	ornamentShortTrill							
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	57								
6	6	15	15	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	58								
