mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0					3. Sarabande
1	1	0	0	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	0		
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	1		
1	1	1	1	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	2		
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	3		
1	1	2	2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	4		
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	5		
1	1	0	0	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	6		
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	7		
1	1	0	0	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	8		
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	9		
2	2	3	3	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	10		
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	11		
2	2	4	4	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	12		
2	2	17/4	17/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	13		
2	2	9/2	9/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	14		
2	2	19/4	19/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	15		
2	2	5	5	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	16		
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	17		
2	2	3	3	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	18		
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	19		
2	2	3	3	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	20		
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	21		
3	3	6	6	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	22		
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	23		
3	3	7	7	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	24		
3	3	29/4	29/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	25		
3	3	15/2	15/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	26		
3	3	31/4	31/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	27		
3	3	8	8	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	28		
3	3	33/4	33/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	29		
3	3	17/2	17/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	30		
3	3	35/4	35/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	31		
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	32		
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	33		
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	34		
3	3	6	6	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	35		
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	36		
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	37		
4	4	9	9	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	38		
4	4	9	9	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	39		
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	40		
4	4	10	10	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	41		
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	42		
4	4	11	11	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	43		
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	44		
4	4	9	9	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	45		
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	46		
5	5	12	12	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	47		
5	5	49/4	49/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	48		
5	5	25/2	25/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	49		
5	5	51/4	51/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	50		
5	5	13	13	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	51		
5	5	53/4	53/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	52		
5	5	27/2	27/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	53		
5	5	55/4	55/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	54		
5	5	14	14	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	55		
5	5	57/4	57/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	56		
5	5	29/2	29/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	57		
5	5	59/4	59/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	58		
5	5	12	12	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	59		
5	5	25/2	25/2	1.0	1/8	1/8	Chord	3/4	2	1	1/4	1/4	1	60		
5	5	27/2	27/2	1.0	3/8	3/8	Chord	3/4	2	1	1/4	1/4	1	61		
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	62		
5	5	12	12	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	63		
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	64		
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	65		
6	6	15	15	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	66		
6	6	61/4	61/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	67		
6	6	31/2	31/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	68		
6	6	63/4	63/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	69		
6	6	16	16	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	70		
6	6	65/4	65/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	71		
6	6	33/2	33/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	72		
6	6	67/4	67/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	73		
6	6	17	17	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	74		
6	6	69/4	69/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	75		
6	6	35/2	35/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	76		
6	6	71/4	71/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	77		
6	6	15	15	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	78		
6	6	31/2	31/2	1.0	1/8	1/8	Chord	3/4	2	1	1/4	1/4	1	79		
6	6	33/2	33/2	1.0	3/8	3/8	Chord	3/4	2	1	1/4	1/4	1	80		
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	81		
6	6	15	15	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	82		
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	83		
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	84		
7	7	18	18	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	85		
7	7	73/4	73/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	86		
7	7	37/2	37/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	87		
7	7	75/4	75/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	88		
7	7	19	19	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	89		
7	7	77/4	77/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	90		
7	7	39/2	39/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	91		
7	7	79/4	79/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	92		
7	7	20	20	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	93		
7	7	81/4	81/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	94		
7	7	41/2	41/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	95		
7	7	83/4	83/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	96		
7	7	18	18	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	97		
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	98		
7	7	19	19	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	99		
7	7	39/2	39/2	1.0	3/8	3/8	Chord	3/4	2	1	1/4	1/4	1	100		
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	101		
7	7	18	18	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	102		
7	7	19	19	0.5	1/4	1/4	Chord	3/4	2	2	1/8	1/8	1	103		
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	104		
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	105		
8	8	21	21	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	106		
8	8	22	22	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	107		
8	8	87/4	87/4	0.25	3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	108		
8	8	85/4	85/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	109		
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	110		
8	8	22	22	0.75	1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	111		
8	8	91/4	91/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	112		
8	8	23	23	0.25	1/2	1/2	Chord	3/4	2	1	1/16	1/16	1	113		
8	8	93/4	93/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	114		
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	115		
8	8	21	21	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	116		
8	8	89/4	89/4	0.25	5/16	5/16	Chord	3/4	2	2	1/16	1/16	1	117		
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	118		
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	119		
9	9	24	24	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	120	ornamentMordent	
