mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	11/8	StaffText	6/4	1	1	0					3. Courante						
1	0	0	0	0.0	0	11/8	Tempo	6/4	1	1	0						𝅘𝅥=132	132.0	𝅘𝅥	132.0	0.0	
1	0	0	0	0.5	0	11/8	Chord	6/4	1	1	1/8	1/8	1	0								
2	1	1/2	1/2	1.5	0	0	Chord	6/4	1	1	3/8	1/4	3/2	1								
2	1	2	2	0.5	3/8	3/8	Chord	6/4	1	1	1/8	1/8	1	2								
2	1	5/2	5/2	1.5	1/2	1/2	Chord	6/4	1	1	3/8	1/4	3/2	3								
2	1	4	4	0.5	7/8	7/8	Chord	6/4	1	1	1/8	1/8	1	4								
2	1	9/2	9/2	1.0	1	1	Chord	6/4	1	1	1/4	1/4	1	5								0
2	1	11/2	11/2	0.5	5/4	5/4	Chord	6/4	1	1	1/8	1/8	1	6	ornamentShortTrill							0
2	1	6	6	0.25	11/8	11/8	Chord	6/4	1	1	1/16	1/16	1	7								0
2	1	25/4	25/4	0.25	23/16	23/16	Chord	6/4	1	1	1/16	1/16	1	8								
2	1	1	1	0.5	1/8	1/8	Chord	6/4	2	1	1/8	1/8	1	9								
2	1	3/2	3/2	1.0	1/4	1/4	Chord	6/4	2	1	1/4	1/4	1	10								
2	1	5/2	5/2	1.0	1/2	1/2	Chord	6/4	2	1	1/4	1/4	1	11								
2	1	7/2	7/2	1.0	3/4	3/4	Chord	6/4	2	1	1/4	1/4	1	12								
2	1	9/2	9/2	1.0	1	1	Chord	6/4	2	1	1/4	1/4	1	13								
2	1	11/2	11/2	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	14								
2	1	1/2	1/2	6.0	0	0	Chord	6/4	2	2	3/2	1	3/2	15								
3	2	13/2	13/2	0.5	0	0	Chord	6/4	1	1	1/8	1/8	1	16								
3	2	7	7	0.5	1/8	1/8	Chord	6/4	1	1	1/8	1/8	1	17								
3	2	15/2	15/2	0.5	1/4	1/4	Chord	6/4	1	1	1/8	1/8	1	18								
3	2	8	8	0.5	3/8	3/8	Chord	6/4	1	1	1/8	1/8	1	19								
3	2	17/2	17/2	0.5	1/2	1/2	Chord	6/4	1	1	1/8	1/8	1	20								
3	2	9	9	0.5	5/8	5/8	Chord	6/4	1	1	1/8	1/8	1	21								
3	2	19/2	19/2	0.5	3/4	3/4	Chord	6/4	1	1	1/8	1/8	1	22								
3	2	10	10	0.5	7/8	7/8	Chord	6/4	1	1	1/8	1/8	1	23								
3	2	21/2	21/2	0.5	1	1	Chord	6/4	1	1	1/8	1/8	1	24								
3	2	11	11	0.5	9/8	9/8	Chord	6/4	1	1	1/8	1/8	1	25								
