mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	1	0	0	0.0		0	0	Tempo	3/2	1	1	0						𝅗𝅥=55	110.0	𝅗𝅥	55.0	0.0
1	1	0	0	2.0		0	0	Chord	3/2	1	1	1/2		1/2	1	0						
1	1	2	2	2.0		1/2	1/2	Chord	3/2	1	1	1/2		1/2	1	1						
1	1	4	4	0.5		1	1	Chord	3/2	1	1	1/8		1/8	1	2						
1	1	9/2	9/2	0.5		9/8	9/8	Chord	3/2	1	1	1/8		1/8	1	3						
1	1	5	5	0.5		5/4	5/4	Chord	3/2	1	1	1/8		1/8	1	4						
1	1	11/2	11/2	0.5		11/8	11/8	Chord	3/2	1	1	1/8		1/8	1	5						
1	1	1/2	1/2	0.5		1/8	1/8	Chord	3/2	1	2	1/8		1/8	1	6						
1	1	1	1	1.0		1/4	1/4	Chord	3/2	1	2	1/4		1/4	1	7						
1	1	2	2	2.0		1/2	1/2	Chord	3/2	1	2	1/2		1/2	1	8						
1	1	4	4	2.0		1	1	Chord	3/2	1	2	1/2		1/2	1	9						
1	1	0	0	1.5		0	0	Chord	3/2	1	3	3/8		1/4	3/2	10						
1	1	3/2	3/2	0.5		3/8	3/8	Chord	3/2	1	3	1/8		1/8	1	11						
1	1	5/2	5/2	0.5		5/8	5/8	Chord	3/2	1	3	1/8		1/8	1	12						
1	1	3	3	0.5		3/4	3/4	Chord	3/2	1	3	1/8		1/8	1	13						
1	1	7/2	7/2	0.5		7/8	7/8	Chord	3/2	1	3	1/8		1/8	1	14						
1	1	4	4	2.0		1	1	Chord	3/2	1	3	1/2		1/2	1	15						
1	1	0	0	2.0		0	0	Chord	3/2	2	1	1/2		1/2	1	16						
1	1	3	3	1.0		3/4	3/4	Chord	3/2	2	1	1/4		1/4	1	17						
1	1	4	4	2.0		1	1	Chord	3/2	2	1	1/2		1/2	1	18						
1	1	0	0	2.0		0	0	Chord	3/2	2	2	1/2		1/2	1	19						
1	1	2	2	4.0		1/2	1/2	Chord	3/2	2	2	1		1	1	20						
2	2	6	6	0.5		0	0	Chord	3/2	1	1	1/8		1/8	1	21						
2	2	13/2	13/2	0.5		1/8	1/8	Chord	3/2	1	1	1/8		1/8	1	22						
2	2	7	7	0.5		1/4	1/4	Chord	3/2	1	1	1/8		1/8	1	23						
2	2	15/2	15/2	0.5		3/8	3/8	Chord	3/2	1	1	1/8		1/8	1	24						
2	2	8	8	2.0		1/2	1/2	Chord	3/2	1	1	1/2		1/2	1	25						
2	2	21/2	21/2	0.5		9/8	9/8	Chord	3/2	1	1	1/8		1/8	1	26						
2	2	11	11	0.5		5/4	5/4	Chord	3/2	1	1	1/8		1/8	1	27						
2	2	23/2	23/2	0.5		11/8	11/8	Chord	3/2	1	1	1/8		1/8	1	28						
2	2	6	6	2.0		0	0	Chord	3/2	1	2	1/2		1/2	1	29						
2	2	17/2	17/2	0.5		5/8	5/8	Chord	3/2	1	2	1/8		1/8	1	30						
