mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	1	0	0	0.0	0	0	Tempo	12/16	1	1	0						𝅘𝅥𝅮.=152	114.0	𝅘𝅥𝅮.	152.0	0.0
1	1	0	0	0.25	0	0	Chord	12/16	1	1	1/16		1/16	1	0						
1	1	1/4	1/4	0.25	1/16	1/16	Chord	12/16	1	1	1/16		1/16	1	1						
1	1	1/2	1/2	0.25	1/8	1/8	Chord	12/16	1	1	1/16		1/16	1	2						
1	1	3/4	3/4	0.25	3/16	3/16	Chord	12/16	1	1	1/16		1/16	1	3						
1	1	1	1	0.25	1/4	1/4	Chord	12/16	1	1	1/16		1/16	1	4						
1	1	5/4	5/4	0.25	5/16	5/16	Chord	12/16	1	1	1/16		1/16	1	5						
1	1	3/2	3/2	0.25	3/8	3/8	Chord	12/16	1	1	1/16		1/16	1	6						
1	1	7/4	7/4	0.25	7/16	7/16	Chord	12/16	1	1	1/16		1/16	1	7						
1	1	2	2	0.25	1/2	1/2	Chord	12/16	1	1	1/16		1/16	1	8						
1	1	9/4	9/4	0.25	9/16	9/16	Chord	12/16	1	1	1/16		1/16	1	9						
1	1	5/2	5/2	0.25	5/8	5/8	Chord	12/16	1	1	1/16		1/16	1	10						
1	1	11/4	11/4	0.25	11/16	11/16	Chord	12/16	1	1	1/16		1/16	1	11						
2	2	3	3	0.25	0	0	Chord	12/16	1	1	1/16		1/16	1	12						
2	2	13/4	13/4	0.25	1/16	1/16	Chord	12/16	1	1	1/16		1/16	1	13						
2	2	7/2	7/2	0.25	1/8	1/8	Chord	12/16	1	1	1/16		1/16	1	14						
2	2	15/4	15/4	0.25	3/16	3/16	Chord	12/16	1	1	1/16		1/16	1	15						
2	2	4	4	0.25	1/4	1/4	Chord	12/16	1	1	1/16		1/16	1	16						
2	2	17/4	17/4	0.25	5/16	5/16	Chord	12/16	1	1	1/16		1/16	1	17						
2	2	9/2	9/2	0.25	3/8	3/8	Chord	12/16	1	1	1/16		1/16	1	18						
2	2	19/4	19/4	0.25	7/16	7/16	Chord	12/16	1	1	1/16		1/16	1	19						
2	2	5	5	0.25	1/2	1/2	Chord	12/16	1	1	1/16		1/16	1	20						
2	2	21/4	21/4	0.25	9/16	9/16	Chord	12/16	1	1	1/16		1/16	1	21						
2	2	11/2	11/2	0.25	5/8	5/8	Chord	12/16	1	1	1/16		1/16	1	22						
2	2	23/4	23/4	0.25	11/16	11/16	Chord	12/16	1	1	1/16		1/16	1	23						
3	3	6	6	0.5	0	0	Chord	12/16	1	1	1/8		1/8	1	24						
3	3	27/4	27/4	0.5	3/16	3/16	Chord	12/16	1	1	1/8		1/8	1	25						
3	3	15/2	15/2	0.5	3/8	3/8	Chord	12/16	1	1	1/8		1/8	1	26						
3	3	33/4	33/4	0.5	9/16	9/16	Chord	12/16	1	1	1/8		1/8	1	27						
3	3	6	6	0.25	0	0	Chord	12/16	2	1	1/16		1/16	1	28						
3	3	25/4	25/4	0.25	1/16	1/16	Chord	12/16	2	1	1/16		1/16	1	29						
3	3	13/2	13/2	0.25	1/8	1/8	Chord	12/16	2	1	1/16		1/16	1	30						
3	3	27/4	27/4	0.25	3/16	3/16	Chord	12/16	2	1	1/16		1/16	1	31						
3	3	7	7	0.25	1/4	1/4	Chord	12/16	2	1	1/16		1/16	1	32						
3	3	29/4	29/4	0.25	5/16	5/16	Chord	12/16	2	1	1/16		1/16	1	33						
3	3	15/2	15/2	0.25	3/8	3/8	Chord	12/16	2	1	1/16		1/16	1	34						
3	3	31/4	31/4	0.25	7/16	7/16	Chord	12/16	2	1	1/16		1/16	1	35						
3	3	8	8	0.25	1/2	1/2	Chord	12/16	2	1	1/16		1/16	1	36						
3	3	33/4	33/4	0.25	9/16	9/16	Chord	12/16	2	1	1/16		1/16	1	37						
3	3	17/2	17/2	0.25	5/8	5/8	Chord	12/16	2	1	1/16		1/16	1	38						
3	3	35/4	35/4	0.25	11/16	11/16	Chord	12/16	2	1	1/16		1/16	1	39						
4	4	9	9	0.5	0	0	Chord	12/16	1	1	1/8		1/8	1	40						
4	4	39/4	39/4	0.25	3/16	3/16	Chord	12/16	1	1	1/16		1/16	1	41						
4	4	10	10	0.25	1/4	1/4	Chord	12/16	1	1	1/16		1/16	1	42						
4	4	41/4	41/4	0.25	5/16	5/16	Chord	12/16	1	1	1/16		1/16	1	43						
4	4	21/2	21/2	0.25	3/8	3/8	Chord	12/16	1	1	1/16		1/16	1	44						
4	4	43/4	43/4	0.25	7/16	7/16	Chord	12/16	1	1	1/16		1/16	1	45						
4	4	11	11	0.25	1/2	1/2	Chord	12/16	1	1	1/16		1/16	1	46						
4	4	45/4	45/4	0.25	9/16	9/16	Chord	12/16	1	1	1/16		1/16	1	47						
4	4	23/2	23/2	0.25	5/8	5/8	Chord	12/16	1	1	1/16		1/16	1	48						
4	4	47/4	47/4	0.25	11/16	11/16	Chord	12/16	1	1	1/16		1/16	1	49						
4	4	9	9	0.25	0	0	Chord	12/16	2	1	1/16		1/16	1	50						
4	4	37/4	37/4	0.25	1/16	1/16	Chord	12/16	2	1	1/16		1/16	1	51						
4	4	19/2	19/2	0.25	1/8	1/8	Chord	12/16	2	1	1/16		1/16	1	52						
4	4	39/4	39/4	0.25	3/16	3/16	Chord	12/16	2	1	1/16		1/16	1	53						
4	4	10	10	0.25	1/4	1/4	Chord	12/16	2	1	1/16		1/16	1	54						
4	4	41/4	41/4	0.25	5/16	5/16	Chord	12/16	2	1	1/16		1/16	1	55						
4	4	21/2	21/2	0.25	3/8	3/8	Chord	12/16	2	1	1/16		1/16	1	56						
4	4	43/4	43/4	0.25	7/16	7/16	Chord	12/16	2	1	1/16		1/16	1	57						
4	4	11	11	0.25	1/2	1/2	Chord	12/16	2	1	1/16		1/16	1	58						
4	4	45/4	45/4	0.25	9/16	9/16	Chord	12/16	2	1	1/16		1/16	1	59						
4	4	23/2	23/2	0.25	5/8	5/8	Chord	12/16	2	1	1/16		1/16	1	60						
4	4	47/4	47/4	0.25	11/16	11/16	Chord	12/16	2	1	1/16		1/16	1	61						
5	5	12	12	0.25	0	0	Chord	12/16	1	1	1/16		1/16	1	62						
5	5	49/4	49/4	0.25	1/16	1/16	Chord	12/16	1	1	1/16		1/16	1	63						
5	5	25/2	25/2	0.25	1/8	1/8	Chord	12/16	1	1	1/16		1/16	1	64						
5	5	51/4	51/4	0.5	3/16	3/16	Chord	12/16	1	1	1/8		1/8	1	65						
5	5	53/4	53/4	0.125	5/16	5/16	Chord	12/16	1	1	1/32		1/32	1	66						
5	5	107/8	107/8	0.125	11/32	11/32	Chord	12/16	1	1	1/32		1/32	1	67						
5	5	27/2	27/2	0.25	3/8	3/8	Chord	12/16	1	1	1/16		1/16	1	68						
5	5	55/4	55/4	0.25	7/16	7/16	Chord	12/16	1	1	1/16		1/16	1	69						
5	5	14	14	0.25	1/2	1/2	Chord	12/16	1	1	1/16		1/16	1	70						
5	5	57/4	57/4	0.25	9/16	9/16	Chord	12/16	1	1	1/16		1/16	1	71						
5	5	29/2	29/2	0.25	5/8	5/8	Chord	12/16	1	1	1/16		1/16	1	72						
5	5	59/4	59/4	0.25	11/16	11/16	Chord	12/16	1	1	1/16		1/16	1	73						
5	5	12	12	0.5	0	0	Chord	12/16	2	1	1/8		1/8	1	74						
5	5	51/4	51/4	0.25	3/16	3/16	Chord	12/16	2	1	1/16		1/16	1	75						
