mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	6/8	1	1	0						𝅘𝅥.=60	90.0	𝅘𝅥.	60.0	0.0	
1	1	0	0	0.0	0	0	StaffText	6/8	1	2	0					1. Prélude						
1	1	1/2	1/2	0.75	1/8	1/8	Chord	6/8	1	2	3/16	1/8	3/2	0								
1	1	5/4	5/4	0.25	5/16	5/16	Chord	6/8	1	2	1/16	1/16	1	1								
1	1	3/2	3/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8	1/8	1	2								
1	1	2	2	0.25	1/2	1/2	Chord	6/8	1	2	1/16	1/16	1	3								
1	1	9/4	9/4	0.25	9/16	9/16	Chord	6/8	1	2	1/16	1/16	1	4								
1	1	5/2	5/2	0.25	5/8	5/8	Chord	6/8	1	2	1/16	1/16	1	5								
1	1	11/4	11/4	0.25	11/16	11/16	Chord	6/8	1	2	1/16	1/16	1	6								
2	2	3	3	0.0	0	0	StaffText	6/8	1	1	0					Englische Suite Nr. 5 in e-Moll.						
2	2	3	3	0.5	0	0	Chord	6/8	1	2	1/8	1/8	1	7								
2	2	7/2	7/2	0.75	1/8	1/8	Chord	6/8	1	2	3/16	1/8	3/2	8								
2	2	17/4	17/4	0.25	5/16	5/16	Chord	6/8	1	2	1/16	1/16	1	9								
2	2	9/2	9/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8	1/8	1	10								
2	2	5	5	0.25	1/2	1/2	Chord	6/8	1	2	1/16	1/16	1	11								
2	2	21/4	21/4	0.25	9/16	9/16	Chord	6/8	1	2	1/16	1/16	1	12								
2	2	11/2	11/2	0.25	5/8	5/8	Chord	6/8	1	2	1/16	1/16	1	13								
2	2	23/4	23/4	0.25	11/16	11/16	Chord	6/8	1	2	1/16	1/16	1	14								
3	3	13/2	13/2	0.75	1/8	1/8	Chord	6/8	1	1	3/16	1/8	3/2	15								
3	3	29/4	29/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16	1/16	1	16								
3	3	15/2	15/2	0.0	3/8	3/8	StaffText	6/8	1	1	0					"Johann Sebastian Bach
BWV 810"						
3	3	15/2	15/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	17								
3	3	8	8	0.25	1/2	1/2	Chord	6/8	1	1	1/16	1/16	1	18								
3	3	33/4	33/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16	1/16	1	19								
3	3	17/2	17/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16	1/16	1	20								
3	3	35/4	35/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16	1/16	1	21								
3	3	6	6	0.25	0	0	Chord	6/8	1	2	1/16	1/16	1	22								
3	3	25/4	25/4	0.25	1/16	1/16	Chord	6/8	1	2	1/16	1/16	1	23								
3	3	13/2	13/2	0.25	1/8	1/8	Chord	6/8	1	2	1/16	1/16	1	24								
3	3	27/4	27/4	0.25	3/16	3/16	Chord	6/8	1	2	1/16	1/16	1	25								
3	3	7	7	0.25	1/4	1/4	Chord	6/8	1	2	1/16	1/16	1	26								
3	3	29/4	29/4	0.25	5/16	5/16	Chord	6/8	1	2	1/16	1/16	1	27								
3	3	15/2	15/2	0.25	3/8	3/8	Chord	6/8	1	2	1/16	1/16	1	28								
3	3	31/4	31/4	0.25	7/16	7/16	Chord	6/8	1	2	1/16	1/16	1	29								
3	3	8	8	0.25	1/2	1/2	Chord	6/8	1	2	1/16	1/16	1	30								
3	3	33/4	33/4	0.25	9/16	9/16	Chord	6/8	1	2	1/16	1/16	1	31								
3	3	17/2	17/2	0.25	5/8	5/8	Chord	6/8	1	2	1/16	1/16	1	32								
3	3	35/4	35/4	0.25	11/16	11/16	Chord	6/8	1	2	1/16	1/16	1	33								
4	4	9	9	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	34								
4	4	19/2	19/2	0.75	1/8	1/8	Chord	6/8	1	1	3/16	1/8	3/2	35								
4	4	41/4	41/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16	1/16	1	36								
4	4	21/2	21/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	37								
4	4	11	11	0.25	1/2	1/2	Chord	6/8	1	1	1/16	1/16	1	38								
4	4	45/4	45/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16	1/16	1	39								
4	4	23/2	23/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16	1/16	1	40								
4	4	47/4	47/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16	1/16	1	41								
4	4	9	9	0.25	0	0	Chord	6/8	1	2	1/16	1/16	1	42								
4	4	37/4	37/4	0.25	1/16	1/16	Chord	6/8	1	2	1/16	1/16	1	43								
4	4	19/2	19/2	0.25	1/8	1/8	Chord	6/8	1	2	1/16	1/16	1	44								
4	4	39/4	39/4	0.25	3/16	3/16	Chord	6/8	1	2	1/16	1/16	1	45								
4	4	10	10	0.25	1/4	1/4	Chord	6/8	1	2	1/16	1/16	1	46								
4	4	41/4	41/4	0.25	5/16	5/16	Chord	6/8	1	2	1/16	1/16	1	47								
4	4	21/2	21/2	0.25	3/8	3/8	Chord	6/8	1	2	1/16	1/16	1	48								
4	4	43/4	43/4	0.25	7/16	7/16	Chord	6/8	1	2	1/16	1/16	1	49								
4	4	11	11	0.25	1/2	1/2	Chord	6/8	1	2	1/16	1/16	1	50								
4	4	45/4	45/4	0.25	9/16	9/16	Chord	6/8	1	2	1/16	1/16	1	51								
4	4	23/2	23/2	0.25	5/8	5/8	Chord	6/8	1	2	1/16	1/16	1	52								
4	4	47/4	47/4	0.25	11/16	11/16	Chord	6/8	1	2	1/16	1/16	1	53								
5	5	12	12	0.25	0	0	Chord	6/8	1	1	1/16	1/16	1	54								
5	5	49/4	49/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16	1/16	1	55								
5	5	25/2	25/2	0.25	1/8	1/8	Chord	6/8	1	1	1/16	1/16	1	56								
5	5	51/4	51/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16	1/16	1	57								
5	5	13	13	0.25	1/4	1/4	Chord	6/8	1	1	1/16	1/16	1	58								
5	5	53/4	53/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16	1/16	1	59								
5	5	27/2	27/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	60								
5	5	14	14	0.75	1/2	1/2	Chord	6/8	1	1	3/16	1/8	3/2	61								
5	5	59/4	59/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16	1/16	1	62								
5	5	12	12	0.5	0	0	Chord	6/8	1	2	1/8	1/8	1	63								
5	5	25/2	25/2	0.75	1/8	1/8	Chord	6/8	1	2	3/16	1/8	3/2	64								
