mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	15/16	StaffText	4/4	1	1	0					2. Allemande						
1	0	0	0	0.0	0	15/16	Tempo	4/4	1	1	0						𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	
1	0	0	0	0.25	0	15/16	Chord	4/4	1	1	1/16	1/16	1	0								
2	1	1/4	1/4	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	1								
2	1	3/4	3/4	0.125	1/8	1/8	Chord	4/4	1	1	1/32	1/32	1	2								
2	1	7/8	7/8	0.125	5/32	5/32	Chord	4/4	1	1	1/32	1/32	1	3								
2	1	1	1	0.125	3/16	3/16	Chord	4/4	1	1	1/32	1/32	1	4								
2	1	9/8	9/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32	1/32	1	5								
2	1	5/4	5/4	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	6								
2	1	3/2	3/2	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	7								
2	1	7/4	7/4	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	8								
2	1	2	2	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	9								
2	1	9/4	9/4	0.16666666666666666	1/2	1/2	Chord	4/4	1	1	1/24	1/16	2/3	10								
2	1	29/12	29/12	0.16666666666666666	13/24	13/24	Chord	4/4	1	1	1/24	1/16	2/3	11								
2	1	31/12	31/12	0.16666666666666666	7/12	7/12	Chord	4/4	1	1	1/24	1/16	2/3	12								
2	1	11/4	11/4	0.16666666666666666	5/8	5/8	Chord	4/4	1	1	1/24	1/16	2/3	13								
2	1	35/12	35/12	0.16666666666666666	2/3	2/3	Chord	4/4	1	1	1/24	1/16	2/3	14								
2	1	37/12	37/12	0.16666666666666666	17/24	17/24	Chord	4/4	1	1	1/24	1/16	2/3	15								
2	1	13/4	13/4	0.16666666666666666	3/4	3/4	Chord	4/4	1	1	1/24	1/16	2/3	16								
2	1	41/12	41/12	0.16666666666666666	19/24	19/24	Chord	4/4	1	1	1/24	1/16	2/3	17								
2	1	43/12	43/12	0.16666666666666666	5/6	5/6	Chord	4/4	1	1	1/24	1/16	2/3	18								
2	1	15/4	15/4	0.16666666666666666	7/8	7/8	Chord	4/4	1	1	1/24	1/16	2/3	19								
2	1	47/12	47/12	0.16666666666666666	11/12	11/12	Chord	4/4	1	1	1/24	1/16	2/3	20								
2	1	49/12	49/12	0.16666666666666666	23/24	23/24	Chord	4/4	1	1	1/24	1/16	2/3	21								
2	1	1/4	1/4	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	22								
2	1	1/4	1/4	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	23								
2	1	3/4	3/4	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	24								
2	1	3/2	3/2	0.25	5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	25								
2	1	7/4	7/4	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	26								
2	1	2	2	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	27								
2	1	9/4	9/4	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	28								
2	1	11/4	11/4	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	29								
2	1	13/4	13/4	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	30								
2	1	15/4	15/4	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	31								
3	2	17/4	17/4	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	32								
3	2	19/4	19/4	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	33								
3	2	21/4	21/4	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	34	ornamentShortTrill							
3	2	6	6	0.125	7/16	7/16	Chord	4/4	1	1	1/32	1/32	1	35								
3	2	49/8	49/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32	1/32	1	36								
3	2	25/4	25/4	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	37								
3	2	27/4	27/4	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	38								
3	2	29/4	29/4	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	39	ornamentShortTrill							
3	2	8	8	0.125	15/16	15/16	Chord	4/4	1	1	1/32	1/32	1	40								
3	2	65/8	65/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32	1/32	1	41								
3	2	27/4	27/4	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	42								
3	2	29/4	29/4	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	43								
3	2	17/4	17/4	0.16666666666666666	0	0	Chord	4/4	2	1	1/24	1/16	2/3	44								
3	2	53/12	53/12	0.16666666666666666	1/24	1/24	Chord	4/4	2	1	1/24	1/16	2/3	45								
3	2	55/12	55/12	0.16666666666666666	1/12	1/12	Chord	4/4	2	1	1/24	1/16	2/3	46								
3	2	19/4	19/4	0.16666666666666666	1/8	1/8	Chord	4/4	2	1	1/24	1/16	2/3	47								
3	2	59/12	59/12	0.16666666666666666	1/6	1/6	Chord	4/4	2	1	1/24	1/16	2/3	48								
3	2	61/12	61/12	0.16666666666666666	5/24	5/24	Chord	4/4	2	1	1/24	1/16	2/3	49								
3	2	21/4	21/4	0.16666666666666666	1/4	1/4	Chord	4/4	2	1	1/24	1/16	2/3	50								
3	2	65/12	65/12	0.16666666666666666	7/24	7/24	Chord	4/4	2	1	1/24	1/16	2/3	51								
3	2	67/12	67/12	0.16666666666666666	1/3	1/3	Chord	4/4	2	1	1/24	1/16	2/3	52								
3	2	23/4	23/4	0.16666666666666666	3/8	3/8	Chord	4/4	2	1	1/24	1/16	2/3	53								
3	2	71/12	71/12	0.16666666666666666	5/12	5/12	Chord	4/4	2	1	1/24	1/16	2/3	54								
3	2	73/12	73/12	0.16666666666666666	11/24	11/24	Chord	4/4	2	1	1/24	1/16	2/3	55								
3	2	25/4	25/4	0.16666666666666666	1/2	1/2	Chord	4/4	2	1	1/24	1/16	2/3	56								
3	2	77/12	77/12	0.16666666666666666	13/24	13/24	Chord	4/4	2	1	1/24	1/16	2/3	57								
