mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text
1	0	0	0	0.0	0	15/16	StaffText	4/4	1	1	0					1. Allemande
1	0	0	0	0.0	0	15/16	StaffText	4/4	1	1	0					Französische Suite Nr. 2 in c-Moll.
1	0	0	0	0.25	0	15/16	Chord	4/4	1	1	1/16	1/16	1	0		
2	1	1/4	1/4	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	1		
2	1	1/2	1/2	0.125	1/16	1/16	Chord	4/4	1	1	1/32	1/32	1	2		
2	1	5/8	5/8	0.125	3/32	3/32	Chord	4/4	1	1	1/32	1/32	1	3		
2	1	3/4	3/4	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	4		
2	1	1	1	0.0	3/16	3/16	StaffText	4/4	1	1	0					"Johann Sebastian Bach
BWV 813"
2	1	1	1	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	5		
2	1	5/4	5/4	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	6		
2	1	7/4	7/4	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	7		
2	1	13/4	13/4	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	8		
2	1	4	4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	9		
2	1	11/4	11/4	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	10		
2	1	13/4	13/4	0.25	3/4	3/4	Chord	4/4	1	2	1/16	1/16	1	11		
2	1	7/2	7/2	0.25	13/16	13/16	Chord	4/4	1	2	1/16	1/16	1	12		
2	1	15/4	15/4	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	13		
2	1	3/2	3/2	0.5	5/16	5/16	Chord	4/4	1	3	1/8	1/8	1	14		
2	1	2	2	0.25	7/16	7/16	Chord	4/4	1	3	1/16	1/16	1	15		
2	1	9/4	9/4	0.25	1/2	1/2	Chord	4/4	1	3	1/16	1/16	1	16	ornamentShortTrill	
2	1	5/2	5/2	0.25	9/16	9/16	Chord	4/4	1	3	1/16	1/16	1	17		
2	1	11/4	11/4	0.25	5/8	5/8	Chord	4/4	1	3	1/16	1/16	1	18		
2	1	3	3	0.25	11/16	11/16	Chord	4/4	1	3	1/16	1/16	1	19		
2	1	1/4	1/4	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	20		
2	1	7/4	7/4	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	21		
2	1	9/4	9/4	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	22		
2	1	15/4	15/4	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	23		
2	1	1/4	1/4	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	24		
2	1	3/4	3/4	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	25		
2	1	7/4	7/4	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	26		
2	1	9/4	9/4	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	27		
2	1	11/4	11/4	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	28		
