mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0						4. Sarabande						
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0							𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0	
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	0								
1	1	1	1	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	1								
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	2								
1	1	2	2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	3								
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	4								
1	1	0	0	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	5								
1	1	1	1	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	6								
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	7								
1	1	2	2	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	8								
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	9								
1	1	0	0	1.0	0	0	Chord	3/4	1	3	1/4		1/4	1	10								
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	3	1/4		1/4	1	11								
1	1	2	2	0.5	1/2	1/2	Chord	3/4	1	3	1/8		1/8	1	12								
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	3	1/8		1/8	1	13								
1	1	0	0	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	14								
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	15								
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	16								
2	2	3	3	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	17								
2	2	4	4	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	18								
2	2	3	3	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	19								
2	2	4	4	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	20								
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	21								
2	2	4	4	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	22								
2	2	3	3	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	23								
2	2	4	4	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	24								
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	25								
2	2	5	5	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	26								
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	27								
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	28								
3	3	7	7	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	29								
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	30								
3	3	8	8	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	31								
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	32								
3	3	6	6	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	33								
3	3	7	7	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	34								
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	35								
3	3	8	8	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	36								
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	37								
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	38								
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	39								
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	40								
3	3	6	6	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	41								
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	42								
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	43								
3	3	6	6	1.0	0	0	Chord	3/4	2	3	1/4		1/4	1	44								
3	3	6	6	1.0	0	0	Chord	3/4	2	4	1/4		1/4	1	45								
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	4	1/4		1/4	1	46								
4	4	9	9	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	47								
4	4	10	10	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	48								
4	4	43/4	43/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	49								
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	50								
4	4	9	9	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	51								
4	4	10	10	0.0	1/4	1/4	Chord	3/4	1	2	0	appoggiatura	1/8	1	52	ornamentMordent							
4	4	10	10	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	53								
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	54								
4	4	9	9	1.5	0	0	Chord	3/4	2	1	3/8		1/4	3/2	55								
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	56								
4	4	11	11	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	57								
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	58								
4	4	9	9	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	59								
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	60								
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	61								
5	5	12	12	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	62								
5	5	25/2	25/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	63								
5	5	13	13	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	64								
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	65								
5	5	14	14	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	66								
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	67								
5	5	12	12	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	68								
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	69								
6	6	15	15	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	70								
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	71								
6	6	16	16	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	72								
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	73								
6	6	17	17	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	74								
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	75								
6	6	15	15	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	76								
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	77								
7	7	18	18	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	78								
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	79								
7	7	19	19	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	80								
7	7	19	19	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	81								
7	7	19	19	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	82								
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	83								
7	7	20	20	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	84								
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	85								
7	7	18	18	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	86								
7	7	19	19	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	87								
7	7	20	20	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	88								
7	7	18	18	1.0	0	0	Chord	3/4	1	3	1/4		1/4	1	89								
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	90								
7	7	20	20	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	91								
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	92								
7	7	18	18	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	93								
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	94								
7	7	19	19	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	95								
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	96								
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	97								
8	8	21	21	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	98								
8	8	22	22	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	99								
8	8	21	21	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	100								
8	8	22	22	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	101								
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	102								
8	8	22	22	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	103								
8	8	21	21	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	104								
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	105								
8	8	22	22	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	106								0
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	107								0
8	8	23	23	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	108								0
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	109								
9	9	24	24	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	110								
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	111								
9	9	25	25	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	112								
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	113								
9	9	26	26	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	114								
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	115								
9	9	24	24	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	116								
10	10	27	27	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	117								
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	118								
10	10	28	28	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	119								
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	120								
10	10	29	29	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	121	ornamentShortTrill							
