mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0		0	1/2	Tempo	2/2	1	1	0					𝅘𝅥=130	130.0	𝅘𝅥	130.0	0.0	
1	0	0	0	0.5		0	1/2	Chord	2/2	1	1	1/8	1/8	1	0							0
1	0	1/2	1/2	0.5		1/8	5/8	Chord	2/2	1	1	1/8	1/8	1	1							
1	0	1	1	0.5		1/4	3/4	Chord	2/2	1	1	1/8	1/8	1	2							1
1	0	3/2	3/2	0.5		3/8	7/8	Chord	2/2	1	1	1/8	1/8	1	3							
2	1	2	2	1.5		0	0	Chord	2/2	1	1	3/8	1/4	3/2	4	ornamentShortTrill						
2	1	7/2	7/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	5							
2	1	4	4	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	6							2
2	1	9/2	9/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	7							
2	1	5	5	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	8							3
2	1	11/2	11/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	9							
2	1	2	2	0.5		0	0	Chord	2/2	2	1	1/8	1/8	1	10							4
2	1	5/2	5/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	11							
2	1	3	3	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	12							5
2	1	7/2	7/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	13							
2	1	4	4	1.5		1/2	1/2	Chord	2/2	2	1	3/8	1/4	3/2	14							
2	1	11/2	11/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	15							
3	2	6	6	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	16							
3	2	7	7	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	17							
3	2	15/2	15/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	18							
3	2	8	8	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	19							
3	2	17/2	17/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	20							
3	2	9	9	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	21							
3	2	19/2	19/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	22							
3	2	6	6	0.5		0	0	Chord	2/2	2	1	1/8	1/8	1	23							6
3	2	13/2	13/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	24							
3	2	7	7	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	25							7
3	2	15/2	15/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	26							
3	2	8	8	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	27							
3	2	9	9	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	28							
4	3	10	10	0.5		0	0	Chord	2/2	1	1	1/8	1/8	1	29							
4	3	21/2	21/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	30							
4	3	11	11	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	31							
4	3	23/2	23/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	32							
4	3	12	12	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	33							
4	3	25/2	25/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	34							
4	3	13	13	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	35							
4	3	27/2	27/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	36							
4	3	10	10	1.5		0	0	Chord	2/2	2	1	3/8	1/4	3/2	37							
4	3	23/2	23/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	38							
4	3	12	12	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	39							
4	3	13	13	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	40							
5	4	14	14	0.5		0	0	Chord	2/2	1	1	1/8	1/8	1	41							
5	4	29/2	29/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	42							
5	4	15	15	0.25		1/4	1/4	Chord	2/2	1	1	1/16	1/16	1	43							
5	4	61/4	61/4	0.25		5/16	5/16	Chord	2/2	1	1	1/16	1/16	1	44							
5	4	31/2	31/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	45							
5	4	16	16	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	46							
5	4	33/2	33/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	47							
5	4	17	17	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	48							
5	4	35/2	35/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	49							
5	4	14	14	0.5		0	0	Chord	2/2	2	1	1/8	1/8	1	50							8
5	4	29/2	29/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	51							
5	4	15	15	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	52							9
5	4	31/2	31/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	53							
5	4	16	16	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	54							
6	5	18	18	1.5		0	0	Chord	2/2	1	1	3/8	1/4	3/2	55	ornamentShortTrill						
6	5	39/2	39/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	56							
6	5	20	20	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	57							
6	5	41/2	41/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	58							
6	5	21	21	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	59							
6	5	43/2	43/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	60							
6	5	18	18	0.5		0	0	Chord	2/2	2	1	1/8	1/8	1	61							
6	5	37/2	37/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	62							
6	5	19	19	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	63							
6	5	39/2	39/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	64							
6	5	20	20	1.5		1/2	1/2	Chord	2/2	2	1	3/8	1/4	3/2	65							
6	5	43/2	43/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	66							
7	6	22	22	1.5		0	0	Chord	2/2	1	1	3/8	1/4	3/2	67							
7	6	47/2	47/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	68							
7	6	24	24	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	69							
7	6	49/2	49/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	70							
7	6	25	25	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	71							
7	6	51/2	51/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	72							
7	6	22	22	0.5		0	0	Chord	2/2	2	1	1/8	1/8	1	73							
7	6	45/2	45/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	74							
7	6	23	23	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	75							
7	6	47/2	47/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	76							
7	6	24	24	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	77							
7	6	25	25	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	78							
8	7	26	26	0.5		0	0	Chord	2/2	1	1	1/8	1/8	1	79							
8	7	53/2	53/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	80							
8	7	27	27	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	81							
8	7	55/2	55/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	82							
8	7	28	28	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	83							
8	7	57/2	57/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	84							
8	7	29	29	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	85							
8	7	59/2	59/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	86							
8	7	26	26	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	87							
8	7	27	27	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	88							
8	7	55/2	55/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	89							
8	7	28	28	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	90							
8	7	29	29	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	91							
9	8		30	2.0	1	0	0	Chord	2/2	1	1	1/2	1/2	1	92							
9	8		32	0.5	1	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	93							10
9	8		65/2	0.5	1	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	94							
9	8		33	0.5	1	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	95							11
9	8		67/2	0.5	1	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	96							
9	8		30	0.5	1	0	0	Chord	2/2	2	1	1/8	1/8	1	97							
9	8		61/2	0.5	1	1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	98							
9	8		31	0.5	1	1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	99							
9	8		63/2	0.5	1	3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	100							
9	8		32	1.0	1	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	101							
10	8	30	34	2.0	2	0	0	Chord	2/2	1	1	1/2	1/2	1	102							
10	8	30	34	2.0	2	0	0	Chord	2/2	2	1	1/2	1/2	1	103							
11	8	32	36	0.5		0	1/2	Chord	2/2	1	1	1/8	1/8	1	104							
11	8	65/2	73/2	0.5		1/8	5/8	Chord	2/2	1	1	1/8	1/8	1	105							
11	8	33	37	0.5		1/4	3/4	Chord	2/2	1	1	1/8	1/8	1	106							
11	8	67/2	75/2	0.5		3/8	7/8	Chord	2/2	1	1	1/8	1/8	1	107							
12	9	34	38	1.5		0	0	Chord	2/2	1	1	3/8	1/4	3/2	108							
12	9	71/2	79/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	109							
12	9	36	40	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	110							
12	9	73/2	81/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	111							
12	9	37	41	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	112							
12	9	75/2	83/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	113							
12	9	34	38	0.5		0	0	Chord	2/2	2	1	1/8	1/8	1	114							
12	9	69/2	77/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	115							
12	9	35	39	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	116							
12	9	71/2	79/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	117							
12	9	36	40	1.5		1/2	1/2	Chord	2/2	2	1	3/8	1/4	3/2	118							
12	9	75/2	83/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	119							
13	10	38	42	2.0		0	0	Chord	2/2	1	1	1/2	1/2	1	120							
13	10	40	44	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	121							
13	10	81/2	89/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	122							
13	10	41	45	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	123							
13	10	83/2	91/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	124							
13	10	38	42	0.5		0	0	Chord	2/2	2	1	1/8	1/8	1	125							
13	10	77/2	85/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	126							
13	10	39	43	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	127							
13	10	79/2	87/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	128							
13	10	40	44	2.0		1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	129							
14	11	42	46	0.5		0	0	Chord	2/2	1	1	1/8	1/8	1	130							
14	11	85/2	93/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	131							
14	11	43	47	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	132							
14	11	87/2	95/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	133							
14	11	44	48	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	134							
14	11	89/2	97/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	135							
14	11	45	49	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	136							
14	11	91/2	99/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	137							
14	11	42	46	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	138							
14	11	43	47	1.0		1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	139							
14	11	44	48	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	140							
14	11	45	49	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	141							
15	12	46	50	0.5		0	0	Chord	2/2	1	1	1/8	1/8	1	142							
15	12	93/2	101/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	143							
15	12	47	51	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	144							
15	12	95/2	103/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	145							
15	12	48	52	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	146							
15	12	97/2	105/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	147							
15	12	49	53	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	148							
15	12	99/2	107/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	149							
15	12	46	50	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	150							
15	12	47	51	1.0		1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	151							
15	12	48	52	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	152							
15	12	49	53	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	153							
16	13	50	54	1.5		0	0	Chord	2/2	1	1	3/8	1/4	3/2	154							
16	13	103/2	111/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	155							
16	13	52	56	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	156							
16	13	105/2	113/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	157							
16	13	53	57	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	158							
16	13	107/2	115/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	159							
16	13	50	54	0.5		0	0	Chord	2/2	2	1	1/8	1/8	1	160							
16	13	101/2	109/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	161							
16	13	51	55	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	162							
16	13	103/2	111/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	163							
16	13	52	56	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	164							
16	13	53	57	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	165							
17	14	54	58	1.5		0	0	Chord	2/2	1	1	3/8	1/4	3/2	166							
17	14	111/2	119/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	167							
17	14	56	60	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	168							12
17	14	113/2	121/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	169							
17	14	57	61	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	170							13
17	14	115/2	123/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	171							
17	14	54	58	0.5		0	0	Chord	2/2	2	1	1/8	1/8	1	172							
17	14	109/2	117/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	173							
17	14	55	59	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	174							
17	14	111/2	119/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	175							
