mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	0	0	0	0.0	0	11/16	StaffText	12/16	1	1	0				7. Gigue					
1	0	0	0	0.0	0	11/16	Tempo	12/16	1	1	0					𝅘𝅥𝅮.=140	105.0	𝅘𝅥𝅮.	140.0	0.0
1	0	0	0	0.25	0	11/16	Chord	12/16	1	1	1/16	1/16	1	0						
2	1	1/4	1/4	0.25	0	0	Chord	12/16	1	1	1/16	1/16	1	1						
2	1	1/2	1/2	0.25	1/16	1/16	Chord	12/16	1	1	1/16	1/16	1	2						
2	1	3/4	3/4	0.25	1/8	1/8	Chord	12/16	1	1	1/16	1/16	1	3						
2	1	1	1	0.25	3/16	3/16	Chord	12/16	1	1	1/16	1/16	1	4						
2	1	5/4	5/4	0.25	1/4	1/4	Chord	12/16	1	1	1/16	1/16	1	5						
2	1	3/2	3/2	0.25	5/16	5/16	Chord	12/16	1	1	1/16	1/16	1	6						
2	1	7/4	7/4	0.25	3/8	3/8	Chord	12/16	1	1	1/16	1/16	1	7						
2	1	2	2	0.25	7/16	7/16	Chord	12/16	1	1	1/16	1/16	1	8						
2	1	9/4	9/4	0.25	1/2	1/2	Chord	12/16	1	1	1/16	1/16	1	9						
2	1	5/2	5/2	0.25	9/16	9/16	Chord	12/16	1	1	1/16	1/16	1	10						
2	1	11/4	11/4	0.25	5/8	5/8	Chord	12/16	1	1	1/16	1/16	1	11						
2	1	3	3	0.25	11/16	11/16	Chord	12/16	1	1	1/16	1/16	1	12						
3	2	13/4	13/4	0.25	0	0	Chord	12/16	1	1	1/16	1/16	1	13						
3	2	7/2	7/2	0.25	1/16	1/16	Chord	12/16	1	1	1/16	1/16	1	14						
3	2	15/4	15/4	0.25	1/8	1/8	Chord	12/16	1	1	1/16	1/16	1	15						
3	2	4	4	0.5	3/16	3/16	Chord	12/16	1	1	1/8	1/8	1	16						
3	2	9/2	9/2	0.25	5/16	5/16	Chord	12/16	1	1	1/16	1/16	1	17						
3	2	19/4	19/4	0.25	3/8	3/8	Chord	12/16	1	1	1/16	1/16	1	18						
3	2	5	5	0.25	7/16	7/16	Chord	12/16	1	1	1/16	1/16	1	19						
3	2	21/4	21/4	0.25	1/2	1/2	Chord	12/16	1	1	1/16	1/16	1	20						
3	2	11/2	11/2	0.5	9/16	9/16	Chord	12/16	1	1	1/8	1/8	1	21						
3	2	6	6	0.25	11/16	11/16	Chord	12/16	1	1	1/16	1/16	1	22						
4	3	25/4	25/4	0.25	0	0	Chord	12/16	1	1	1/16	1/16	1	23						
4	3	13/2	13/2	0.25	1/16	1/16	Chord	12/16	1	1	1/16	1/16	1	24						
4	3	27/4	27/4	0.25	1/8	1/8	Chord	12/16	1	1	1/16	1/16	1	25						
4	3	7	7	0.25	3/16	3/16	Chord	12/16	1	1	1/16	1/16	1	26						
4	3	29/4	29/4	0.25	1/4	1/4	Chord	12/16	1	1	1/16	1/16	1	27						
4	3	15/2	15/2	0.25	5/16	5/16	Chord	12/16	1	1	1/16	1/16	1	28						
4	3	31/4	31/4	0.25	3/8	3/8	Chord	12/16	1	1	1/16	1/16	1	29						
4	3	8	8	0.25	7/16	7/16	Chord	12/16	1	1	1/16	1/16	1	30						
4	3	33/4	33/4	0.25	1/2	1/2	Chord	12/16	1	1	1/16	1/16	1	31						
4	3	17/2	17/2	0.25	9/16	9/16	Chord	12/16	1	1	1/16	1/16	1	32						
4	3	35/4	35/4	0.25	5/8	5/8	Chord	12/16	1	1	1/16	1/16	1	33						
4	3	9	9	0.25	11/16	11/16	Chord	12/16	1	1	1/16	1/16	1	34						
4	3	9	9	0.25	11/16	11/16	Chord	12/16	1	2	1/16	1/16	1	35						
5	4	37/4	37/4	0.5	0	0	Chord	12/16	1	1	1/8	1/8	1	36						
5	4	39/4	39/4	0.25	1/8	1/8	Chord	12/16	1	1	1/16	1/16	1	37						
5	4	10	10	0.5	3/16	3/16	Chord	12/16	1	1	1/8	1/8	1	38						
5	4	21/2	21/2	0.25	5/16	5/16	Chord	12/16	1	1	1/16	1/16	1	39						
5	4	43/4	43/4	0.5	3/8	3/8	Chord	12/16	1	1	1/8	1/8	1	40						
5	4	45/4	45/4	0.25	1/2	1/2	Chord	12/16	1	1	1/16	1/16	1	41						
5	4	23/2	23/2	0.5	9/16	9/16	Chord	12/16	1	1	1/8	1/8	1	42						
5	4	12	12	0.25	11/16	11/16	Chord	12/16	1	1	1/16	1/16	1	43						
5	4	37/4	37/4	0.25	0	0	Chord	12/16	1	2	1/16	1/16	1	44						
5	4	19/2	19/2	0.25	1/16	1/16	Chord	12/16	1	2	1/16	1/16	1	45						
5	4	39/4	39/4	0.25	1/8	1/8	Chord	12/16	1	2	1/16	1/16	1	46						
5	4	10	10	0.25	3/16	3/16	Chord	12/16	1	2	1/16	1/16	1	47						
5	4	41/4	41/4	0.25	1/4	1/4	Chord	12/16	1	2	1/16	1/16	1	48						
5	4	21/2	21/2	0.25	5/16	5/16	Chord	12/16	1	2	1/16	1/16	1	49						
5	4	43/4	43/4	0.25	3/8	3/8	Chord	12/16	1	2	1/16	1/16	1	50						
5	4	11	11	0.25	7/16	7/16	Chord	12/16	1	2	1/16	1/16	1	51						
5	4	45/4	45/4	0.25	1/2	1/2	Chord	12/16	1	2	1/16	1/16	1	52						
5	4	23/2	23/2	0.25	9/16	9/16	Chord	12/16	1	2	1/16	1/16	1	53						
5	4	47/4	47/4	0.25	5/8	5/8	Chord	12/16	1	2	1/16	1/16	1	54						
