mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	0	0	0	0.0	0	5/8	Tempo	3/4	1	1	0					𝅘𝅥=120	120.0	𝅘𝅥	120.0	0.0
1	0	0	0	0.0	0	5/8	Tempo	3/4	1	1	0					𝅘𝅥=120	120.0	𝅘𝅥	120.0	0.0
1	0	0	0	0.5	0	5/8	Chord	3/4	1	1	1/8	1/8	1	0						
2	1	1/2	1/2	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	1						
2	1	3/2	3/2	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	2						
2	1	11/6	11/6	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	3						
2	1	13/6	13/6	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	4						
2	1	5/2	5/2	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	5						
2	1	17/6	17/6	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	6						
2	1	19/6	19/6	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	7						
2	1	5/4	5/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	8						
2	1	3/2	3/2	0.75	1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	9						
2	1	9/4	9/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	10						
2	1	5/2	5/2	0.75	1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	11						
2	1	13/4	13/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	12						
2	1	1/2	1/2	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	13						
3	2	7/2	7/2	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	14						
3	2	23/6	23/6	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	15						
3	2	25/6	25/6	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	16						
3	2	9/2	9/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	17						
3	2	11/2	11/2	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	18						
3	2	35/6	35/6	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	19						
3	2	37/6	37/6	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	20						
3	2	7/2	7/2	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	21						
3	2	7/2	7/2	0.75	0	0	Chord	3/4	2	2	3/16	1/8	3/2	22						
3	2	17/4	17/4	0.25	3/16	3/16	Chord	3/4	2	2	1/16	1/16	1	23						
3	2	9/2	9/2	0.75	1/4	1/4	Chord	3/4	2	2	3/16	1/8	3/2	24						
3	2	21/4	21/4	0.25	7/16	7/16	Chord	3/4	2	2	1/16	1/16	1	25						
3	2	11/2	11/2	0.75	1/2	1/2	Chord	3/4	2	2	3/16	1/8	3/2	26						
3	2	25/4	25/4	0.25	11/16	11/16	Chord	3/4	2	2	1/16	1/16	1	27						
4	3	13/2	13/2	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	28						
4	3	41/6	41/6	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	29						
4	3	43/6	43/6	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	30						
4	3	15/2	15/2	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	31						
4	3	47/6	47/6	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	32						
4	3	49/6	49/6	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	33						
4	3	17/2	17/2	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	34						
4	3	53/6	53/6	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	35						
4	3	55/6	55/6	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	36						
4	3	13/2	13/2	0.75	0	0	Chord	3/4	2	2	3/16	1/8	3/2	37						
4	3	29/4	29/4	0.25	3/16	3/16	Chord	3/4	2	2	1/16	1/16	1	38						
4	3	15/2	15/2	0.75	1/4	1/4	Chord	3/4	2	2	3/16	1/8	3/2	39						
4	3	33/4	33/4	0.25	7/16	7/16	Chord	3/4	2	2	1/16	1/16	1	40						
4	3	17/2	17/2	0.75	1/2	1/2	Chord	3/4	2	2	3/16	1/8	3/2	41						
4	3	37/4	37/4	0.25	11/16	11/16	Chord	3/4	2	2	1/16	1/16	1	42						
5	4	19/2	19/2	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	43						
5	4	59/6	59/6	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	44						
5	4	61/6	61/6	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	45						
5	4	21/2	21/2	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	46						
5	4	65/6	65/6	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	47						
5	4	67/6	67/6	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	48						
5	4	23/2	23/2	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	49						
5	4	71/6	71/6	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	50						
5	4	73/6	73/6	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	51						
5	4	19/2	19/2	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	52						
5	4	41/4	41/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	53						
5	4	21/2	21/2	0.75	1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	54						
5	4	45/4	45/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	55						
5	4	23/2	23/2	0.75	1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	56						
5	4	49/4	49/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	57						
