mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	11/8	Tempo	3/2	1	1	0						𝅗𝅥=70	140.0	𝅗𝅥	70.0	0.0	
1	0	0	0	0.5	0	11/8	Chord	3/2	1	1	1/8		1/8	1	0							
2	1	1/2	1/2	3.0	0	0	Chord	3/2	1	1	3/4		1/2	3/2	1							
2	1	7/2	7/2	1.0	3/4	3/4	Chord	3/2	1	1	1/4		1/4	1	2							
2	1	9/2	9/2	1.5	1	1	Chord	3/2	1	1	3/8		1/4	3/2	3	ornamentMordent						
2	1	6	6	0.5	11/8	11/8	Chord	3/2	1	1	1/8		1/8	1	4							
2	1	1	1	0.5	1/8	1/8	Chord	3/2	1	2	1/8		1/8	1	5							
2	1	3/2	3/2	2.0	1/4	1/4	Chord	3/2	1	2	1/2		1/2	1	6							
2	1	3/2	3/2	2.0	1/4	1/4	Chord	3/2	1	3	1/2		1/2	1	7							
2	1	1/2	1/2	1.5	0	0	Chord	3/2	2	1	3/8		1/4	3/2	8							
2	1	2	2	0.25	3/8	3/8	Chord	3/2	2	1	1/16		1/16	1	9							
2	1	9/4	9/4	0.25	7/16	7/16	Chord	3/2	2	1	1/16		1/16	1	10							
2	1	5/2	5/2	0.5	1/2	1/2	Chord	3/2	2	1	1/8		1/8	1	11							
2	1	3	3	0.25	5/8	5/8	Chord	3/2	2	1	1/16		1/16	1	12							
2	1	13/4	13/4	0.25	11/16	11/16	Chord	3/2	2	1	1/16		1/16	1	13							
2	1	7/2	7/2	1.0	3/4	3/4	Chord	3/2	2	1	1/4		1/4	1	14							
2	1	9/2	9/2	1.0	1	1	Chord	3/2	2	1	1/4		1/4	1	15	ornamentShortTrill						
2	1	11/2	11/2	1.0	5/4	5/4	Chord	3/2	2	1	1/4		1/4	1	16							
3	2	13/2	13/2	1.5	0	0	Chord	3/2	1	1	3/8		1/4	3/2	17	ornamentMordent						
3	2	8	8	0.5	3/8	3/8	Chord	3/2	1	1	1/8		1/8	1	18							
3	2	17/2	17/2	1.5	1/2	1/2	Chord	3/2	1	1	3/8		1/4	3/2	19	ornamentMordent						
3	2	10	10	0.5	7/8	7/8	Chord	3/2	1	1	1/8		1/8	1	20							
3	2	21/2	21/2	1.5	1	1	Chord	3/2	1	1	3/8		1/4	3/2	21	ornamentShortTrill						
3	2	12	12	0.5	11/8	11/8	Chord	3/2	1	1	1/8		1/8	1	22							
3	2	13/2	13/2	1.0	0	0	Chord	3/2	2	1	1/4		1/4	1	23							
3	2	15/2	15/2	1.0	1/4	1/4	Chord	3/2	2	1	1/4		1/4	1	24	ornamentShortTrill						
3	2	17/2	17/2	1.0	1/2	1/2	Chord	3/2	2	1	1/4		1/4	1	25							
3	2	19/2	19/2	1.0	3/4	3/4	Chord	3/2	2	1	1/4		1/4	1	26							
3	2	21/2	21/2	1.0	1	1	Chord	3/2	2	1	1/4		1/4	1	27	ornamentMordent						
