mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text
1	0	0	0	0.0	0	3/16	StaffText	3/8	1	1	0					6. Gigue
1	0	0	0	0.25	0	3/16	Chord	3/8	1	1	1/16	1/16	1	0		
1	0	1/4	1/4	0.5	1/16	1/4	Chord	3/8	1	1	1/8	1/8	1	1		
2	1	3/4	3/4	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	2	ornamentMordent	
2	1	3/2	3/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	3		
2	1	7/4	7/4	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	4		
2	1	3/2	3/2	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	5		
2	1	7/4	7/4	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	6		
3	2	9/4	9/4	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	7		
3	2	3	3	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	8		
3	2	13/4	13/4	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	9		
3	2	9/4	9/4	0.75	0	0	Chord	3/8	2	1	3/16	1/8	3/2	10	ornamentMordent	
3	2	3	3	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	11		
3	2	13/4	13/4	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	12		
4	3	15/4	15/4	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	13	ornamentShortTrill	
4	3	9/2	9/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	14		
4	3	19/4	19/4	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	15		
4	3	15/4	15/4	0.75	0	0	Chord	3/8	2	1	3/16	1/8	3/2	16		
4	3	9/2	9/2	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	17		
4	3	19/4	19/4	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	18		
5	4	21/4	21/4	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	19		
5	4	6	6	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	20		
5	4	25/4	25/4	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	21		
