mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	0	0	0	0.0	0	9/8	StaffText	6/4	1	1	0						"6. Loure
"					
1	0	0	0	0.0	0	9/8	Tempo	6/4	1	1	0							𝅗𝅥.=40	120.0	𝅗𝅥.	40.0	1.0
1	0	0	0	0.5	0	9/8	Chord	6/4	1	2	1/8		1/8	1	0							
1	0	1/2	1/2	1.0	1/8	5/4	Chord	6/4	1	2	1/4		1/4	1	1							
2	1	3/2	3/2	0.0	0	0	Chord	6/4	1	2	0	appoggiatura	1/8	1	2							
2	1	3/2	3/2	3.0	0	0	Chord	6/4	1	2	3/4		1/2	3/2	3							
2	1	9/2	9/2	1.5	3/4	3/4	Chord	6/4	1	2	3/8		1/4	3/2	4							
2	1	6	6	0.5	9/8	9/8	Chord	6/4	1	2	1/8		1/8	1	5							
2	1	13/2	13/2	1.0	5/4	5/4	Chord	6/4	1	2	1/4		1/4	1	6							
2	1	3	3	0.5	3/8	3/8	Chord	6/4	2	1	1/8		1/8	1	7							
2	1	7/2	7/2	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	8							
2	1	9/2	9/2	1.5	3/4	3/4	Chord	6/4	2	1	3/8		1/4	3/2	9							
2	1	6	6	0.5	9/8	9/8	Chord	6/4	2	1	1/8		1/8	1	10							
2	1	13/2	13/2	0.25	5/4	5/4	Chord	6/4	2	1	1/16		1/16	1	11							
2	1	27/4	27/4	0.25	21/16	21/16	Chord	6/4	2	1	1/16		1/16	1	12							
2	1	7	7	0.25	11/8	11/8	Chord	6/4	2	1	1/16		1/16	1	13							
2	1	29/4	29/4	0.25	23/16	23/16	Chord	6/4	2	1	1/16		1/16	1	14							
3	2	15/2	15/2	3.0	0	0	Chord	6/4	1	1	3/4		1/2	3/2	15							
3	2	21/2	21/2	1.5	3/4	3/4	Chord	6/4	1	1	3/8		1/4	3/2	16							
3	2	12	12	0.5	9/8	9/8	Chord	6/4	1	1	1/8		1/8	1	17							
3	2	25/2	25/2	1.0	5/4	5/4	Chord	6/4	1	1	1/4		1/4	1	18							
3	2	15/2	15/2	3.0	0	0	Chord	6/4	1	2	3/4		1/2	3/2	19							
3	2	21/2	21/2	1.5	3/4	3/4	Chord	6/4	1	2	3/8		1/4	3/2	20							
3	2	12	12	0.5	9/8	9/8	Chord	6/4	1	2	1/8		1/8	1	21							
3	2	25/2	25/2	1.0	5/4	5/4	Chord	6/4	1	2	1/4		1/4	1	22							
3	2	9	9	0.5	3/8	3/8	Chord	6/4	2	1	1/8		1/8	1	23							
3	2	19/2	19/2	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	24							
3	2	21/2	21/2	1.5	3/4	3/4	Chord	6/4	2	1	3/8		1/4	3/2	25							
3	2	12	12	0.5	9/8	9/8	Chord	6/4	2	1	1/8		1/8	1	26							
3	2	25/2	25/2	1.0	5/4	5/4	Chord	6/4	2	1	1/4		1/4	1	27							
4	3	27/2	27/2	1.5	0	0	Chord	6/4	1	1	3/8		1/4	3/2	28							
4	3	15	15	0.5	3/8	3/8	Chord	6/4	1	1	1/8		1/8	1	29							
4	3	31/2	31/2	1.0	1/2	1/2	Chord	6/4	1	1	1/4		1/4	1	30							
4	3	33/2	33/2	1.5	3/4	3/4	Chord	6/4	1	1	3/8		1/4	3/2	31	ornamentShortTrill						
4	3	18	18	0.5	9/8	9/8	Chord	6/4	1	1	1/8		1/8	1	32							
4	3	37/2	37/2	0.25	5/4	5/4	Chord	6/4	1	1	1/16		1/16	1	33							
4	3	75/4	75/4	0.25	21/16	21/16	Chord	6/4	1	1	1/16		1/16	1	34							
4	3	19	19	0.5	11/8	11/8	Chord	6/4	1	1	1/8		1/8	1	35							
4	3	27/2	27/2	1.0	0	0	Chord	6/4	1	2	1/4		1/4	1	36							
4	3	29/2	29/2	2.0	1/4	1/4	Chord	6/4	1	2	1/2		1/2	1	37							
4	3	33/2	33/2	1.0	3/4	3/4	Chord	6/4	1	2	1/4		1/4	1	38							
4	3	35/2	35/2	2.0	1	1	Chord	6/4	1	2	1/2		1/2	1	39							
4	3	27/2	27/2	1.0	0	0	Chord	6/4	2	2	1/4		1/4	1	40							
4	3	29/2	29/2	1.0	1/4	1/4	Chord	6/4	2	2	1/4		1/4	1	41							
4	3	31/2	31/2	1.0	1/2	1/2	Chord	6/4	2	2	1/4		1/4	1	42							
4	3	33/2	33/2	0.25	3/4	3/4	Chord	6/4	2	2	1/16		1/16	1	43							
4	3	67/4	67/4	0.25	13/16	13/16	Chord	6/4	2	2	1/16		1/16	1	44							
4	3	17	17	0.25	7/8	7/8	Chord	6/4	2	2	1/16		1/16	1	45							
4	3	69/4	69/4	0.25	15/16	15/16	Chord	6/4	2	2	1/16		1/16	1	46							
4	3	35/2	35/2	1.0	1	1	Chord	6/4	2	2	1/4		1/4	1	47							
4	3	37/2	37/2	1.0	5/4	5/4	Chord	6/4	2	2	1/4		1/4	1	48							
5	4	39/2	39/2	1.5	0	0	Chord	6/4	1	1	3/8		1/4	3/2	49	ornamentShortTrill						
5	4	21	21	0.5	3/8	3/8	Chord	6/4	1	1	1/8		1/8	1	50							
5	4	43/2	43/2	1.0	1/2	1/2	Chord	6/4	1	1	1/4		1/4	1	51							
5	4	45/2	45/2	1.5	3/4	3/4	Chord	6/4	1	1	3/8		1/4	3/2	52							
5	4	24	24	0.5	9/8	9/8	Chord	6/4	1	1	1/8		1/8	1	53							
5	4	49/2	49/2	1.0	5/4	5/4	Chord	6/4	1	1	1/4		1/4	1	54							
5	4	39/2	39/2	3.0	0	0	Chord	6/4	1	2	3/4		1/2	3/2	55							
5	4	45/2	45/2	1.0	3/4	3/4	Chord	6/4	1	2	1/4		1/4	1	56							
5	4	39/2	39/2	1.0	0	0	Chord	6/4	2	2	1/4		1/4	1	57							
5	4	41/2	41/2	1.0	1/4	1/4	Chord	6/4	2	2	1/4		1/4	1	58							
5	4	43/2	43/2	1.0	1/2	1/2	Chord	6/4	2	2	1/4		1/4	1	59							
5	4	45/2	45/2	2.0	3/4	3/4	Chord	6/4	2	2	1/2		1/2	1	60							
6	5	51/2	51/2	1.5	0	0	Chord	6/4	1	1	3/8		1/4	3/2	61	ornamentMordent						
6	5	27	27	0.5	3/8	3/8	Chord	6/4	1	1	1/8		1/8	1	62							
6	5	55/2	55/2	1.0	1/2	1/2	Chord	6/4	1	1	1/4		1/4	1	63							
6	5	57/2	57/2	1.5	3/4	3/4	Chord	6/4	1	1	3/8		1/4	3/2	64							
6	5	30	30	0.5	9/8	9/8	Chord	6/4	1	1	1/8		1/8	1	65							
