mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	0	0	0	0.0	0	1/2	Tempo	2/2	1	1	0					𝅗𝅥=80	160.0	𝅗𝅥	80.0	0.0
1	0	0	0	1.0	0	1/2	Chord	2/2	1	1	1/4	1/4	1	0						
1	0	1	1	0.5	1/4	3/4	Chord	2/2	1	1	1/8	1/8	1	1						
1	0	3/2	3/2	0.5	3/8	7/8	Chord	2/2	1	1	1/8	1/8	1	2						
1	0	0	0	1.0	0	1/2	Chord	2/2	2	1	1/4	1/4	1	3						
1	0	1	1	1.0	1/4	3/4	Chord	2/2	2	1	1/4	1/4	1	4						
1	0	0	0	2.0	0	1/2	Chord	2/2	2	2	1/2	1/2	1	5						
2	1	2	2	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	6						
2	1	3	3	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	7						
2	1	7/2	7/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	8						
2	1	4	4	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	9						
2	1	5	5	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	10						
2	1	11/2	11/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	11						
2	1	2	2	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	12						
2	1	3	3	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	13						
2	1	4	4	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	14						
2	1	5	5	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	15						
2	1	2	2	4.0	0	0	Chord	2/2	2	2	1	1	1	16						
3	2	6	6	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	17						
3	2	7	7	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	18						
3	2	8	8	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	19						
3	2	9	9	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	20						
3	2	19/2	19/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	21						
3	2	6	6	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	22						
3	2	7	7	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	23						
3	2	8	8	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	24						
3	2	9	9	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	25						
3	2	6	6	4.0	0	0	Chord	2/2	2	2	1	1	1	26						
4	3	10	10	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	27						
4	3	21/2	21/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	28						
4	3	11	11	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	29						
4	3	23/2	23/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	30						
4	3	12	12	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	31						
4	3	25/2	25/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	32						
4	3	13	13	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	33						
4	3	27/2	27/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	34						
4	3	10	10	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	35						
4	3	11	11	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	36						
4	3	12	12	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	37						
4	3	13	13	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	38						
4	3	10	10	4.0	0	0	Chord	2/2	2	2	1	1	1	39						
5	4	14	14	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	40						
5	4	14	14	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	41						
5	4	14	14	2.0	0	0	Chord	2/2	2	2	1/2	1/2	1	42						
6	4	16	16	1.0	0	1/2	Chord	2/2	1	1	1/4	1/4	1	43						
6	4	17	17	0.5	1/4	3/4	Chord	2/2	1	1	1/8	1/8	1	44						
6	4	35/2	35/2	0.5	3/8	7/8	Chord	2/2	1	1	1/8	1/8	1	45						
6	4	16	16	1.0	0	1/2	Chord	2/2	2	1	1/4	1/4	1	46						
6	4	17	17	1.0	1/4	3/4	Chord	2/2	2	1	1/4	1/4	1	47						
6	4	16	16	2.0	0	1/2	Chord	2/2	2	2	1/2	1/2	1	48						
7	5	18	18	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	49						
7	5	19	19	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	50						
