mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0		0	0	StaffText	3/4	1	1	0					5. Menuet I						
1	1	0	0	0.0		0	0	Tempo	3/4	1	1	0						𝅘𝅥=140	140.0	𝅘𝅥	140.0	0.0	
1	1	0	0	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	0								
1	1	1/2	1/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	1								
1	1	1	1	1.5		1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	2	ornamentShortTrill							
1	1	5/2	5/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	3								
1	1	11/4	11/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	4								
1	1	0	0	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	5								
1	1	1	1	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	6								
1	1	3/2	3/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	7								
1	1	2	2	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	8								
1	1	5/2	5/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	9								
2	2	3	3	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	10								
2	2	7/2	7/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	11								
2	2	4	4	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	12								
2	2	5	5	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	13								
2	2	3	3	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	14								
2	2	4	4	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	15								
2	2	9/2	9/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	16								
2	2	5	5	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	17								
2	2	11/2	11/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	18								
3	3	6	6	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	19								
3	3	13/2	13/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	20								
3	3	7	7	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	21								
3	3	8	8	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	22								
3	3	6	6	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	23								
3	3	13/2	13/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	24								
3	3	7	7	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	25								
3	3	15/2	15/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	26								
3	3	8	8	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	27								
3	3	17/2	17/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	28								
4	4	9	9	3.0		0	0	Chord	3/4	1	1	3/4	1/2	3/2	29	ornamentShortTrill							
4	4	9	9	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	30								
4	4	19/2	19/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	31								
4	4	10	10	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	32								
4	4	21/2	21/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	33								
4	4	11	11	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	34								
4	4	23/2	23/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	35								
5	5	12	12	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	36								
5	5	25/2	25/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	37								
5	5	13	13	1.5		1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	38	ornamentShortTrill							
5	5	29/2	29/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	39								
5	5	59/4	59/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	40								
5	5	12	12	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	41								
5	5	25/2	25/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	42								
5	5	13	13	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	43								
5	5	27/2	27/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	44								
5	5	14	14	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	45								
5	5	29/2	29/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	46								
6	6	15	15	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	47								
6	6	31/2	31/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	48								
6	6	16	16	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	49								
6	6	17	17	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	50								
6	6	15	15	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	51								
6	6	16	16	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	52								
6	6	33/2	33/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	53								
6	6	17	17	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	54								
6	6	35/2	35/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	55								
7	7	18	18	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	56								0
7	7	37/2	37/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	57								0
7	7	19	19	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	58								0
7	7	39/2	39/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	59								0
7	7	20	20	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	60								0
7	7	41/2	41/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	61								
7	7	18	18	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	62								
7	7	19	19	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	63								
7	7	20	20	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	64								
8	8	21	21	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	65								1
8	8	43/2	43/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	66								1
8	8	22	22	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	67								1
8	8	45/2	45/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	68								1
8	8	23	23	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	69								1
