mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	0	3.0	-3	3/4	3/4	0						firstMeasure	2
2	2	3	3	3.0	-3	3/4	3/4	0							3
3	3	6	6	3.0	-3	3/4	3/4	0					line		4
4	4	9	9	3.0	-3	3/4	3/4	0							5
5	5	12	12	3.0	-3	3/4	3/4	0							6
6	6	15	15	3.0	-3	3/4	3/4	0					line		7
7	7	18	18	3.0	-3	3/4	3/4	0							8, 9
8	8		21	3.0	-3	3/4	3/4	0	1					end	1
9	8	21	24	3.0	-3	3/4	3/4	0	2		1		line		10
10	9	24	27	3.0	-3	3/4	3/4	0				start-repeat		start	11
11	10	27	30	3.0	-3	3/4	3/4	0							12
12	11	30	33	3.0	-3	3/4	3/4	0					line		13
13	12	33	36	3.0	-3	3/4	3/4	0							14
14	13	36	39	3.0	-3	3/4	3/4	0							15
15	14	39	42	3.0	-3	3/4	3/4	0					line		16
16	15	42	45	3.0	-3	3/4	3/4	0							17, 18
17	16		48	3.0	-3	3/4	3/4	0	1					end	10
18	16	45	51	3.0	-3	3/4	3/4	0	2		1	end	line	lastMeasure	-1
