mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	1.5	-2	3/4	3/8	3/8			1			firstMeasure	2
2	1	3/2	3.0	-2	3/4	3/4	0							3
3	2	9/2	3.0	-2	3/4	3/4	0							4
4	3	15/2	3.0	-2	3/4	3/4	0							5
5	4	21/2	3.0	-2	3/4	3/4	0					line		6
6	5	27/2	3.0	-2	3/4	3/4	0							7
7	6	33/2	3.0	-2	3/4	3/4	0							8
8	7	39/2	3.0	-2	3/4	3/4	0							9
9	8	45/2	3.0	-2	3/4	3/4	0							10
10	9	51/2	3.0	-2	3/4	3/4	0					line		11
11	10	57/2	3.0	-2	3/4	3/4	0							12
12	11	63/2	3.0	-2	3/4	3/4	0							13
13	12	69/2	3.0	-2	3/4	3/4	0							14
14	13	75/2	3.0	-2	3/4	3/4	0							15
15	14	81/2	3.0	-2	3/4	3/4	0					line		16
16	15	87/2	3.0	-2	3/4	3/4	0							17
17	16	93/2	3.0	-2	3/4	3/4	0							18
18	17	99/2	3.0	-2	3/4	3/4	0							19
19	18	105/2	3.0	-2	3/4	3/4	0							20
20	19	111/2	3.0	-2	3/4	3/4	0					line		21
21	20	117/2	3.0	-2	3/4	3/4	0							22
22	21	123/2	3.0	-2	3/4	3/4	0							23
23	22	129/2	3.0	-2	3/4	3/4	0							24
24	23	135/2	3.0	-2	3/4	3/4	0							25
25	24	141/2	1.5	-2	3/4	3/8	0					line	end	1, 26
26	24	72	1.5	-2	3/4	3/8	3/8			1	start-repeat		start	27
27	25	147/2	3.0	-2	3/4	3/4	0							28
28	26	153/2	3.0	-2	3/4	3/4	0							29
29	27	159/2	3.0	-2	3/4	3/4	0							30
30	28	165/2	3.0	-2	3/4	3/4	0					line		31
31	29	171/2	3.0	-2	3/4	3/4	0							32
32	30	177/2	3.0	-2	3/4	3/4	0							33
33	31	183/2	3.0	-2	3/4	3/4	0							34
34	32	189/2	3.0	-2	3/4	3/4	0							35
35	33	195/2	3.0	-2	3/4	3/4	0					line		36
36	34	201/2	3.0	-2	3/4	3/4	0							37
37	35	207/2	3.0	-2	3/4	3/4	0							38
38	36	213/2	3.0	-2	3/4	3/4	0							39
39	37	219/2	3.0	-2	3/4	3/4	0					line		40
40	38	225/2	3.0	-2	3/4	3/4	0							41
41	39	231/2	3.0	-2	3/4	3/4	0							42
42	40	237/2	3.0	-2	3/4	3/4	0							43
43	41	243/2	3.0	-2	3/4	3/4	0							44
44	42	249/2	3.0	-2	3/4	3/4	0					line		45
45	43	255/2	3.0	-2	3/4	3/4	0							46
46	44	261/2	3.0	-2	3/4	3/4	0							47
47	45	267/2	3.0	-2	3/4	3/4	0							48
48	46	273/2	3.0	-2	3/4	3/4	0							49
49	47	279/2	3.0	-2	3/4	3/4	0					line		50
50	48	285/2	3.0	-2	3/4	3/4	0							51
51	49	291/2	3.0	-2	3/4	3/4	0							52
52	50	297/2	3.0	-2	3/4	3/4	0							53
53	51	303/2	3.0	-2	3/4	3/4	0							54
54	52	309/2	3.0	-2	3/4	3/4	0					line		55
55	53	315/2	3.0	-2	3/4	3/4	0							56
56	54	321/2	3.0	-2	3/4	3/4	0							57
57	55	327/2	3.0	-2	3/4	3/4	0							58
58	56	333/2	3.0	-2	3/4	3/4	0							59
59	57	339/2	1.5	-2	3/4	3/8	0					line	end	26, -1
