mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	1.5	1	6/4	3/8	9/8			1			firstMeasure	2
2	1	3/2	6.0	1	6/4	3/2	0							3
3	2	15/2	6.0	1	6/4	3/2	0					line		4
4	3	27/2	6.0	1	6/4	3/2	0							5
5	4	39/2	6.0	1	6/4	3/2	0							6
6	5	51/2	6.0	1	6/4	3/2	0					line		7
7	6	63/2	6.0	1	6/4	3/2	0							8
8	7	75/2	6.0	1	6/4	3/2	0							9
9	8	87/2	4.5	1	6/4	9/8	0					line	end	1, 10
10	8	48	1.5	1	6/4	3/8	9/8			1	start-repeat		start	11
11	9	99/2	6.0	1	6/4	3/2	0							12
12	10	111/2	6.0	1	6/4	3/2	0							13
13	11	123/2	6.0	1	6/4	3/2	0					line		14
14	12	135/2	6.0	1	6/4	3/2	0							15
15	13	147/2	6.0	1	6/4	3/2	0					line		16
16	14	159/2	6.0	1	6/4	3/2	0							17
17	15	171/2	6.0	1	6/4	3/2	0							18
18	16	183/2	4.5	1	6/4	9/8	0					line	end	10, -1
