mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	0.5	4	3/8	1/8	1/4			1			firstMeasure	2
2	1	1/2	1.5	4	3/8	3/8	0							3
3	2	2	1.5	4	3/8	3/8	0							4
4	3	7/2	1.5	4	3/8	3/8	0					line		5
5	4	5	1.5	4	3/8	3/8	0							6
6	5	13/2	1.5	4	3/8	3/8	0							7
7	6	8	1.5	4	3/8	3/8	0							8
8	7	19/2	1.5	4	3/8	3/8	0							9
9	8	11	1.0	4	3/8	1/4	0					line	end	1, 10
10	8	12	0.5	4	3/8	1/8	1/4			1	start-repeat		start	11
11	9	25/2	1.5	4	3/8	3/8	0							12
12	10	14	1.5	4	3/8	3/8	0							13
13	11	31/2	1.5	4	3/8	3/8	0					line		14
14	12	17	1.5	4	3/8	3/8	0							15
15	13	37/2	1.5	4	3/8	3/8	0							16
16	14	20	1.5	4	3/8	3/8	0							17
17	15	43/2	1.5	4	3/8	3/8	0					line		18
18	16	23	1.5	4	3/8	3/8	0							19
19	17	49/2	1.5	4	3/8	3/8	0							20
20	18	26	1.5	4	3/8	3/8	0							21
21	19	55/2	1.5	4	3/8	3/8	0					line		22
22	20	29	1.5	4	3/8	3/8	0							23
23	21	61/2	1.5	4	3/8	3/8	0							24
24	22	32	1.5	4	3/8	3/8	0							25
25	23	67/2	1.5	4	3/8	3/8	0							26
26	24	35	1.0	4	3/8	1/4	0					section	end	10, -1
