mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	0.75	2	4/4	3/16	13/16			1			firstMeasure	2
2	1	3/4	4.0	2	4/4	1	0							3
3	2	19/4	4.0	2	4/4	1	0					line		4
4	3	35/4	4.0	2	4/4	1	0							5
5	4	51/4	4.0	2	4/4	1	0					line		6
6	5	67/4	4.0	2	4/4	1	0							7
7	6	83/4	4.0	2	4/4	1	0					line		8
8	7	99/4	4.0	2	4/4	1	0							9
9	8	115/4	4.0	2	4/4	1	0					line		10
10	9	131/4	4.0	2	4/4	1	0							11
11	10	147/4	4.0	2	4/4	1	0					line		12
12	11	163/4	4.0	2	4/4	1	0							13
13	12	179/4	3.25	2	4/4	13/16	0					line	end	1, 14
14	12	48	0.75	2	4/4	3/16	13/16			1	start-repeat		start	15
15	13	195/4	4.0	2	4/4	1	0							16
16	14	211/4	4.0	2	4/4	1	0					line		17
17	15	227/4	4.0	2	4/4	1	0							18
18	16	243/4	4.0	2	4/4	1	0					line		19
19	17	259/4	4.0	2	4/4	1	0							20
20	18	275/4	4.0	2	4/4	1	0					line		21
21	19	291/4	4.0	2	4/4	1	0							22
22	20	307/4	4.0	2	4/4	1	0					line		23
23	21	323/4	4.0	2	4/4	1	0							24
24	22	339/4	4.0	2	4/4	1	0					line		25
25	23	355/4	4.0	2	4/4	1	0							26
26	24	371/4	3.25	2	4/4	13/16	0					line	end	14, -1
